id,area,season,weather,ground,rate
1,0,1,1,1,54600000
2,0,1,1,2,5400000
3,0,1,2,1,23400000
4,0,1,2,2,6600000
5,0,1,3,3,5500000
6,0,1,3,4,4500000
7,0,2,1,1,54600000
8,0,2,1,2,5400000
9,0,2,2,1,23400000
10,0,2,2,2,6600000
11,0,2,3,3,5500000
12,0,2,3,4,4500000
13,0,3,1,1,54600000
14,0,3,1,2,5400000
15,0,3,2,1,23400000
16,0,3,2,2,6600000
17,0,3,3,3,5500000
18,0,3,3,4,4500000
19,0,4,1,1,50050000
20,0,4,1,2,4950000
21,0,4,2,1,24960000
22,0,4,2,2,7040000
23,0,4,3,3,4400000
24,0,4,3,4,3600000
25,0,4,4,2,150000
26,0,4,4,3,4850000
27,0,5,1,1,54600000
28,0,5,1,2,5400000
29,0,5,2,1,23400000
30,0,5,2,2,6600000
31,0,5,3,3,5500000
32,0,5,3,4,4500000
