id,transition_type,transition_value,start_date
1,1,0,1672574400
4,1,0,1672574400
7,1,0,1672574400
10,1,0,1672574400
13,1,0,1672574400
44,1,0,1680350400
44,2,7000,1672574400
44,2,7001,1672574400
69,1,0,1672574400
69,2,2000,1672574400
70,1,0,1672574400
70,2,2000,1672574400
71,1,0,1672574400
71,2,8000,1672574400
72,1,0,1672574400
72,2,4000,1672574400
73,1,0,1672574400
73,2,7002,1672574400
74,1,0,1672574400
74,2,4000,1672574400
75,1,0,1672574400
75,2,7002,1672574400
76,1,0,1672574400
76,2,2000,1672574400
77,1,0,1672574400
77,2,4000,1672574400
78,1,0,1672574400
78,2,2000,1672574400
79,1,0,1672574400
79,2,2000,1672574400
80,1,0,1672574400
80,2,8000,1672574400
81,1,0,1672574400
81,2,8000,1672574400
82,1,0,1672574400
82,2,4000,1672574400
83,1,0,1672574400
83,2,7000,1672574400
83,2,7001,1672574400
84,1,0,1672574400
84,2,4000,1672574400
85,1,0,1672574400
85,2,2000,1672574400
86,1,0,1672574400
86,2,7002,1672574400
87,1,0,1672574400
87,2,7002,1672574400
88,1,0,1672574400
88,2,4000,1672574400
89,1,0,1672574400
89,2,7002,1672574400
90,1,0,1672574400
90,2,8000,1672574400
91,1,0,1672574400
91,2,7000,1672574400
91,2,7001,1672574400
92,1,0,1672574400
92,2,7002,1672574400
101,1,0,1672574400
102,1,0,1672574400
102,2,8000,1672574400
103,1,0,1672574400
104,1,0,1672574400
104,2,7002,1672574400
105,1,0,1672574400
106,1,0,1672574400
144,2,10000,1672574400
145,2,10001,1672574400
156,2,11000,1672574400
160,2,2000,1672574400
161,2,2000,1672574400
162,2,2000,1672574400
163,2,2000,1672574400
100101,2,3000,1672574400
100201,2,3000,1672574400
100301,2,3000,1672574400
100401,2,3000,1672574400
100601,2,3000,1672574400
100701,2,3000,1672574400
100801,2,3000,1672574400
100901,2,3000,1672574400
101001,2,3000,1672574400
101101,2,3000,1672574400
101301,2,3000,1672574400
101401,2,3000,1672574400
101701,2,3000,1672574400
101801,2,3000,1672574400
102401,2,3000,1672574400
102701,2,3000,1672574400
103001,2,3000,1672574400
103201,2,3000,1672574400
103501,2,3000,1672574400
104101,2,3000,1672574400
104501,2,3000,1672574400
105201,2,3000,1672574400
105601,2,3000,1672574400
106001,2,3000,1672574400
106101,2,3000,1672574400
101501,2,3000,1672574400
102601,2,3000,1672574400
102301,2,3000,1672574400
100302,2,3000,1672574400
101302,2,3000,1672574400
103801,2,3000,1672574400
105001,2,3000,1672574400
104601,2,3000,1672574400
101601,2,3000,1672574400
101802,2,3000,1672574400
102402,2,3000,1672574400
102001,2,3000,1672574400
101201,2,3000,1672574400
101102,2,3000,1672574400
101402,2,3000,1672574400
100501,2,3000,1672574400
104001,2,3000,1672574400
100102,2,3000,1672574400
100402,2,3000,1672574400
105801,2,3000,1672574400
103701,2,3000,1672574400
105602,2,3000,1672574400
102801,2,3000,1672574400
101901,2,3000,1672574400
103002,2,3000,1672574400
104502,2,3000,1672574400
103901,2,3000,1672574400
102501,2,3000,1672574400
101702,2,3000,1672574400
104002,2,3000,1672574400
104801,2,3000,1672574400
105901,2,3000,1672574400
100602,2,3000,1672574400
102302,2,3000,1672574400
102201,2,3000,1672574400
102101,2,3000,1672574400
101502,2,3000,1672574400
105202,2,3000,1672574400
106901,2,3000,1672574400
102602,2,3000,1672574400
103702,2,3000,1672574400
107101,2,3000,1672574400
103301,2,3000,1672574400
106201,2,3000,1672574400
106801,2,3000,1672574400
106701,2,3000,1672574400
107401,2,3000,1672574400
800000,5,0,1672574400
100502,2,3000,1672574400
102002,2,3000,1672574400
105101,2,3000,1672574400
107201,2,3000,1672574400
106002,2,3000,1672574400
106102,2,3000,1672574400
103101,2,3000,1672574400
106401,2,3000,1672574400
102202,2,3000,1672574400
103802,2,3000,1672574400
103401,2,3000,1672574400
104401,2,3000,1672574400
101002,2,3000,1672574400
105902,2,3000,1672574400
103601,2,3000,1672574400
100103,2,3000,1672574400
100702,2,3000,1672574400
101303,2,3000,1672574400
105301,2,3000,1672574400
