id,need_ranking_max,need_ranking_min,reward_item_category_1,reward_item_id_1,reward_num_1,reward_item_category_2,reward_item_id_2,reward_num_2
1,0,0,0,0,0,0,0,0
2,10001,0,90,43,225,161,134,225
3,7001,10000,90,43,450,161,134,450
4,5001,7000,90,43,900,161,134,900
5,3001,5000,90,43,1350,161,134,1350
6,1001,3000,90,43,1800,161,134,1800
7,501,1000,90,43,2250,161,134,2250
8,101,500,90,43,2700,161,134,2700
9,31,100,90,43,3150,161,134,3150
10,11,30,90,43,3600,161,134,3600
11,1,10,90,43,4500,161,134,4500
