id,story_event_id,chara_id,rarity,support_card_id,limit_0,limit_1,limit_2,limit_3,limit_4,start_date,end_date
1,1001,1001,3,30025,15,18,21,25,30,1750897800,1752098399
2,1001,1006,3,30024,25,27,30,35,40,1750897800,1752098399
3,1001,1001,3,30001,5,7,9,12,15,1750897800,1752098399
4,1001,1002,3,30002,5,7,9,12,15,1750897800,1752098399
5,1001,1003,3,30003,5,7,9,12,15,1750897800,1752098399
6,1001,1044,2,0,10,13,16,20,25,1750897800,1752098399
7,1001,1044,1,0,3,5,7,10,12,1750897800,1752098399
8,1001,1001,1,10001,2,3,5,7,10,1750897800,1752098399
9,1001,1002,1,10002,2,3,5,7,10,1750897800,1752098399
10,1001,1003,1,10003,2,3,5,7,10,1750897800,1752098399
11,1001,1066,3,0,25,27,30,35,40,1751493600,1752098399
12,1001,1065,2,0,10,13,16,20,25,1751493600,1752098399
13,1001,1066,1,0,3,5,7,10,12,1751493600,1752098399
14,1001,1065,1,0,3,5,7,10,12,1751493600,1752098399
15,1002,1068,3,0,30,32,35,40,45,1752703200,1754085599
16,1002,1067,3,0,30,32,35,40,45,1752703200,1754085599
17,1002,1066,3,0,10,13,16,20,25,1752703200,1754085599
18,1002,1064,3,0,10,13,16,20,25,1752703200,1754085599
19,1002,1062,3,30030,20,23,26,30,35,1752703200,1754085599
20,1002,1003,3,30003,10,13,16,20,25,1752703200,1754085599
21,1002,1013,3,30022,5,7,9,12,15,1752703200,1754085599
22,1002,1065,2,0,5,7,9,12,15,1752703200,1754085599
23,1002,1063,2,0,5,7,9,12,15,1752703200,1754085599
24,1002,1060,2,20019,5,7,9,12,15,1752703200,1754085599
25,1002,1060,2,20026,13,16,19,23,28,1752703200,1754085599
26,1002,1068,1,0,5,7,9,12,15,1752703200,1754085599
27,1002,1067,1,0,5,7,9,12,15,1752703200,1754085599
28,1002,1066,1,0,3,5,7,10,12,1752703200,1754085599
29,1002,1064,1,0,3,5,7,10,12,1752703200,1754085599
30,1002,1062,1,0,5,7,9,12,15,1752703200,1754085599
31,1002,1003,1,0,3,5,7,10,12,1752703200,1754085599
32,1002,1013,1,0,3,5,7,10,12,1752703200,1754085599
33,1002,1065,1,0,3,5,7,10,12,1752703200,1754085599
34,1002,1063,1,0,3,5,7,10,12,1752703200,1754085599
35,1002,1060,1,0,3,5,7,10,12,1752703200,1754085599
36,1003,1039,3,30039,30,32,35,40,45,1756418400,1757541599
37,1003,1028,3,30040,30,32,35,40,45,1756418400,1757541599
38,1003,1059,2,20018,7,9,12,15,18,1756418400,1757541599
39,1003,1024,2,20007,7,9,12,15,18,1756418400,1757541599
40,1003,1018,2,20004,7,9,12,15,18,1756418400,1757541599
41,1003,1039,1,10063,5,7,9,12,15,1756418400,1757541599
42,1003,1028,1,10064,5,7,9,12,15,1756418400,1757541599
43,1003,1059,1,10046,3,5,7,10,12,1756418400,1757541599
44,1003,1024,1,10030,3,5,7,10,12,1756418400,1757541599
45,1003,1018,1,10025,3,5,7,10,12,1756418400,1757541599
46,1003,1059,3,30041,20,23,26,30,35,1756418400,1757541599
47,1004,1020,3,30055,30,32,35,40,45,1758492000,1759615199
