id,group,grade,course_set,thumbnail_id,ff_cue_name,ff_cuesheet_name,real_ff_cue_name,real_ff_cuesheet_name,ff_anim,ff_camera,ff_camera_sub,ff_sub,start_gate,start_gate_panel,goal_gate,goal_flower,result_podium,audience_group_id,paddock_bg_id,audience,entry_num,change_full_gate,is_dirtgrade,start_date
1001,1,100,10611,1001,snd_mfx_1001_CL,snd_mfx_1001_CL,snd_mfx_r_1001_CL,snd_mfx_r_1001_CL,1001,101,1,0,0,0,1,1,-1,0,0,0,16,0,0,1498870800
1002,1,100,10701,1002,snd_mfx_1002_CL,snd_mfx_1002_CL,snd_mfx_r_1002_CL,snd_mfx_r_1002_CL,1002,102,0,0,0,0,1,1,-1,0,0,0,18,0,0,1498870800
1003,1,100,10905,1003,snd_mfx_1002_CL,snd_mfx_1002_CL,snd_mfx_r_1002_CL,snd_mfx_r_1002_CL,1003,102,0,0,0,0,1,1,-1,0,0,0,16,0,0,1498870800
1004,1,100,10903,1004,snd_mfx_1002_CL,snd_mfx_1002_CL,snd_mfx_r_1002_CL,snd_mfx_r_1002_CL,1004,102,0,0,0,0,2,2,-1,0,0,0,18,0,0,1498870800
1005,1,100,10504,1005,snd_mfx_1001_CL,snd_mfx_1001_CL,snd_mfx_r_1001_CL,snd_mfx_r_1001_CL,1005,101,0,0,0,0,1,1,-1,0,0,0,18,0,0,1498870800
1006,1,100,10811,1006,snd_mfx_1002_CL,snd_mfx_1002_CL,snd_mfx_r_1002_CL,snd_mfx_r_1002_CL,1006,102,0,0,0,0,1,1,-1,0,0,0,18,0,0,1498870800
1007,1,100,10602,1007,snd_mfx_1001_CL,snd_mfx_1001_CL,snd_mfx_r_1001_CL,snd_mfx_r_1001_CL,1007,101,0,0,0,0,2,2,-1,0,0,0,18,0,0,1498870800
1008,1,100,10602,1008,snd_mfx_1001_CL,snd_mfx_1001_CL,snd_mfx_r_1001_CL,snd_mfx_r_1001_CL,1008,101,0,0,0,0,3,3,-1,0,0,0,18,0,0,1498870800
1009,1,100,10606,1009,snd_mfx_1001_CL,snd_mfx_1001_CL,snd_mfx_r_1001_CL,snd_mfx_r_1001_CL,1009,101,0,0,0,0,4,4,-1,0,0,0,18,0,0,1498870800
1010,1,100,10606,1010,snd_mfx_1001_CL,snd_mfx_1001_CL,snd_mfx_r_1001_CL,snd_mfx_r_1001_CL,1010,101,0,0,0,0,5,5,-1,0,0,0,18,0,0,1498870800
