id,story_event_id,episode_index_id,story_condition_type,story_type_1,story_id_1,story_type_2,story_id_2,story_type_3,story_id_3,story_type_4,story_id_4,story_type_5,story_id_5,need_point,add_reward_category_1,add_reward_id_1,add_reward_num_1,add_reward_category_2,add_reward_id_2,add_reward_num_2,start_date
1,1001,1,1,1,90001001,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,1750897800
2,1001,2,0,1,90001002,0,0,0,0,0,0,0,0,10000,90,43,30,0,0,0,1750897800
3,1001,3,0,1,90001003,0,0,0,0,0,0,0,0,20000,90,43,30,0,0,0,1750897800
4,1001,4,0,1,90001004,0,0,0,0,0,0,0,0,30000,90,43,30,0,0,0,1750897800
5,1001,5,0,1,90001005,0,0,0,0,0,0,0,0,40000,90,43,30,0,0,0,1751234400
6,1001,6,0,1,90001006,0,0,0,0,0,0,0,0,50000,90,43,30,0,0,0,1751234400
7,1001,7,0,1,90001007,0,0,0,0,0,0,0,0,60000,90,43,30,0,0,0,1751234400
8,1001,8,0,1,90001008,0,0,0,0,0,0,0,0,70000,90,43,30,51,30025,1,1751234400
9,1002,1,1,1,90003001,2,5,0,0,0,0,0,0,0,90,43,30,0,0,0,1752703200
10,1002,2,0,1,90003002,0,0,0,0,0,0,0,0,10000,90,43,30,0,0,0,1752703200
11,1002,3,0,1,90003003,0,0,0,0,0,0,0,0,20000,90,43,30,0,0,0,1752703200
12,1002,4,0,1,90003004,0,0,0,0,0,0,0,0,30000,90,43,30,0,0,0,1752703200
13,1002,5,0,1,90003005,0,0,0,0,0,0,0,0,40000,51,20026,1,0,0,0,1752703200
14,1002,6,0,1,90003006,0,0,0,0,0,0,0,0,50000,90,43,30,0,0,0,1752703200
15,1002,7,0,1,90003007,0,0,0,0,0,0,0,0,60000,90,43,30,0,0,0,1752703200
16,1002,8,0,1,90003008,0,0,0,0,0,0,0,0,70000,51,30030,1,0,0,0,1752703200
17,1003,1,1,1,90004001,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,1756418400
18,1003,2,0,1,90004002,0,0,0,0,0,0,0,0,10000,90,43,30,0,0,0,1756418400
19,1003,3,0,1,90004003,0,0,0,0,0,0,0,0,20000,90,43,30,0,0,0,1756418400
20,1003,4,0,1,90004004,0,0,0,0,0,0,0,0,30000,90,43,30,0,0,0,1756418400
21,1003,5,0,1,90004005,0,0,0,0,0,0,0,0,40000,90,43,30,0,0,0,1756418400
