id,item_exchange_top_id,disp_order,condition_type,condition_value_1,condition_value_2,change_item_limit_type,change_item_limit_num,change_item_category,change_item_id,change_item_num,additional_piece_num,pay_item_category,pay_item_id,pay_item_num,price_change_group_id,start_date,end_date
27,2000,202,0,0,0,1,40,98,132,1,0,103,98,1000,0,1496275200,2543011199
2001,2000,20,0,0,0,1,5,51,30019,1,0,103,98,10000,0,1496275200,2543011199
2002,2000,4,0,0,0,1,10,102,103001,5,0,103,98,2000,0,1496275200,1754060399
2003,2000,4,0,0,0,1,10,102,100701,5,0,103,98,2000,0,1754604000,1755874799
2004,2000,5,0,0,0,1,20,30,110,1000,0,103,98,1500,0,1754604000,1755874799
2005,2000,21,0,0,0,4,1,40,41,1,0,103,98,20000,0,1767650400,2543011199
2006,2000,22,0,0,0,4,1,40,111,1,0,103,98,20000,0,1767650400,2543011199
2007,2000,1,0,0,0,1,10,102,100701,5,0,103,98,2000,0,1777240800,1778943599
2008,2000,2,0,0,0,1,10,102,100101,5,0,103,98,3000,0,1777240800,1778943599
2201,2000,201,0,0,0,4,30,30,110,1000,0,103,98,1000,0,1496275200,2543011199
2301,2000,301,0,0,0,4,30,11,69,1,0,103,98,1000,0,1496275200,2543011199
2302,2000,302,0,0,0,4,30,11,70,1,0,103,98,1000,0,1496275200,2543011199
2303,2000,303,0,0,0,4,30,11,76,1,0,103,98,1000,0,1496275200,2543011199
2304,2000,304,0,0,0,4,30,11,78,1,0,103,98,1000,0,1496275200,2543011199
2305,2000,305,0,0,0,4,30,11,79,1,0,103,98,1000,0,1496275200,2543011199
2306,2000,306,0,0,0,4,30,11,85,1,0,103,98,1000,0,1496275200,2543011199
2307,2000,101,0,0,0,4,4,11,160,1,0,103,98,1000,0,1762898400,2543011199
2308,2000,102,0,0,0,4,2,11,161,1,0,103,98,2000,0,1762898400,2543011199
2309,2000,110,0,0,0,4,2,11,162,1,0,103,98,4000,0,1762898400,2543011199
2310,2000,111,0,0,0,4,1,11,163,1,0,103,98,6000,0,1762898400,2543011199
2313,2000,50,0,0,0,4,20,172,190,1,0,103,98,1000,0,1783029600,2543011199
3101,3000,100101,0,0,0,1,650,102,100101,1,0,97,115,1,10,1496275200,2543011199
3102,3000,100201,0,0,0,1,650,102,100201,1,0,97,115,1,10,1496275200,2543011199
3103,3000,100301,0,0,0,1,650,102,100301,1,0,97,115,1,10,1496275200,2543011199
3104,3000,100401,0,0,0,1,650,102,100401,1,0,97,115,1,10,1496275200,2543011199
3105,3000,100601,0,0,0,1,650,102,100601,1,0,97,115,1,10,1496275200,2543011199
3106,3000,101001,0,0,0,1,650,102,101001,1,0,97,115,1,10,1496275200,2543011199
3107,3000,101301,0,0,0,1,650,102,101301,1,0,97,115,1,10,1496275200,2543011199
3108,3000,101701,0,0,0,1,650,102,101701,1,0,97,115,1,10,1496275200,2543011199
3109,3000,103001,0,0,0,1,650,102,103001,1,0,97,115,1,10,1496275200,2543011199
3110,3000,101501,0,0,0,1,650,102,101501,1,0,97,115,1,10,1750897800,2543011199
3111,3000,102601,0,0,0,1,650,102,102601,1,0,97,115,1,10,1751493600,2543011199
3112,3000,102301,0,0,0,1,650,102,102301,1,0,97,115,1,10,1752184800,2543011199
3113,3000,100302,0,0,0,1,650,102,100302,1,0,97,115,1,10,1752703200,2543011199
3114,3000,101302,0,0,0,1,650,102,101302,1,0,97,115,1,10,1752703200,2543011199
3115,3000,103801,0,0,0,1,650,102,103801,1,0,97,115,1,10,1753653600,2543011199
3116,3000,105001,0,0,0,1,650,102,105001,1,0,97,115,1,10,1754258400,2543011199
3117,3000,104601,0,0,0,1,650,102,104601,1,0,97,115,1,10,1754949600,2543011199
3118,3000,101601,0,0,0,1,650,102,101601,1,0,97,115,1,10,1755727200,2543011199
3119,3000,101802,0,0,0,1,650,102,101802,1,0,97,115,1,10,1756418400,2543011199
3120,3000,102402,0,0,0,1,650,102,102402,1,0,97,115,1,10,1756418400,2543011199
3121,3000,102001,0,0,0,1,650,102,102001,1,0,97,115,1,10,1757282400,2543011199
3122,3000,101201,0,0,0,1,650,102,101201,1,0,97,115,1,10,1758146400,2543011199
3123,3000,101102,0,0,0,1,650,102,101102,1,0,97,115,1,10,1758492000,2543011199
3124,3000,101402,0,0,0,1,650,102,101402,1,0,97,115,1,10,1758492000,2543011199
3125,3000,100501,0,0,0,1,650,102,100501,1,0,97,115,1,10,1759442400,2543011199
3126,3000,104001,0,0,0,1,650,102,104001,1,0,97,115,1,10,1759874400,2543011199
3127,3000,100102,0,0,0,1,650,102,100102,1,0,97,115,1,10,1760479200,2543011199
3128,3000,100402,0,0,0,1,650,102,100402,1,0,97,115,1,10,1760479200,2543011199
3129,3000,105801,0,0,0,1,650,102,105801,1,0,97,115,1,10,1761084000,2543011199
3130,3000,103701,0,0,0,1,650,102,103701,1,0,97,115,1,10,1761861600,2543011199
3131,3000,105602,0,0,0,1,650,102,105602,1,0,97,115,1,10,1762466400,2543011199
3132,3000,102801,0,0,0,1,650,102,102801,1,0,97,115,1,10,1762898400,2543011199
3133,3000,101901,0,0,0,1,650,102,101901,1,0,97,115,1,10,1763589600,2543011199
3134,3000,103002,0,0,0,1,650,102,103002,1,0,97,115,1,10,1764021600,2543011199
3135,3000,104502,0,0,0,1,650,102,104502,1,0,97,115,1,10,1764021600,2543011199
3136,3000,103901,0,0,0,1,650,102,103901,1,0,97,115,1,10,1764626400,2543011199
3137,3000,102501,0,0,0,1,650,102,102501,1,0,97,115,1,10,1765231200,2543011199
3138,3000,101702,0,0,0,1,650,102,101702,1,0,97,115,1,10,1765749600,2543011199
3139,3000,104002,0,0,0,1,650,102,104002,1,0,97,115,1,10,1765749600,2543011199
3140,3000,104801,0,0,0,1,650,102,104801,1,0,97,115,1,10,1766095200,2543011199
3141,3000,105901,0,0,0,1,650,102,105901,1,0,97,115,1,10,1766959200,2543011199
3142,3000,100602,0,0,0,1,650,102,100602,1,0,97,115,1,10,1767650400,2543011199
3143,3000,102302,0,0,0,1,650,102,102302,1,0,97,115,1,10,1767650400,2543011199
3144,3000,102201,0,0,0,1,650,102,102201,1,0,97,115,1,10,1768514400,2543011199
3145,3000,102101,0,0,0,1,650,102,102101,1,0,97,115,1,10,1769119200,2543011199
3146,3000,101502,0,0,0,1,650,102,101502,1,0,97,115,1,10,1769724000,2543011199
3147,3000,105202,0,0,0,1,650,102,105202,1,0,97,115,1,10,1769724000,2543011199
3148,3000,106901,0,0,0,1,650,102,106901,1,0,97,115,1,10,1770847200,2543011199
3149,3000,102602,0,0,0,1,650,102,102602,1,0,97,115,1,10,1771452000,2543011199
3150,3000,103702,0,0,0,1,650,102,103702,1,0,97,115,1,10,1771452000,2543011199
3151,3000,107101,0,0,0,1,650,102,107101,1,0,97,115,1,10,1772056800,2543011199
3152,3000,103301,0,0,0,1,650,102,103301,1,0,97,115,1,10,1772748000,2543011199
3153,3000,106801,0,0,0,1,650,102,106801,1,0,97,115,1,10,1773352800,2543011199
3154,3000,106701,0,0,0,1,650,102,106701,1,0,97,115,1,10,1774216800,2543011199
