id,type,count_num,disp_order,stamp_id,bg_id,group_id,step,gift_message_id,start_date,end_date
10001,1,7,999,0,0,0,0,0,2021/2/24 05:00:00,2025/9/22 14:59:59
11001,1,7,998,0,0,0,0,0,2025/9/22 15:00:00,2099/12/31 23:59:59
20001,2,10,3,0,0,0,0,0,2021/2/24 05:00:00,2099/12/31 23:59:59
30001,3,1,1,0,0,0,0,0,2025/06/26 00:30:00,2025/10/01 14:59:59
30002,3,1,94,0,0,0,0,0,2025/06/26 00:30:00,2025/07/02 14:59:59
30003,3,1,95,0,0,0,0,0,2025/06/28 15:00:00,2025/07/05 14:59:59
30004,3,1,96,0,0,0,0,0,2025/07/02 15:00:00,2025/07/09 14:59:59
30005,3,1,97,0,0,0,0,0,2025/07/06 15:00:00,2025/07/13 14:59:59
30006,3,1,98,0,0,0,0,0,2025/07/14 15:00:00,2025/07/21 14:59:59
30007,3,1,99,0,0,0,0,0,2025/07/16 15:00:00,2025/07/23 14:59:59
30008,3,10,2,0,0,0,0,0,2025/07/04 22:00:00,2025/09/24 14:59:59
30009,3,10,4,0,0,0,0,0,2025/08/07 22:00:00,2025/08/22 14:59:59
30010,2,1,5,0,0,0,0,0,2025/10/26 22:00:00,2025/10/27 14:59:59
30011,2,1,6,0,0,0,0,0,2025/10/27 15:00:00,2025/10/28 14:59:59
30012,2,1,7,0,0,0,0,0,2025/10/28 15:00:00,2025/10/29 14:59:59
30013,2,1,8,0,0,0,0,0,2025/10/29 15:00:00,2025/10/30 14:59:59
30014,2,1,9,0,0,0,0,0,2025/10/30 15:00:00,2025/10/31 14:59:59
30015,2,1,10,0,0,0,0,0,2025/10/31 15:00:00,2025/11/1 14:59:59
30016,2,1,11,0,0,0,0,0,2025/11/1 15:00:00,2025/11/2 14:59:59
30017,2,1,12,0,0,0,0,0,2025/11/2 15:00:00,2025/11/03 14:59:59
30018,3,10,13,0,0,0,0,0,2025/11/03 22:00:00,2025/12/10 14:59:59
30019,2,1,16,0,0,0,0,0,2026/01/27 22:00:00,2026/01/28 14:59:59
30020,2,1,17,0,0,0,0,0,2026/01/28 15:00:00,2026/01/29 14:59:59
30021,2,1,18,0,0,0,0,0,2026/01/29 15:00:00,2026/01/30 14:59:59
30022,2,1,19,0,0,0,0,0,2026/01/30 15:00:00,2026/01/31 14:59:59
30023,2,1,20,0,0,0,0,0,2026/01/31 15:00:00,2026/02/01 14:59:59
30024,3,10,21,0,0,0,0,0,2026/02/01 22:00:00,2026/02/28 14:59:59
30025,2,1,22,0,0,0,0,0,2026/03/02 22:00:00,2026/03/03 14:59:59
30026,2,1,23,0,0,0,0,0,2026/03/03 15:00:00,2026/03/04 14:59:59
30027,2,1,24,0,0,0,0,0,2026/03/04 15:00:00,2026/03/05 14:59:59
30028,2,1,25,0,0,0,0,0,2026/03/05 15:00:00,2026/03/06 14:59:59
30029,2,1,26,0,0,0,0,0,2026/03/06 15:00:00,2026/03/07 14:59:59
30030,2,1,27,0,0,0,0,0,2026/03/07 15:00:00,2026/03/08 14:59:59
30031,2,1,28,0,0,0,0,0,2026/03/08 15:00:00,2026/03/09 14:59:59
30032,2,1,29,0,0,0,0,0,2026/03/09 15:00:00,2026/03/10 14:59:59
30033,2,1,30,0,0,0,0,0,2026/03/10 15:00:00,2026/03/11 14:59:59
30034,2,1,31,0,0,0,0,0,2026/03/11 15:00:00,2026/03/12 14:59:59
30035,3,10,32,0,0,0,0,0,2026/03/12 22:00:00,2026/04/15 14:59:59
30036,3,15,33,0,0,0,0,0,2026/03/23 22:00:00,2026/04/15 14:59:59
30037,3,10,34,1,0,0,0,0,2026/04/26 22:00:00,2026/05/16 14:59:59
30038,3,10,35,0,0,0,0,0,2026/06/25 22:00:00,2026/07/16 14:59:59
39001,3,1,501,0,0,0,0,0,2025/10/06 12:00:00,2025/10/13 14:59:59
39002,3,1,502,0,0,0,0,0,2025/10/13 15:00:00,2025/10/20 14:59:59
39003,3,1,503,0,0,0,0,0,2025/10/20 15:00:00,2025/11/03 14:59:59
39004,3,1,504,0,0,0,0,0,2025/11/03 15:00:00,2025/11/10 14:59:59
39005,3,1,505,0,0,0,0,0,2025/11/10 15:00:00,2025/11/24 14:59:59
39006,3,1,506,0,0,0,0,0,2025/11/24 15:00:00,2025/12/01 14:59:59
39007,3,1,507,0,0,0,0,0,2025/12/01 15:00:00,2025/12/08 14:59:59
39008,3,1,508,0,0,0,0,0,2025/12/08 15:00:00,2025/12/15 14:59:59
39009,3,1,509,0,0,0,0,0,2025/12/15 15:00:00,2025/12/22 14:59:59
39010,3,1,510,0,0,0,0,0,2025/12/22 15:00:00,2025/12/29 14:59:59
