id,group_id,odds,item_exchange_id,ribbon_value
1,101,1000000,10220,0
2,102,1000000,10221,0
3,103,200000,10226,0
4,103,200000,10227,0
5,103,200000,10228,0
6,103,200000,10229,0
7,103,200000,10230,0
8,104,1000000,10232,0
9,105,40000,10000,0
10,105,40000,10003,0
11,105,40000,10004,0
12,105,40000,10010,0
13,105,40000,10016,0
14,105,87500,10005,0
15,105,87500,10006,0
16,105,87500,10007,0
17,105,87500,10013,0
18,105,112500,10017,0
19,105,112500,10019,0
20,105,112500,10022,0
21,105,112500,10023,0
22,106,50000,10001,0
23,106,50000,10002,0
24,106,50000,10008,0
25,106,50000,10012,0
26,106,87500,10009,0
27,106,87500,10011,0
28,106,87500,10020,0
29,106,87500,10014,0
30,106,112500,10015,0
31,106,112500,10018,0
32,106,112500,10021,0
33,106,112500,10024,0
34,111,1000000,10220,0
35,112,1000000,10221,0
36,113,200000,10226,0
37,113,200000,10227,0
38,113,200000,10228,0
39,113,200000,10229,0
40,113,200000,10230,0
41,114,1000000,10232,0
42,115,13340,10000,0
43,115,13340,10003,0
44,115,13340,10004,0
45,115,13340,10010,0
46,115,13340,10016,0
47,115,13340,10043,0
48,115,13340,10026,0
49,115,13340,10027,0
50,115,13340,10029,0
51,115,13340,10031,0
52,115,13340,10033,0
53,115,13340,10040,0
54,115,13340,10037,0
55,115,13340,10038,0
56,115,13340,10039,0
57,115,87500,10005,0
58,115,87500,10006,0
59,115,87500,10007,0
60,115,87500,10013,0
61,115,112475,10017,0
62,115,112475,10019,0
63,115,112475,10022,0
64,115,112475,10023,0
65,116,14286,10001,0
66,116,14286,10002,0
67,116,14286,10008,0
68,116,14286,10012,0
69,116,14286,10041,0
70,116,14286,10044,0
71,116,14286,10025,0
72,116,14286,10028,0
73,116,14286,10030,0
74,116,14286,10032,0
75,116,14286,10034,0
76,116,14286,10036,0
77,116,14286,10035,0
78,116,14286,10042,0
79,116,87500,10009,0
80,116,87500,10011,0
81,116,87500,10020,0
82,116,87500,10014,0
83,116,112499,10015,0
84,116,112499,10018,0
85,116,112499,10021,0
86,116,112499,10024,0
87,117,33300,10300,0
88,117,33300,10301,0
89,117,33300,10302,0
90,117,33300,10303,0
91,117,33300,10304,0
92,117,33300,10305,0
93,117,33300,10306,0
94,117,33300,10307,0
95,117,33300,10308,0
96,117,33300,10309,0
97,117,33300,10310,0
98,117,33300,10311,0
99,117,33300,10312,0
100,117,33300,10313,0
101,117,33300,10314,0
102,117,33300,10315,0
103,117,33300,10316,0
104,117,33300,10317,0
105,117,33300,10318,0
106,117,33300,10319,0
107,117,33300,10320,0
108,117,33300,10321,0
109,117,33300,10322,0
110,117,33300,10323,0
111,117,33300,10324,0
112,117,33300,10325,0
113,117,33300,10326,0
114,117,33300,10327,0
115,117,33300,10328,0
116,117,33300,10329,0
117,121,1000000,10220,0
118,122,1000000,10221,0
119,123,200000,10226,0
120,123,200000,10227,0
121,123,200000,10228,0
122,123,200000,10229,0
123,123,200000,10230,0
124,124,1000000,10232,0
125,125,7692,10000,0
126,125,7692,10003,0
127,125,7692,10004,0
128,125,7692,10010,0
129,125,7692,10016,0
130,125,7692,10043,0
131,125,7692,10026,0
132,125,7692,10027,0
133,125,7692,10029,0
134,125,7692,10031,0
135,125,7692,10033,0
136,125,7692,10040,0
137,125,7692,10037,0
138,125,7692,10038,0
139,125,7692,10039,0
140,125,7692,10045,0
141,125,7692,10046,0
142,125,7692,10047,0
143,125,7692,10048,0
144,125,7692,10049,0
145,125,7692,10050,0
146,125,7692,10051,0
147,125,7692,10052,0
148,125,7692,10053,0
149,125,7692,10054,0
150,125,7692,10055,0
151,125,87500,10005,0
152,125,87500,10006,0
153,125,87500,10007,0
154,125,87500,10013,0
155,125,112500,10017,0
156,125,112500,10019,0
157,125,112500,10022,0
158,125,112500,10023,0
159,126,8000,10001,0
160,126,8000,10002,0
161,126,8000,10008,0
162,126,8000,10012,0
163,126,8000,10041,0
164,126,8000,10044,0
165,126,8000,10025,0
166,126,8000,10028,0
167,126,8000,10030,0
168,126,8000,10032,0
169,126,8000,10034,0
170,126,8000,10036,0
171,126,8000,10035,0
172,126,8000,10042,0
173,126,8000,10056,0
174,126,8000,10057,0
175,126,8000,10058,0
176,126,8000,10059,0
177,126,8000,10060,0
178,126,8000,10061,0
179,126,8000,10062,0
180,126,8000,10063,0
181,126,8000,10064,0
182,126,8000,10065,0
183,126,8000,10066,0
184,126,87500,10009,0
185,126,87500,10011,0
186,126,87500,10020,0
187,126,87500,10014,0
188,126,112500,10015,0
189,126,112500,10018,0
190,126,112500,10021,0
191,126,112500,10024,0
192,127,33300,10300,0
193,127,33300,10301,0
194,127,33300,10302,0
195,127,33300,10303,0
196,127,33300,10304,0
197,127,33300,10305,0
198,127,33300,10306,0
199,127,33300,10307,0
200,127,33300,10308,0
201,127,33300,10309,0
202,127,33300,10310,0
203,127,33300,10311,0
204,127,33300,10312,0
205,127,33300,10313,0
206,127,33300,10314,0
207,127,33300,10315,0
208,127,33300,10316,0
209,127,33300,10317,0
210,127,33300,10318,0
211,127,33300,10319,0
212,127,33300,10320,0
213,127,33300,10321,0
214,127,33300,10322,0
215,127,33300,10323,0
216,127,33300,10324,0
217,127,33300,10325,0
218,127,33300,10326,0
219,127,33300,10327,0
220,127,33300,10328,0
221,127,33300,10329,0
