id,group_id,legend_bg_id,legend_bg_sub_id,has_unique_bg_env,image_id,difficulty,race_instance_id,season,weather,ground,legend_race_boss_npc_id,cost_num,drop_reward_odds_id,victory_reward_odds_id,first_clear_item_category_1,first_clear_item_id_1,first_clear_item_num_1,first_clear_item_category_2,first_clear_item_id_2,first_clear_item_num_2,first_clear_item_category_3,first_clear_item_id_3,first_clear_item_num_3,pick_up_item_category_1,pick_up_item_id_1,pick_up_item_num_1,pick_up_item_category_2,pick_up_item_id_2,pick_up_item_num_2,pick_up_item_category_3,pick_up_item_id_3,pick_up_item_num_3,start_date
10001,101406,24,111,0,101401,3,592001,3,1,1,173,1,10101,10102,102,101401,10,90,43,150,91,59,10000,102,101401,1,0,0,0,0,0,0,1774562400
10002,100106,24,111,0,100101,3,592002,3,1,1,175,1,10201,10202,102,100101,10,90,43,150,91,59,10000,102,100101,1,0,0,0,0,0,0,1774562400
10003,101706,24,111,0,101701,3,592003,3,1,1,177,1,10301,10302,102,101701,10,90,43,150,91,59,10000,102,101701,1,0,0,0,0,0,0,1774562400
10004,106106,77,111,0,106101,3,594501,3,1,1,109,1,10401,10402,102,106101,10,90,43,150,91,59,10000,102,106101,1,0,0,0,0,0,0,1774562400
10005,101006,77,111,0,101001,3,594503,3,1,1,111,1,10501,10502,102,101001,10,90,43,150,91,59,10000,102,101001,1,0,0,0,0,0,0,1774562400
10006,104106,77,111,0,104101,3,594502,3,1,1,113,1,10601,10602,102,104101,10,90,43,150,91,59,10000,102,104101,1,0,0,0,0,0,0,1774562400
10008,103506,24,111,0,103501,3,593501,1,1,1,117,1,10801,10802,102,103501,10,90,43,150,91,59,10000,102,103501,1,0,0,0,0,0,0,1774562400
10009,100806,24,111,0,100801,3,593502,1,1,1,119,1,10901,10902,102,100801,10,90,43,150,91,59,10000,102,100801,1,0,0,0,0,0,0,1774562400
10010,100306,24,111,0,100301,3,593503,1,1,1,179,1,11001,11002,102,100301,10,90,43,150,91,59,10000,102,100301,1,0,0,0,0,0,0,1774562400
10011,102406,79,111,0,102401,3,593004,1,1,1,129,1,11101,11102,102,102401,10,90,43,150,91,59,10000,102,102401,1,0,0,0,0,0,0,1774562400
10012,101306,79,111,0,101301,3,593002,1,1,1,125,1,11201,11202,102,101301,10,90,43,150,91,59,10000,102,101301,1,0,0,0,0,0,0,1774562400
10013,101506,79,111,0,101501,3,593003,1,1,1,127,1,11301,11302,102,101501,10,90,43,150,91,59,10000,102,101501,1,0,0,0,0,0,0,1774562400
10014,104506,79,111,0,104501,3,593001,1,1,1,181,1,11401,11402,102,104501,10,90,43,150,91,59,10000,102,104501,1,0,0,0,0,0,0,1774562400
10015,102706,79,111,0,102701,3,594001,1,1,1,131,1,11501,11502,102,102701,10,90,43,150,91,59,10000,102,102701,1,0,0,0,0,0,0,1774562400
10016,100206,78,111,0,100201,3,594002,1,1,1,133,1,11601,11602,102,100201,10,90,43,150,91,59,10000,102,100201,1,0,0,0,0,0,0,1774562400
10017,100706,78,111,0,100701,3,594003,1,1,1,135,1,11701,11702,102,100701,10,90,43,150,91,59,10000,102,100701,1,0,0,0,0,0,0,1774562400
