id,turn_set_id,turn,year,month,half,period,unique_command,training_set_id,outing_set_id,top_cloth_id,top_bg_id,bgm_cue_name,bgm_cuesheet_name,bgm_unique_cue_name,bgm_unique_cuesheet_name,env_cue_name,env_cuesheet_name,rest_type,health_room_type,race_entry_type,story_cloth_id,story_bg_id,story_bg_sub_id
1,1,1,1,4,1,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,snd_sfx_atmos_01,snd_sfx_training_000,1,1,0,6,9,120
2,1,2,1,4,1,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,snd_sfx_atmos_01,snd_sfx_training_000,1,1,0,6,9,120
3,1,3,1,4,2,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,snd_sfx_atmos_01,snd_sfx_training_000,1,1,0,6,9,120
4,1,4,1,4,2,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,snd_sfx_atmos_01,snd_sfx_training_000,1,1,0,6,9,120
5,1,5,1,5,1,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,snd_sfx_atmos_01,snd_sfx_training_000,1,1,0,6,9,120
6,1,6,1,5,1,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,snd_sfx_atmos_01,snd_sfx_training_000,1,1,0,6,9,120
7,1,7,1,5,2,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,snd_sfx_atmos_01,snd_sfx_training_000,1,1,0,6,9,120
8,1,8,1,5,2,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,snd_sfx_atmos_01,snd_sfx_training_000,1,1,0,6,9,120
9,1,9,1,6,1,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,snd_sfx_atmos_01,snd_sfx_training_000,1,1,0,3,9,120
10,1,10,1,6,1,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,snd_sfx_atmos_01,snd_sfx_training_000,1,1,0,3,9,120
11,1,11,1,6,2,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,snd_sfx_atmos_01,snd_sfx_training_000,1,1,0,3,9,120
12,1,12,1,6,2,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,snd_sfx_atmos_01,snd_sfx_training_000,1,1,1,3,9,120
13,1,13,1,7,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,snd_sfx_atmos_01,snd_sfx_training_000,1,1,1,3,9,120
