id,chara_rank,scout_value
1,1,0
2,2,5
3,3,10
4,4,15
5,5,20
6,6,25
7,7,50
8,8,100
9,9,150
10,10,200
11,11,300
12,12,400
13,13,500
14,14,600
15,15,800
16,16,1000
17,17,1200
18,18,1400
19,19,1600
20,20,1800
21,21,2000
22,22,2100
23,23,2200
24,24,2300
25,25,2400
26,26,2500
27,27,2600
28,28,2700
29,29,3000
30,30,3000
31,31,3000
32,32,3000
33,33,3000
34,34,3000
35,35,3000
36,36,3000
37,37,3000
38,38,3000
39,39,3000
40,40,3000
41,41,3000
42,42,3000
43,43,3000
44,44,3000
45,45,3000
46,46,3000
47,47,3000
48,48,3000
49,49,3000
50,50,3000
51,51,3000
52,52,3000
53,53,3000
54,54,3000
55,55,3000
56,56,3000
57,57,3000
58,58,3000
59,59,3000
60,60,3000
61,61,3000
62,62,3000
63,63,3000
64,64,3000
65,65,3000
66,66,3000
67,67,3000
68,68,3000
69,69,3000
70,70,3000
71,71,3000
72,72,3000
73,73,3000
74,74,3000
75,75,3000
76,76,3000
77,77,3000
78,78,3000
79,79,3000
80,80,3000
81,81,3000
82,82,3000
83,83,3000
84,84,3000
85,85,3000
86,86,3000
87,87,3000
88,88,3000
89,89,3000
90,90,3000
91,91,3000
92,92,3000
93,93,3000
94,94,3000
95,95,3000
96,96,3000
97,97,3000
98,98,3000
