id,team_building_event_id,chara_id,condition_type_1,bonus_type_1,bonus_value_1,condition_type_2,bonus_type_2,bonus_value_2
1,1001,1001,1,2,15,0,0,0
2,1001,1002,1,1,15,0,0,0
3,1001,1003,1,1,15,0,0,0
4,1001,1004,1,5,15,0,0,0
5,1001,1005,1,5,15,0,0,0
6,1001,1006,1,1,15,0,0,0
7,1001,1007,1,2,15,0,0,0
8,1001,1008,1,3,15,0,0,0
9,1001,1009,1,4,15,0,0,0
10,1001,1010,1,1,15,0,0,0
11,1001,1011,1,1,15,0,0,0
12,1001,1012,1,3,15,0,0,0
13,1001,1013,1,2,15,0,0,0
14,1001,1014,1,1,15,0,0,0
15,1001,1015,1,2,15,0,0,0
16,1001,1016,1,2,15,0,0,0
17,1001,1017,1,4,15,0,0,0
18,1001,1018,1,3,15,0,0,0
19,1001,1019,1,1,15,0,0,0
20,1001,1020,1,5,15,0,0,0
21,1001,1021,1,2,15,0,0,0
22,1001,1022,1,2,15,0,0,0
23,1001,1023,1,5,15,0,0,0
24,1001,1024,1,4,15,0,0,0
25,1001,1025,1,2,15,0,0,0
26,1001,1026,1,2,15,0,0,0
27,1001,1027,1,3,15,0,0,0
28,1001,1028,1,3,15,0,0,0
29,1001,1030,1,4,15,0,0,0
30,1001,1031,1,1,15,0,0,0
31,1001,1032,1,1,15,0,0,0
32,1001,1033,1,3,15,0,0,0
33,1001,1034,1,3,15,0,0,0
34,1001,1035,1,3,15,0,0,0
35,1001,1036,1,5,15,0,0,0
36,1001,1037,1,5,15,0,0,0
37,1001,1038,1,3,15,0,0,0
38,1001,1039,1,4,15,0,0,0
39,1001,1040,1,4,15,0,0,0
40,1001,1041,1,1,15,0,0,0
41,1001,1044,1,3,15,0,0,0
42,1001,1045,1,5,15,0,0,0
43,1001,1046,1,1,15,0,0,0
44,1001,1048,1,1,15,0,0,0
45,1001,1050,1,4,15,0,0,0
46,1001,1051,1,1,15,0,0,0
47,1001,1052,1,4,15,0,0,0
48,1001,1056,1,2,15,0,0,0
49,1001,1058,1,4,15,0,0,0
50,1001,1059,1,5,15,0,0,0
51,1001,1060,1,5,15,0,0,0
52,1001,1061,1,4,15,0,0,0
53,1001,1062,1,4,15,0,0,0
54,1001,1064,1,1,15,0,0,0
55,1001,1067,1,5,15,0,0,0
56,1001,1068,1,1,15,0,0,0
57,1001,1069,1,1,15,0,0,0
58,1001,1071,1,5,15,0,0,0
59,1001,1072,1,3,15,0,0,0
60,1001,1074,1,2,15,0,0,0
