id,champions_id,round,round_detail,start_date,end_date,interval_start_time,interval_end_time
1,1,0,0,1755468000,1755813599,1755813599,1755813599
2,1,1,0,1755813600,1755986399,1755986400,1755987299
3,1,2,0,1755986400,1756159199,1756159200,1756160099
4,1,3,1,1756159200,1756202399,1756202399,1756202399
5,1,3,2,1756202400,1756245599,1756245599,1756245599
6,1,3,3,1756245600,1756331999,1756331999,1756331999
7,2,0,0,1757282400,1757627999,1757627999,1757627999
8,2,1,0,1757628000,1757800799,1757800800,1757801699
9,2,2,0,1757800800,1757973599,1757973600,1757974499
10,2,3,1,1757973600,1758016799,1758016799,1758016799
11,2,3,2,1758016800,1758059999,1758059999,1758059999
12,2,3,3,1758060000,1758146399,1758146399,1758146399
13,3,0,0,1759874400,1760133599,1760133599,1760133599
14,3,1,0,1760133600,1760306399,1760306400,1760307299
15,3,2,0,1760306400,1760479199,1760479200,1760480099
16,3,3,1,1760479200,1760522399,1760522399,1760522399
17,3,3,2,1760522400,1760565599,1760565599,1760565599
18,3,3,3,1760565600,1760651999,1760651999,1760651999
19,4,0,0,1761861600,1762207199,1762207199,1762207199
20,4,1,0,1762207200,1762379999,1762380000,1762380899
21,4,2,0,1762380000,1762552799,1762552800,1762553699
22,4,3,1,1762552800,1762595999,1762595999,1762595999
23,4,3,2,1762596000,1762639199,1762639199,1762639199
24,4,3,3,1762639200,1762725599,1762725599,1762725599
25,5,0,0,1763330400,1763675999,1763675999,1763675999
26,5,1,0,1763676000,1763848799,1763848800,1763849699
27,5,2,0,1763848800,1764021599,1764021600,1764022499
28,5,3,1,1764021600,1764064799,1764064799,1764064799
29,5,3,2,1764064800,1764107999,1764107999,1764107999
30,5,3,3,1764108000,1764194399,1764194399,1764194399
31,6,0,0,1765231200,1765576799,1765576799,1765576799
32,6,1,0,1765576800,1765749599,1765749600,1765750499
33,6,2,0,1765749600,1765922399,1765922400,1765923299
34,6,3,1,1765922400,1765965599,1765965599,1765965599
35,6,3,2,1765965600,1766008799,1766008799,1766008799
36,6,3,3,1766008800,1766095199,1766095199,1766095199
37,7,0,0,1766959200,1767304799,1767304799,1767304799
38,7,1,0,1767304800,1767477599,1767477600,1767478499
39,7,2,0,1767477600,1767650399,1767650400,1767651299
40,7,3,1,1767650400,1767693599,1767693599,1767693599
41,7,3,2,1767693600,1767736799,1767736799,1767736799
42,7,3,3,1767736800,1767823199,1767823199,1767823199
43,8,0,0,1768860000,1769205599,1769205599,1769205599
44,8,1,0,1769205600,1769378399,1769378400,1769379299
45,8,2,0,1769378400,1769551199,1769551200,1769552099
46,8,3,1,1769551200,1769594399,1769594399,1769594399
47,8,3,2,1769594400,1769637599,1769637599,1769637599
48,8,3,3,1769637600,1769723999,1769723999,1769723999
49,9,0,0,1770674400,1771019999,1771019999,1771019999
50,9,1,0,1771020000,1771192799,1771192800,1771193699
51,9,2,0,1771192800,1771365599,1771365600,1771366499
52,9,3,1,1771365600,1771408799,1771408799,1771408799
53,9,3,2,1771408800,1771451999,1771451999,1771451999
54,9,3,3,1771452000,1771538399,1771538399,1771538399
55,10,0,0,1772488800,1772834399,1772834399,1772834399
56,10,1,0,1772834400,1773007199,1773007200,1773008099
57,10,2,0,1773007200,1773179999,1773180000,1773180899
58,10,3,1,1773180000,1773223199,1773223199,1773223199
59,10,3,2,1773223200,1773266399,1773266399,1773266399
60,10,3,3,1773266400,1773352799,1773352799,1773352799
61,11,0,0,1774562400,1774907999,1774907999,1774907999
62,11,1,0,1774908000,1775080799,1775080800,1775081699
63,11,2,0,1775080800,1775253599,1775253600,1775254499
64,11,3,1,1775253600,1775296799,1775296799,1775296799
65,11,3,2,1775296800,1775339999,1775339999,1775339999
66,11,3,3,1775340000,1775426399,1775426399,1775426399
67,12,0,0,1776722400,1776981599,1776981599,1776981599
68,12,1,0,1776981600,1777154399,1777154400,1777155299
69,12,2,0,1777154400,1777327199,1777327200,1777328099
70,12,3,1,1777327200,1777370399,1777370399,1777370399
71,12,3,2,1777370400,1777413599,1777413599,1777413599
72,12,3,3,1777413600,1777499999,1777499999,1777499999
73,13,0,0,1778450400,1778795999,1778795999,1778795999
74,13,1,0,1778796000,1778968799,1778968800,1778969699
75,13,2,0,1778968800,1779141599,1779141600,1779142499
76,13,3,1,1779141600,1779184799,1779184799,1779184799
77,13,3,2,1779184800,1779227999,1779227999,1779227999
78,13,3,3,1779228000,1779314399,1779314399,1779314399
79,14,0,0,1780264800,1780610399,1780610399,1780610399
80,14,1,0,1780610400,1780783199,1780783200,1780784099
81,14,2,0,1780783200,1780955999,1780956000,1780956899
82,14,3,1,1780956000,1780999199,1780999199,1780999199
83,14,3,2,1780999200,1781042399,1781042399,1781042399
84,14,3,3,1781042400,1781128799,1781128799,1781128799
85,15,0,0,1782079200,1782338399,1782338399,1782338399
86,15,1,0,1782338400,1782511199,1782511200,1782512099
87,15,2,0,1782511200,1782683999,1782684000,1782684899
88,15,3,1,1782684000,1782727199,1782727199,1782727199
89,15,3,2,1782727200,1782770399,1782770399,1782770399
90,15,3,3,1782770400,1782856799,1782856799,1782856799
91,16,0,0,1783893600,1784152799,1784152799,1784152799
92,16,1,0,1784152800,1784325599,1784325600,1784326499
93,16,2,0,1784325600,1784498399,1784498400,1784499299
94,16,3,1,1784498400,1784541599,1784541599,1784541599
95,16,3,2,1784541600,1784584799,1784584799,1784584799
96,16,3,3,1784584800,1784671199,1784671199,1784671199
