id,pos_id,home_event_type,num,story_id,chara_id_1,chara_id_2,chara_id_3,condition_type,gallery_chara_id,disp_order,available_gallery_key,start_date
1,410,0,1,1001001,1001,0,0,0,1001,1,1,1614168000
2,510,0,1,1001002,1001,0,0,1,1001,2,1,1614168000
3,310,0,1,1001003,1001,0,0,1,1001,3,1,1614168000
4,310,0,1,1002001,1002,0,0,0,1002,1,1,1614168000
5,210,0,1,1002002,1002,0,0,1,1002,2,1,1614168000
6,110,0,1,1002003,1002,0,0,1,1002,3,1,1614168000
7,310,0,1,1003001,1003,0,0,1,1003,1,1,1614168000
8,410,0,1,1003002,1003,0,0,1,1003,2,1,1614168000
9,510,0,1,1003003,1003,0,0,0,1003,3,1,1614168000
10,310,0,1,1004001,1004,0,0,1,1004,1,1,1614168000
11,210,0,1,1004002,1004,0,0,1,1004,2,1,1614168000
12,110,0,1,1004003,1004,0,0,0,1004,3,1,1614168000
13,110,0,1,1006001,1006,0,0,0,1006,1,1,1614168000
14,310,0,1,1006002,1006,0,0,1,1006,2,1,1614168000
15,210,0,1,1006003,1006,0,0,1,1006,3,1,1614168000
16,510,0,1,1007001,1007,0,0,1,1007,1,1,1614168000
17,310,0,1,1007002,1007,0,0,1,1007,2,1,1614168000
18,410,0,1,1007003,1007,0,0,0,1007,3,1,1614168000
19,310,0,1,1008001,1008,0,0,0,1008,1,1,1614168000
20,110,0,1,1008002,1008,0,0,1,1008,2,1,1614168000
21,210,0,1,1008003,1008,0,0,1,1008,3,1,1614168000
22,310,0,1,1009001,1009,0,0,0,1009,1,1,1614168000
23,510,0,1,1009002,1009,0,0,1,1009,2,1,1614168000
24,410,0,1,1009003,1009,0,0,1,1009,3,1,1614168000
25,110,0,1,1010001,1010,0,0,0,1010,1,1,1614168000
26,310,0,1,1010002,1010,0,0,1,1010,2,1,1614168000
27,210,0,1,1010003,1010,0,0,1,1010,3,1,1614168000
28,310,0,1,1011001,1011,0,0,1,1011,1,1,1614168000
29,410,0,1,1011002,1011,0,0,1,1011,2,1,1614168000
30,510,0,1,1011003,1011,0,0,0,1011,3,1,1614168000
31,310,0,1,1013001,1013,0,0,0,1013,1,1,1614168000
32,510,0,1,1013002,1013,0,0,1,1013,2,1,1614168000
33,410,0,1,1013003,1013,0,0,1,1013,3,1,1614168000
34,310,0,1,1014001,1014,0,0,0,1014,1,1,1614168000
35,210,0,1,1014002,1014,0,0,1,1014,2,1,1614168000
36,110,0,1,1014003,1014,0,0,1,1014,3,1,1614168000
37,310,0,1,1017001,1017,0,0,0,1017,1,1,1614168000
38,110,0,1,1017002,1017,0,0,1,1017,2,1,1614168000
39,210,0,1,1017003,1017,0,0,1,1017,3,1,1614168000
40,310,0,1,1018001,1018,0,0,1,1018,1,1,1614168000
41,510,0,1,1018002,1018,0,0,0,1018,2,1,1614168000
42,410,0,1,1018003,1018,0,0,1,1018,3,1,1614168000
43,310,0,1,1024001,1024,0,0,1,1024,1,1,1614168000
44,410,0,1,1024002,1024,0,0,0,1024,2,1,1614168000
45,510,0,1,1024003,1024,0,0,1,1024,3,1,1614168000
46,310,0,1,1027001,1027,0,0,0,1027,1,1,1614168000
47,210,0,1,1027002,1027,0,0,1,1027,2,1,1614168000
48,110,0,1,1027003,1027,0,0,1,1027,3,1,1614168000
49,310,0,1,1030001,1030,0,0,0,1030,1,1,1614168000
