id,story_extra_id,episode_index_id,story_type_1,story_id_1,story_type_2,story_id_2,story_type_3,story_id_3,story_type_4,story_id_4,story_type_5,story_id_5,add_reward_category_1,add_reward_id_1,add_reward_num_1,add_reward_category_2,add_reward_id_2,add_reward_num_2,start_date,notice_end_date,end_date
1,1001,1,1,100000001,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1761516000,1765281599,2556100799
2,1001,2,1,100000002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1761688800,1765281599,2556100799
3,1001,3,1,100000004,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1761861600,1765281599,2556100799
4,1001,4,1,100000005,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1762034400,1765281599,2556100799
5,1001,5,1,100000006,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1762120800,1765281599,2556100799
6,1001,6,1,100000007,2,8,0,0,0,0,0,0,90,43,20,0,0,0,1762207200,1765281599,2556100799
7,1001,7,1,100000008,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1762466400,1765281599,2556100799
8,1001,8,1,100000010,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1762466400,1765281599,2556100799
9,1001,9,1,100000011,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1762466400,1765281599,2556100799
10,1001,10,1,100000012,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1762466400,1765281599,2556100799
11,1002,1,1,100001001,2,10,0,0,0,0,0,0,90,43,20,0,0,0,1773352800,1776203999,2556100799
12,1002,2,1,100001002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1773352800,1776203999,2556100799
13,1002,3,1,100001003,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1773352800,1776203999,2556100799
