character_id,voice_id,text,cue_sheet,cue_id,motion_set,scene,use_gallery,card_id,lip_sync_data,gender,motion_second_set,motion_second_start,start_date
1001,11,Cygames,snd_voi_title_100100,0,0,0,1,0,snd_voi_title_100100_0000,0,0,0,1614124800
1001,12,Umamusume: Pretty Derby!,snd_voi_title_100100,1,0,0,1,0,snd_voi_title_100100_0001,0,0,0,1614124800
1001,10000,I'm gonna get stronger... together with all of my rivals!,snd_voi_home_100100,0,2009,1,1,0,snd_voi_home_100100_0000,0,0,0,1614124800
1001,10001,"Our dream is for me to be the top Umamusume in all of Japan! Let's make it come true together, Trainer!",snd_voi_home_100100,1,1001017,1,1,0,snd_voi_home_100100_0001,0,0,0,1614124800
1001,10002,Let's go on another eating tour around the neighborhood sometime! ♪,snd_voi_home_100100,2,1001002,1,1,0,snd_voi_home_100100_0002,0,0,0,1614124800
1001,10003,Happy New Year! I'll be careful not to over-indulge over the holiday!,snd_voi_home_100100,3,2002,1,1,0,snd_voi_home_100100_0003,0,0,0,1614124800
1001,10004,Happy Valentine's Day! Here's some chocolate as a token of my appreciation for everything!,snd_voi_home_100100,4,1001007,1,1,0,snd_voi_home_100100_0004,0,0,0,1614124800
1001,10005,"I made the chocolates myself using my mom's recipe! Hehe. You'll accept them, won't you?",snd_voi_home_100100,5,1001808,1,1,0,snd_voi_home_100100_0005,0,0,0,1614124800
1001,10006,It's the perfect night for stargazing! I hope the skies are clear...,snd_voi_home_100100,6,8000,1,1,0,snd_voi_home_100100_0006,0,0,0,1614124800
1001,10007,"I thought I smelled lots of candy, and now I know why... It's Halloween! I'm all about tasty events!",snd_voi_home_100100,7,1001007,1,1,0,snd_voi_home_100100_0007,0,0,0,1614124800
1001,10008,I remember when Mommy Santa's beard fell off... Hehehe!,snd_voi_home_100100,8,1001001,1,1,0,snd_voi_home_100100_0008,0,0,0,1614124800
1001,10009,"Happy holidays! Wanna have some warm, milky stew together?",snd_voi_home_100100,9,1001007,1,1,0,snd_voi_home_100100_0009,0,0,0,1614124800
1001,10010,This year flew by in the blink of an eye! I hope I get even stronger next year!,snd_voi_home_100100,10,1001017,1,1,0,snd_voi_home_100100_0010,0,0,0,1614124800
1001,10011,Happy birthday! Wanna grab some cake from the cafeteria with me?,snd_voi_home_100100,11,8001,1,1,0,snd_voi_home_100100_0011,0,0,0,1614124800
1001,10012,Happy birthday! ♪ Hehe... Being able to celebrate with you like this makes me happy.,snd_voi_home_100100,12,1001007,1,1,0,snd_voi_home_100100_0012,0,0,0,1614124800
1001,10013,"My mom and everyone else have been wishing me a happy birthday since this morning. Ahh, today is perfect already!",snd_voi_home_100100,13,1001002,1,1,0,snd_voi_home_100100_0013,0,0,0,1614124800
1001,10014,"Thank you for celebrating with me! I'm going to continue getting stronger, so keep watching over me!",snd_voi_home_100100,14,2002,1,1,0,snd_voi_home_100100_0014,0,0,0,1614124800
1001,10015,Trainer! It looks like there's a new notice!,snd_voi_home_100100,15,8000,1,1,0,snd_voi_home_100100_0015,0,0,0,1614124800
1001,10016,You've got a present! I wonder what's inside? Ehehe!,snd_voi_home_100100,16,1001000,1,1,0,snd_voi_home_100100_0016,0,0,0,1614124800
1001,10017,"Looks like you've completed some missions! All righty, I've gotta do my best too!",snd_voi_home_100100,17,2009,1,1,0,snd_voi_home_100100_0017,0,0,0,1614124800
1001,10018,Looks like an event is starting soon! I'm so excited!,snd_voi_home_100100,18,1001007,1,1,0,snd_voi_home_100100_0018,0,0,0,1614124800
1001,10019,An event's going on?! Ooh! Let's join in!,snd_voi_home_100100,19,1001000,1,1,0,snd_voi_home_100100_0019,0,0,0,1614686400
1001,10025,This is the outfit my mom helped me pick out back home! I knew I had to be stylish for the city!,snd_voi_home_100100,25,1001008,1,1,0,snd_voi_home_100100_0025,0,0,0,1614124800
