id,announce_type,announce_id,priority,start_date,end_date
30004,1,101,1,1750897800,1751493599
30005,2,501,1,1750897800,1751493599
30006,1,102,1,1751493600,1752184799
30007,2,502,1,1751493600,1752184799
30008,1,103,1,1752184800,1753221599
30009,2,503,1,1752184800,1753221599
30010,1,104,1,1752703200,1754085599
30011,2,504,1,1752703200,1754085599
30012,1,105,1,1753653600,1754603999
30013,2,505,1,1753653600,1754603999
30014,1,106,1,1754258400,1755122399
30015,2,506,1,1754258400,1755122399
30016,1,107,1,1754949600,1755899999
30018,1,108,1,1755727200,1756677599
30019,2,507,1,1755727200,1756677599
30020,1,109,1,1756418400,1757541599
30021,2,508,1,1756418400,1757541599
30022,1,110,1,1757282400,1758232799
30024,1,111,1,1758146400,1758837599
30025,2,509,1,1758146400,1758837599
30026,1,112,1,1758492000,1759615199
30027,2,510,1,1758492000,1759615199
30028,1,113,1,1759442400,1760133599
30029,2,511,1,1759442400,1760133599
30030,1,114,1,1759874400,1760651999
30032,1,115,1,1760479200,1761602399
30033,2,512,1,1760479200,1761602399
30034,1,116,1,1761084000,1761861599
30036,1,117,1,1761861600,1762725599
30037,2,513,1,1761861600,1762725599
30038,1,118,1,1762466400,1763416799
30039,2,514,1,1762466400,1763416799
30040,1,119,1,1762898400,1763762399
30042,1,120,1,1763589600,1764367199
30043,2,515,1,1763589600,1764367199
30044,1,121,1,1764021600,1765058399
30045,2,516,1,1764021600,1765058399
30046,1,122,1,1764626400,1765403999
30048,1,123,1,1765231200,1765922399
30049,2,517,1,1765231200,1765922399
30050,1,124,1,1765749600,1766699999
30051,2,518,1,1765749600,1766699999
30052,1,125,1,1766095200,1767045599
30054,1,126,1,1766959200,1767823199
30055,2,519,1,1766959200,1767823199
30056,1,127,1,1767650400,1768946399
30057,2,520,1,1767650400,1768946399
30058,1,128,1,1768514400,1769205599
30059,2,521,1,1768514400,1769205599
30060,1,129,1,1769119200,1769896799
30062,1,130,1,1769724000,1770674399
30063,2,522,1,1769724000,1770674399
30065,2,523,1,1770328800,1771106399
30066,1,131,1,1770847200,1771538399
30068,1,132,1,1771452000,1772402399
30069,2,524,1,1771452000,1772402399
30070,1,133,1,1772056800,1772747999
30071,2,525,1,1772056800,1772747999
30072,1,134,1,1772748000,1773439199
30074,1,135,1,1773352800,1774303199
30075,2,526,1,1773352800,1774303199
30076,1,136,1,1774216800,1775167199
30077,2,527,1,1774216800,1775167199
30078,1,137,1,1774562400,1775512799
30080,1,138,1,1775426400,1776549599
30081,2,528,1,1775426400,1776549599
30082,1,139,1,1776031200,1776722399
30083,2,529,1,1776031200,1776722399
30084,1,140,1,1776722400,1777499999
30086,1,141,1,1777240800,1778277599
30087,2,530,1,1777240800,1778277599
30088,1,142,1,1777586400,1778450399
30089,2,531,1,1777586400,1778450399
30090,1,143,1,1778450400,1779314399
30092,1,144,1,1779141600,1780091999
30093,2,532,1,1779141600,1780091999
30094,1,145,1,1780005600,1780869599
30096,1,146,1,1780610400,1781474399
30097,2,533,1,1780610400,1781474399
30098,1,147,1,1781215200,1782165599
30099,2,534,1,1781215200,1782165599
30100,1,148,1,1781820000,1782597599
30101,2,535,1,1781820000,1782597599
30103,2,536,1,1782424800,1783115999
30104,1,149,1,1783029600,1784066399
30105,2,537,1,1783029600,1784066399
30106,1,150,1,1783461600,1784239199
