id,type,count_num,disp_order,stamp_id,bg_id,group_id,step,gift_message_id,anime_file_id,anime_file_label,new_start_date,start_date,end_date
10001,1,7,999,0,0,0,0,0,0,,,2021/2/24 05:00:00,2099/12/31 23:59:59
20001,2,10,3,0,0,0,0,0,0,,,2021/2/24 05:00:00,2099/12/31 23:59:59
30001,3,1,1,0,0,0,0,0,0,,,2021/2/24 05:00:00,2021/6/1 4:59:59
30002,3,1,94,0,0,0,0,0,0,,,2021/2/24 05:00:00,2021/3/2 4:59:59
30003,3,1,95,0,0,0,0,0,0,,,2021/3/2  5:00:00,2021/3/9 4:59:59
30004,3,1,96,0,0,0,0,0,0,,,2021/3/9  5:00:00,2021/3/16 4:59:59
30005,3,1,97,0,0,0,0,0,0,,,2021/3/16  5:00:00,2021/3/23 4:59:59
30006,3,1,98,0,0,0,0,0,0,,,2021/3/23  5:00:00,2021/3/30 4:59:59
30007,3,1,99,0,0,0,0,0,0,,,2021/3/30  5:00:00,2021/4/6 4:59:59
30008,3,10,2,0,0,0,0,0,0,,,2021/3/11 12:00:00,2021/6/1 4:59:59
30009,3,10,4,0,0,0,0,0,0,,,2021/4/30 12:00:00,2021/5/15 4:59:59
30010,2,1,5,0,0,0,0,0,0,,,2021/8/16 12:00:00,2021/8/17 4:59:59
30011,2,1,6,0,0,0,0,0,0,,,2021/8/17 05:00:00,2021/8/18 4:59:59
30012,2,1,7,0,0,0,0,0,0,,,2021/8/18 05:00:00,2021/8/19 4:59:59
30013,2,1,8,0,0,0,0,0,0,,,2021/8/19 05:00:00,2021/8/20 4:59:59
30014,2,1,9,0,0,0,0,0,0,,,2021/8/20 05:00:00,2021/8/21 4:59:59
30015,2,1,10,0,0,0,0,0,0,,,2021/8/21 05:00:00,2021/8/22 4:59:59
30016,2,1,11,0,0,0,0,0,0,,,2021/8/22 05:00:00,2021/8/23 4:59:59
30017,2,1,12,0,0,0,0,0,0,,,2021/8/23 05:00:00,2021/8/24 4:59:59
30018,3,10,13,0,0,0,0,0,0,,,2021/8/24 12:00:00,2021/9/30 4:59:59
30019,2,1,16,0,0,0,0,0,0,,,2021/12/27 12:00:00,2021/12/28 4:59:59
30020,2,1,17,0,0,0,0,0,0,,,2021/12/28 5:00:00,2021/12/29 4:59:59
30021,2,1,18,0,0,0,0,0,0,,,2021/12/29 5:00:00,2021/12/30 4:59:59
30022,2,1,19,0,0,0,0,0,0,,,2021/12/30 5:00:00,2021/12/31 4:59:59
30023,2,1,20,0,0,0,0,0,0,,,2021/12/31 5:00:00,2022/1/1 4:59:59
30024,3,10,21,0,0,0,0,0,0,,,2022/1/1 5:00:00,2022/1/28 4:59:59
30025,2,1,22,0,0,0,0,0,0,,,2022/2/14 12:00:00,2022/2/15 4:59:59
30026,2,1,23,0,0,0,0,0,0,,,2022/2/15 05:00:00,2022/2/16 4:59:59
30027,2,1,24,0,0,0,0,0,0,,,2022/2/16 05:00:00,2022/2/17 4:59:59
30028,2,1,25,0,0,0,0,0,0,,,2022/2/17 05:00:00,2022/2/18 4:59:59
30029,2,1,26,0,0,0,0,0,0,,,2022/2/18 05:00:00,2022/2/19 4:59:59
30030,2,1,27,0,0,0,0,0,0,,,2022/2/19 05:00:00,2022/2/20 4:59:59
30031,2,1,28,0,0,0,0,0,0,,,2022/2/20 05:00:00,2022/2/21 4:59:59
30032,2,1,29,0,0,0,0,0,0,,,2022/2/21 05:00:00,2022/2/22 4:59:59
30033,2,1,30,0,0,0,0,0,0,,,2022/2/22 05:00:00,2022/2/23 4:59:59
30034,2,1,31,0,0,0,0,0,0,,,2022/2/23 05:00:00,2022/2/24 4:59:59
30035,3,10,32,0,0,0,0,0,0,,,2022/2/24 12:00:00,2022/3/30 4:59:59
30036,3,15,33,0,0,0,0,0,0,,,2022/3/7 12:00:00,2022/3/30 4:59:59
30037,3,10,34,1,0,0,0,0,0,,,2022/4/28 12:00:00,2022/5/18 4:59:59
30038,3,10,35,0,0,0,0,0,0,,,2022/7/20 12:00:00,2022/8/10 4:59:59
30039,2,1,36,0,0,0,0,0,0,,,2022/8/16 12:00:00,2022/8/17 4:59:59
30040,2,1,37,0,0,0,0,0,0,,,2022/8/17 05:00:00,2022/8/18 4:59:59
30041,2,1,38,0,0,0,0,0,0,,,2022/8/18 05:00:00,2022/8/19 4:59:59
30042,2,1,39,0,0,0,0,0,0,,,2022/8/19 05:00:00,2022/8/20 4:59:59
30043,2,1,40,0,0,0,0,0,0,,,2022/8/20 05:00:00,2022/8/21 4:59:59
30044,2,1,41,0,0,0,0,0,0,,,2022/8/21 05:00:00,2022/8/22 4:59:59
30045,2,1,42,0,0,0,0,0,0,,,2022/8/22 05:00:00,2022/8/23 4:59:59
