id,bg_motion_id_1,bg_swap_motion_id_1_1,bg_swap_motion_speed_1_1,bg_swap_motion_blend_1_1,bg_swap_motion_id_1_2,bg_swap_motion_speed_1_2,bg_swap_motion_blend_1_2,bg_motion_id_2,bg_swap_motion_id_2_1,bg_swap_motion_blend_2_1,bg_swap_motion_id_2_2,bg_swap_motion_blend_2_2,bg_motion_id_3,bg_swap_motion_id_3_1,bg_swap_motion_blend_3_1,bg_swap_motion_id_3_2,bg_swap_motion_blend_3_2
1,5000201,5000309,400,5,5000312,0,5,5000203,5000303,15,5000306,15,5000202,5000301,5,5000302,5
2,5000201,5000309,400,5,5000312,0,5,5000205,5000303,15,5000306,15,5000204,5000301,5,5000302,5
3,5000201,5000309,400,5,5000312,0,5,5000207,5000303,15,5000306,15,5000206,5000301,5,5000302,5
4,5000201,5000309,400,5,5000312,0,5,5000203,5000303,15,5000306,15,5000202,5000301,5,5000302,5
5,5000201,5000309,400,5,5000312,0,5,5000205,5000303,15,5000306,15,5000204,5000301,5,5000302,5
6,5000201,5000309,400,5,5000312,0,5,5000207,5000303,15,5000306,15,5000206,5000301,5,5000302,5
7,5000201,5000309,400,5,5000312,0,5,5000203,5000303,15,5000306,15,5000202,5000301,5,5000302,5
8,5000201,5000309,400,5,5000312,0,5,5000205,5000303,15,5000306,15,5000204,5000301,5,5000302,5
9,5000201,5000309,400,5,5000312,0,5,5000207,5000303,15,5000306,15,5000206,5000301,5,5000302,5
10,5000201,5000309,400,5,5000312,0,5,5000203,5000303,15,5000306,15,5000202,5000301,5,5000302,5
11,5000201,5000309,400,5,5000312,0,5,5000205,5000303,15,5000306,15,5000204,5000301,5,5000302,5
12,5000201,5000309,400,5,5000312,0,5,5000207,5000303,15,5000306,15,5000206,5000301,5,5000302,5
13,5000208,5000310,400,5,5000313,0,5,5000210,5000304,15,5000307,15,5000209,5000301,5,5000302,5
14,5000208,5000310,400,5,5000313,0,5,5000212,5000304,15,5000307,15,5000211,5000301,5,5000302,5
15,5000208,5000310,400,5,5000313,0,5,5000214,5000304,15,5000307,15,5000213,5000301,5,5000302,5
16,5000208,5000310,400,5,5000313,0,5,5000210,5000304,15,5000307,15,5000209,5000301,5,5000302,5
17,5000208,5000310,400,5,5000313,0,5,5000212,5000304,15,5000307,15,5000211,5000301,5,5000302,5
18,5000208,5000310,400,5,5000313,0,5,5000214,5000304,15,5000307,15,5000213,5000301,5,5000302,5
19,5000208,5000310,400,5,5000313,0,5,5000210,5000304,15,5000307,15,5000209,5000301,5,5000302,5
20,5000208,5000310,400,5,5000313,0,5,5000212,5000304,15,5000307,15,5000211,5000301,5,5000302,5
21,5000208,5000310,400,5,5000313,0,5,5000214,5000304,15,5000307,15,5000213,5000301,5,5000302,5
22,5000208,5000310,400,5,5000313,0,5,5000210,5000304,15,5000307,15,5000209,5000301,5,5000302,5
23,5000208,5000310,400,5,5000313,0,5,5000212,5000304,15,5000307,15,5000211,5000301,5,5000302,5
24,5000208,5000310,400,5,5000313,0,5,5000214,5000304,15,5000307,15,5000213,5000301,5,5000302,5
25,5000215,5000311,400,5,5000314,0,5,5000217,5000305,15,5000308,15,5000216,5000301,5,5000302,5
26,5000215,5000311,400,5,5000314,0,5,5000219,5000305,15,5000308,15,5000218,5000301,5,5000302,5
27,5000215,5000311,400,5,5000314,0,5,5000221,5000305,15,5000308,15,5000220,5000301,5,5000302,5
28,5000215,5000311,400,5,5000314,0,5,5000217,5000305,15,5000308,15,5000216,5000301,5,5000302,5
29,5000215,5000311,400,5,5000314,0,5,5000219,5000305,15,5000308,15,5000218,5000301,5,5000302,5
30,5000215,5000311,400,5,5000314,0,5,5000221,5000305,15,5000308,15,5000220,5000301,5,5000302,5
31,5000215,5000311,400,5,5000314,0,5,5000217,5000305,15,5000308,15,5000216,5000301,5,5000302,5
32,5000215,5000311,400,5,5000314,0,5,5000219,5000305,15,5000308,15,5000218,5000301,5,5000302,5
33,5000215,5000311,400,5,5000314,0,5,5000221,5000305,15,5000308,15,5000220,5000301,5,5000302,5
34,5000215,5000311,400,5,5000314,0,5,5000217,5000305,15,5000308,15,5000216,5000301,5,5000302,5
35,5000215,5000311,400,5,5000314,0,5,5000219,5000305,15,5000308,15,5000218,5000301,5,5000302,5
36,5000215,5000311,400,5,5000314,0,5,5000221,5000305,15,5000308,15,5000220,5000301,5,5000302,5
