id,type,value,index,start_date,end_date
1,1,1001,1,2017-01-01 00:00:00,2050-01-01 23:59:59
2,1,1002,1,2017-01-01 00:00:00,2050-01-01 23:59:59
3,1,1003,1,2017-01-01 00:00:00,2050-01-01 23:59:59
4,1,1004,1,2017-01-01 00:00:00,2050-01-01 23:59:59
5,1,1005,1,2017-01-01 00:00:00,2050-01-01 23:59:59
6,1,1006,1,2017-01-01 00:00:00,2050-01-01 23:59:59
7,1,1007,1,2017-01-01 00:00:00,2050-01-01 23:59:59
8,1,1008,1,2017-01-01 00:00:00,2050-01-01 23:59:59
9,1,1009,1,2017-01-01 00:00:00,2050-01-01 23:59:59
10,1,1010,1,2017-01-01 00:00:00,2050-01-01 23:59:59
11,1,1011,1,2017-01-01 00:00:00,2050-01-01 23:59:59
12,1,1012,1,2017-01-01 00:00:00,2050-01-01 23:59:59
13,1,1013,1,2017-01-01 00:00:00,2050-01-01 23:59:59
14,1,1014,1,2017-01-01 00:00:00,2050-01-01 23:59:59
15,1,1015,1,2017-01-01 00:00:00,2050-01-01 23:59:59
16,1,1016,1,2021-08-24 12:00:00,2050-01-01 23:59:59
17,1,1017,1,2017-01-01 00:00:00,2050-01-01 23:59:59
18,1,1018,1,2017-01-01 00:00:00,2050-01-01 23:59:59
19,1,1019,1,2017-01-01 00:00:00,2050-01-01 23:59:59
20,1,1020,1,2017-01-01 00:00:00,2050-01-01 23:59:59
21,1,1021,1,2017-01-01 00:00:00,2050-01-01 23:59:59
22,1,1022,1,2017-01-01 00:00:00,2050-01-01 23:59:59
23,1,1023,1,2017-01-01 00:00:00,2050-01-01 23:59:59
24,1,1024,1,2017-01-01 00:00:00,2050-01-01 23:59:59
25,1,1025,1,2017-01-01 00:00:00,2050-01-01 23:59:59
26,1,1026,1,2017-01-01 00:00:00,2050-01-01 23:59:59
27,1,1027,1,2017-01-01 00:00:00,2050-01-01 23:59:59
28,1,1028,1,2021-08-24 12:00:00,2050-01-01 23:59:59
29,1,1029,1,2017-01-01 00:00:00,2050-01-01 23:59:59
30,1,1030,1,2017-01-01 00:00:00,2050-01-01 23:59:59
31,1,1031,1,2017-01-01 00:00:00,2050-01-01 23:59:59
32,1,1032,1,2017-01-01 00:00:00,2050-01-01 23:59:59
33,1,1033,1,2021-08-24 12:00:00,2050-01-01 23:59:59
34,1,1034,1,2021-08-24 12:00:00,2050-01-01 23:59:59
35,1,1035,1,2017-01-01 00:00:00,2050-01-01 23:59:59
36,1,1036,1,2017-01-01 00:00:00,2050-01-01 23:59:59
37,1,1037,1,2017-01-01 00:00:00,2050-01-01 23:59:59
38,1,1038,1,2021-08-24 12:00:00,2050-01-01 23:59:59
39,1,1039,1,2021-08-24 12:00:00,2050-01-01 23:59:59
40,1,1040,1,2017-01-01 00:00:00,2050-01-01 23:59:59
41,1,1041,1,2017-01-01 00:00:00,2050-01-01 23:59:59
42,1,1042,1,2021-08-24 12:00:00,2050-01-01 23:59:59
43,1,1043,1,2021-08-24 12:00:00,2050-01-01 23:59:59
44,1,1044,1,2021-08-24 12:00:00,2050-01-01 23:59:59
45,1,1045,1,2017-01-01 00:00:00,2050-01-01 23:59:59
46,1,1046,1,2017-01-01 00:00:00,2050-01-01 23:59:59
47,1,1047,1,2021-08-24 12:00:00,2050-01-01 23:59:59
48,1,1048,1,2021-08-24 12:00:00,2050-01-01 23:59:59
