id,level,score_rate,bonus_group,rarity,limit_break_count,score_rate_per_card,start_date,end_date
8,0,0,1,1,0,1,1759762801,2556111599
9,0,0,2,1,1,3,1759762801,2556111599
10,0,0,2,2,0,3,1759762801,2556111599
11,0,0,3,1,2,5,1759762801,2556111599
12,0,0,3,2,1,5,1759762801,2556111599
13,0,0,3,3,0,5,1759762801,2556111599
14,0,0,4,1,3,7,1759762801,2556111599
15,0,0,4,2,2,7,1759762801,2556111599
16,0,0,4,3,1,7,1759762801,2556111599
17,0,0,5,1,4,10,1759762801,2556111599
18,0,0,5,2,3,10,1759762801,2556111599
19,0,0,5,3,2,10,1759762801,2556111599
20,0,0,6,2,4,15,1759762801,2556111599
21,0,0,6,3,3,15,1759762801,2556111599
22,0,0,7,3,4,20,1759762801,2556111599
