id,chara_id,rarity,exchange_item_id,exchange_item_num,effect_table_id,unique_effect_id,command_type,command_id,support_card_type,skill_set_id,detail_pos_x,detail_pos_y,detail_scale,detail_rot_z,start_date,disp_order,outing_max,effect_id
10001,1001,1,48,10,10001,0,1,103,1,9081001,0,-1100000,10000,0,1614092400,1000001,0,0
10002,1002,1,48,10,10002,0,1,101,1,9081002,0,-1100000,10000,0,1614092400,1000002,0,0
10003,1003,1,48,10,10003,0,1,101,1,9081003,0,-900000,10000,0,1614092400,1000003,0,0
10004,1004,1,48,10,10004,0,1,101,1,9081004,0,-1000000,10000,0,1614092400,1000004,0,0
10005,1006,1,48,10,10005,0,1,102,1,9081006,0,-1100000,10000,0,1614092400,1000005,0,0
10006,1007,1,48,10,10006,0,1,105,1,9081007,0,-1100000,10000,0,1614092400,1000006,0,0
10007,1008,1,48,10,10007,0,1,102,1,9081008,0,-1100000,10000,0,1614092400,1000007,0,0
10008,1010,1,48,10,10008,0,1,101,1,9081010,0,-1100000,10000,0,1614092400,1000008,0,0
10009,1011,1,48,10,10009,0,1,103,1,9081011,0,-10000,10000,0,1614092400,1000009,0,0
10010,1013,1,48,10,10010,0,1,105,1,9081013,0,-850000,10000,0,1614092400,1000010,0,0
10011,1014,1,48,10,10011,0,1,102,1,9081014,0,-1100000,10000,0,1614092400,1000011,0,0
10012,1015,1,48,10,10012,0,1,105,1,9081015,0,-1000000,10000,0,1614092400,1000012,0,0
10013,1017,1,48,10,10013,0,1,106,1,9081017,0,-1100000,10000,0,1614092400,1000013,0,0
10014,1020,1,48,10,10014,0,1,105,1,9081020,0,-500000,10000,0,1614092400,1000014,0,0
10015,1030,1,48,10,10015,0,1,105,1,9081030,0,10000,10000,0,1614092400,1000015,0,0
10016,1035,1,48,10,10016,0,1,103,1,9081035,0,-300000,10000,0,1614092400,1000016,0,0
10017,1040,1,48,10,10017,0,1,101,1,9081040,0,-600000,10000,0,1614092400,1000017,0,0
10018,1041,1,48,10,10018,0,1,101,1,9081041,0,-300000,10000,0,1614092400,1000018,0,0
10019,1045,1,48,10,10019,0,1,105,1,9081045,0,-600000,10000,0,1614092400,1000019,0,0
10020,1052,1,48,10,10020,0,1,103,1,9081052,0,0,10000,0,1614092400,1000020,0,0
10021,9001,1,48,10,10021,0,0,0,2,9089001,0,-1250000,10000,0,1614092400,1000021,5,0
10022,9004,1,48,10,10022,0,0,0,2,9089004,0,-600000,10000,0,1614092400,1000022,5,0
10023,1009,1,48,10,10023,0,1,106,1,9081009,0,-50000,10000,0,1614092400,1000023,0,0
10024,1012,1,48,10,10024,0,1,102,1,9081012,0,450000,10000,0,1614092400,1000024,0,0
10025,1018,1,48,10,10025,0,1,103,1,9081018,0,-200000,10000,0,1614092400,1000025,0,0
10026,1019,1,48,10,10026,0,1,102,1,9081019,50000,200000,10000,0,1614092400,1000026,0,0
10027,1021,1,48,10,10027,0,1,105,1,9081021,0,0,10000,0,1614092400,1000027,0,0
10028,1022,1,48,10,10028,0,1,106,1,9081022,0,-900000,10000,0,1614092400,1000028,0,0
10029,1023,1,48,10,10029,0,1,102,1,9081023,0,0,10000,0,1614092400,1000029,0,0
10030,1024,1,48,10,10030,0,1,105,1,9081024,0,-100000,10000,0,1614092400,1000030,0,0
10031,1025,1,48,10,10031,0,1,105,1,9081025,0,-50000,10000,0,1614092400,1000031,0,0
10032,1026,1,48,10,10032,0,1,102,1,9081026,0,-550000,10000,0,1614092400,1000032,0,0
10033,1027,1,48,10,10033,0,1,102,1,9081027,0,-500000,10000,0,1614092400,1000033,0,0
