id,race_sp_rule_data_id,skill_id
1,2,900251
2,2,900851
3,2,910301
4,2,910581
5,2,910071
6,2,200771
7,2,200772
8,2,200781
9,2,200791
10,2,200801
11,2,200811
12,2,200821
13,2,200831
14,2,200861
15,2,200891
16,2,200921
17,2,200841
18,2,200871
19,2,200901
20,2,200931
21,2,200851
22,2,200881
23,2,200911
24,2,200941
25,2,200691
26,2,200692
27,2,201011
28,2,201012
29,2,201022
30,2,201082
31,2,201091
32,2,201092
33,2,201151
34,2,201152
35,2,201161
36,2,201162
37,2,201221
38,2,201222
39,2,201231
40,2,201232
41,2,201302
42,2,201371
43,2,201372
44,2,201441
45,2,201442
46,2,201511
47,2,201512
48,2,202131
49,2,202132
50,2,202352
51,2,202362
52,2,202541
53,2,202542
54,2,202912
55,2,202942
