id,story_event_id,chara_id,card_id,rarity_1,rarity_2,rarity_3,rarity_4,rarity_5,start_date,end_date
1,1001,1001,0,0,0,10,12,15,1614654000,1615777199
2,1001,1015,0,0,0,10,12,15,1614654000,1615777199
3,1001,1002,0,0,0,5,7,10,1614654000,1615777199
4,1001,1003,0,0,0,5,7,10,1614654000,1615777199
5,1001,1026,0,0,0,10,12,15,1615258800,1615777199
6,1002,1003,100301,0,0,5,7,10,1617073200,1618455599
7,1002,1003,100302,0,0,10,12,15,1617073200,1618455599
8,1002,1013,101301,0,0,5,7,10,1617073200,1618455599
9,1002,1013,101302,0,0,10,12,15,1617073200,1618455599
10,1002,1060,106001,1,3,5,7,10,1617073200,1618455599
11,1003,1024,102401,0,3,5,7,10,1622170800,1623293999
12,1003,1024,102402,0,0,10,12,15,1622170800,1623293999
13,1003,1018,101801,0,3,5,7,10,1622170800,1623293999
14,1003,1018,101802,0,0,10,12,15,1622170800,1623293999
15,1004,1014,101402,0,0,10,12,15,1624935600,1626058799
16,1004,1011,101102,0,0,10,12,15,1624935600,1626058799
17,1004,1014,101401,0,3,5,7,10,1624935600,1626058799
18,1004,1011,101101,0,3,5,7,10,1624935600,1626058799
19,1004,1007,100701,0,3,5,7,10,1624935600,1626058799
20,1004,1020,102001,0,0,5,7,10,1624935600,1626058799
21,1004,1061,106101,1,3,5,7,10,1624935600,1626058799
22,1005,1001,100101,0,0,5,7,10,1627527600,1628650799
23,1005,1001,100102,0,0,10,12,15,1627527600,1628650799
24,1005,1004,100401,0,0,5,7,10,1627527600,1628650799
25,1005,1004,100402,0,0,10,12,15,1627527600,1628650799
26,1005,1009,100901,0,3,5,7,10,1627527600,1628650799
27,1005,1035,103501,1,3,5,7,10,1627527600,1628650799
28,1006,1030,103002,0,0,10,12,15,1632884400,1633921199
29,1006,1030,103001,0,0,5,7,10,1632884400,1633921199
30,1006,1045,104502,0,0,10,12,15,1632884400,1633921199
31,1006,1045,104501,0,3,5,7,10,1632884400,1633921199
32,1006,1026,102601,0,0,5,7,10,1632884400,1633921199
33,1007,1017,101702,0,0,10,12,15,1635390000,1636340399
34,1007,1017,101701,0,0,5,7,10,1635390000,1636340399
35,1007,1040,104002,0,0,10,12,15,1635390000,1636340399
36,1007,1040,104001,0,0,5,7,10,1635390000,1636340399
37,1007,1016,101601,0,0,5,7,10,1635390000,1636340399
38,1007,1038,103801,0,0,5,7,10,1635390000,1636340399
39,1008,1006,100602,0,0,10,12,15,1638154800,1639450799
40,1008,1006,100601,0,0,5,7,10,1638154800,1639450799
41,1008,1023,102302,0,0,10,12,15,1638154800,1639450799
42,1008,1023,102301,0,0,5,7,10,1638154800,1639450799
43,1008,1024,102401,0,3,5,7,10,1638154800,1639450799
44,1008,1050,105001,0,0,5,7,10,1638154800,1639450799
45,1008,1024,102402,0,0,5,7,10,1638154800,1639450799
46,1009,1052,105202,0,0,10,12,15,1640919600,1641869999
47,1009,1015,101502,0,0,10,12,15,1640919600,1641869999
48,1009,1052,105201,1,3,5,7,10,1640919600,1641869999
49,1009,1015,101501,0,0,5,7,10,1640919600,1641869999
50,1009,1056,105601,1,3,5,7,10,1640919600,1641869999
51,1009,1058,105801,0,0,5,7,10,1640919600,1641869999
52,1009,1056,105602,0,0,5,7,10,1640919600,1641869999
53,1010,1026,102602,0,0,10,12,15,1643338800,1644289199
54,1010,1037,103702,0,0,10,12,15,1643338800,1644289199
55,1010,1026,102601,0,0,5,7,10,1643338800,1644289199
56,1010,1037,103701,0,0,5,7,10,1643338800,1644289199
57,1010,1048,104801,0,0,5,7,10,1643338800,1644289199
58,1010,1041,104101,1,3,5,7,10,1643338800,1644289199
59,1011,1062,106201,0,5,10,12,15,1645671600,1646621999
60,1011,1068,106801,0,0,10,12,15,1645671600,1646621999
61,1011,1001,100101,0,0,5,7,10,1645671600,1646621999
62,1011,1001,100102,0,0,5,7,10,1645671600,1646621999
63,1011,1007,100701,0,3,5,7,10,1645671600,1646621999
64,1011,1015,101501,0,0,5,7,10,1645671600,1646621999
65,1011,1015,101502,0,0,5,7,10,1645671600,1646621999
66,1011,1027,102701,1,3,5,7,10,1645671600,1646621999
67,1011,1033,103301,0,0,5,7,10,1645671600,1646621999
68,1011,1041,104101,1,3,5,7,10,1645671600,1646621999
69,1011,1058,105801,0,0,5,7,10,1645671600,1646621999
70,1012,1020,102002,0,0,10,12,15,1648522800,1649645999
71,1012,1005,100502,0,0,10,12,15,1648522800,1649645999
72,1012,1020,102001,0,0,5,7,10,1648522800,1649645999
73,1012,1005,100501,0,0,5,7,10,1648522800,1649645999
74,1012,1017,101701,0,0,5,7,10,1648522800,1649645999
75,1012,1017,101702,0,0,5,7,10,1648522800,1649645999
76,1013,1061,106102,0,0,10,12,15,1651114800,1652151599
77,1013,1060,106002,0,0,10,12,15,1651114800,1652151599
78,1013,1061,106101,1,3,5,7,10,1651114800,1652151599
79,1013,1060,106001,1,3,5,7,10,1651114800,1652151599
80,1013,1039,103901,0,0,5,7,10,1651114800,1652151599
81,1014,1038,103802,0,0,10,12,15,1653879600,1654829999
82,1014,1022,102202,0,0,10,12,15,1653879600,1654829999
83,1014,1038,103801,0,0,5,7,10,1653879600,1654829999
84,1014,1022,102201,0,0,5,7,10,1653879600,1654829999
85,1014,1030,103001,0,0,5,7,10,1653879600,1654829999
86,1014,1030,103002,0,0,5,7,10,1653879600,1654829999
87,1014,1052,105201,1,3,5,7,10,1653879600,1654829999
88,1014,1052,105202,0,0,5,7,10,1653879600,1654829999
89,1015,1010,101002,0,0,30,32,35,1656558000,1657508399
90,1015,1059,105902,0,0,30,32,35,1656558000,1657508399
91,1015,1010,101001,0,0,10,13,16,1656558000,1657508399
92,1015,1059,105901,0,0,10,13,16,1656558000,1657508399
93,1015,1014,101402,0,0,10,13,16,1656558000,1657508399
94,1015,1014,101401,0,7,10,13,16,1656558000,1657508399
95,1015,1062,106201,0,7,10,13,16,1656558000,1657508399
96,1016,1007,100702,0,0,30,32,35,1659063600,1660100399
97,1016,1013,101303,0,0,30,32,35,1659063600,1660100399
98,1016,1004,100401,0,0,10,13,16,1659063600,1660100399
99,1016,1004,100402,0,0,10,13,16,1659063600,1660100399
100,1016,1007,100701,0,7,10,13,16,1659063600,1660100399
101,1016,1013,101301,0,0,10,13,16,1659063600,1660100399
102,1016,1013,101302,0,0,10,13,16,1659063600,1660100399
103,1016,1069,106901,0,0,10,13,16,1659063600,1660100399
104,1017,1035,103502,0,0,30,32,35,1661742000,1662951599
105,1017,1050,105002,0,0,30,32,35,1661742000,1662951599
106,1017,1050,105001,0,0,10,13,16,1661742000,1662951599
107,1017,1023,102301,0,0,10,13,16,1661742000,1662951599
108,1017,1023,102302,0,0,10,13,16,1661742000,1662951599
109,1017,1003,100301,0,0,10,13,16,1661742000,1662951599
110,1017,1003,100302,0,0,10,13,16,1661742000,1662951599
111,1017,1035,103501,4,7,10,13,16,1661742000,1662951599
112,1018,1058,105802,0,0,30,32,35,1664420400,1665457199
113,1018,1019,101902,0,0,30,32,35,1664420400,1665457199
114,1018,1058,105801,0,0,10,13,16,1664420400,1665457199
115,1018,1019,101901,0,0,10,13,16,1664420400,1665457199
116,1018,1064,106401,0,0,10,13,16,1664420400,1665457199
117,1019,1021,102102,0,0,30,32,35,1666926000,1667962799
118,1019,1034,103402,0,0,30,32,35,1666926000,1667962799
119,1019,1021,102101,0,0,10,13,16,1666926000,1667962799
120,1019,1006,100601,0,0,10,13,16,1666926000,1667962799
121,1019,1006,100602,0,0,10,13,16,1666926000,1667962799
122,1019,1034,103401,0,0,10,13,16,1666926000,1667962799
123,1019,1071,107101,0,0,10,13,16,1666926000,1667962799
124,1019,1072,107201,0,0,10,13,16,1666926000,1667962799
125,1020,1008,100802,0,0,30,32,35,1669604400,1670813999
126,1020,1009,100902,0,0,30,32,35,1669604400,1670813999
127,1020,1008,100801,0,7,10,13,16,1669604400,1670813999
128,1020,1009,100901,0,7,10,13,16,1669604400,1670813999
129,1020,1016,101601,0,0,10,13,16,1669604400,1670813999
130,1020,1018,101801,0,7,10,13,16,1669604400,1670813999
131,1020,1018,101802,0,0,10,13,16,1669604400,1670813999
132,1021,1068,106802,0,0,30,32,35,1672282800,1673319599
133,1021,1067,106702,0,0,30,32,35,1672282800,1673319599
134,1021,1068,106801,0,0,10,13,16,1672282800,1673319599
135,1021,1067,106701,0,0,10,13,16,1672282800,1673319599
