id,available_skill_set_id,skill_id,need_rank
10010100,100101,200512,0
10010101,100101,201352,0
10010102,100101,200732,0
10010120,100101,200162,2
10010130,100101,201351,3
10010140,100101,200612,4
10010150,100101,200511,5
10010160,100101,204262,6
10010170,100101,204111,7
10010200,100102,200462,0
10010201,100102,200592,0
10010202,100102,201132,0
10010220,100102,200212,2
10010230,100102,200591,3
10010240,100102,201611,4
10010250,100102,200461,5
10010300,100103,200332,0
10010301,100103,201212,0
10010302,100103,200612,0
10010320,100103,201172,2
10010330,100103,201211,3
10010340,100103,201182,4
10010350,100103,202061,5
10020100,100201,200432,0
10020101,100201,200552,0
10020102,100201,200712,0
10020120,100201,200022,2
10020130,100201,200431,3
10020140,100201,200542,4
10020150,100201,200551,5
10020200,100202,200542,0
10020201,100202,200382,0
10020202,100202,202692,0
10020220,100202,201252,2
10020230,100202,200541,3
10020240,100202,201611,4
10020250,100202,202691,5
10030100,100301,200452,0
10030101,100301,201132,0
10030102,100301,201332,0
10030120,100301,200502,2
10030130,100301,201331,3
10030140,100301,201142,4
10030150,100301,201131,5
10030160,100301,204262,6
10030170,100301,203441,7
10030200,100302,200452,0
10030201,100302,201142,0
10030202,100302,200572,0
10030220,100302,200172,2
10030230,100302,200571,3
10030240,100302,200352,4
10030250,100302,201141,5
10030300,100303,201902,0
10030301,100303,200562,0
10030302,100303,202482,0
10030320,100303,201611,2
10030330,100303,201901,3
10030340,100303,201312,4
10030350,100303,200561,5
10040100,100401,200362,0
10040101,100401,201052,0
10040102,100401,200532,0
10040120,100401,201062,2
10040130,100401,201051,3
10040140,100401,200432,4
10040150,100401,201061,5
10040200,100402,200352,0
10040201,100402,200682,0
10040202,100402,201282,0
10040220,100402,201571,2
10040230,100402,201281,3
10040240,100402,201082,4
10040250,100402,200681,5
10040300,100403,201032,0
10040301,100403,200682,0
10040302,100403,201072,0
10040320,100403,203462,2
10040330,100403,201071,3
10040340,100403,201052,4
10040350,100403,203461,5
10050100,100501,200771,0
10050101,100501,201072,0
10050102,100501,200572,0
10050120,100501,201052,2
10050130,100501,201071,3
10050140,100501,201042,4
10050150,100501,200571,5
10050200,100502,200771,0
10050201,100502,201042,0
10050202,100502,200582,0
10050220,100502,201332,2
10050230,100502,200772,3
10050240,100502,201902,4
