filter_id,is_modifiable,command_id,scenario_id,condition_set_id,priority
1001,1,10110,1,304,0
1002,1,10110,1,305,1
1003,1,10110,1,306,2
1004,1,10110,1,307,3
1005,0,10110,1,303,3
1006,0,10101,1,601,3
1007,0,10102,1,602,3
1008,0,10103,1,603,3
1009,0,10104,1,604,3
1010,0,10105,1,605,3
1011,0,10106,1,211,100
1012,0,10107,1,211,100
1013,0,10108,1,211,100
10001,1,100110,10,304,0
10002,1,100110,10,305,1
10003,1,100110,10,306,2
10004,1,100110,10,307,3
10005,0,100110,10,303,3
10006,0,100101,10,601,3
10007,0,100102,10,602,3
10008,0,100103,10,603,3
10009,0,100104,10,604,3
10010,0,100105,10,605,3
10011,0,100106,10,211,100
10012,0,100107,10,211,100
10013,0,100108,10,211,100
11001,1,110110,11,304,0
11002,1,110110,11,305,1
11003,1,110110,11,306,2
11004,1,110110,11,307,3
11005,0,110110,11,303,3
11011,0,110106,11,211,100
11012,0,110107,11,211,100
11013,0,110108,11,211,100
12001,1,120110,12,304,0
12002,1,120110,12,305,1
12003,1,120110,12,306,2
12004,1,120110,12,307,3
12005,0,120110,12,303,3
12006,0,120101,12,601,3
12007,0,120102,12,602,3
12008,0,120103,12,603,3
12009,0,120104,12,604,3
12010,0,120105,12,605,3
12011,0,120106,12,211,100
12012,0,120107,12,211,100
12013,0,120108,12,211,100
13001,1,130110,13,304,0
13002,1,130110,13,305,1
13003,1,130110,13,306,2
13004,1,130110,13,307,3
13005,0,130110,13,303,3
13006,0,130101,13,601,3
13007,0,130102,13,602,3
13008,0,130103,13,603,3
13009,0,130104,13,604,3
13010,0,130105,13,605,3
13011,0,130106,13,211,100
13012,0,130107,13,211,100
13013,0,130108,13,211,100
14001,1,140110,14,304,0
14002,1,140110,14,305,1
14003,1,140110,14,306,2
14004,1,140110,14,307,3
14005,0,140110,14,303,3
14006,0,140101,14,601,3
14007,0,140102,14,602,3
14008,0,140103,14,603,3
14009,0,140104,14,604,3
14010,0,140105,14,605,3
14011,0,140106,14,211,100
14012,0,140107,14,211,100
14013,0,140108,14,211,100
