id,group_id,chara_id,dress_id,clear_history_racetitle,clear_history_racetitle_sub
1,1001,1068,106802,1023,0
2,1002,1068,106801,1006,0
3,1003,1108,110801,1005,0
4,1004,1041,104101,1013,0
5,1005,1082,108201,1018,0
6,1006,1035,103501,1010,0
7,1007,1023,102301,1015,0
8,1008,1080,108001,1110,0
9,1009,1121,112101,1013,0
10,1010,1019,101901,1011,0
11,1011,1094,109401,1019,0
12,1012,1025,102501,1006,0
13,1013,1099,109901,1020,0
14,1014,1051,105101,1013,0
15,1015,1065,106501,1018,0
16,1016,1033,103301,1010,0
17,1017,1119,111901,1023,0
18,1018,1046,104601,1106,0
19,1019,1109,110901,2008,0
20,1020,1078,107801,1011,0
21,1021,1116,111601,1014,0
22,1022,1115,111501,1015,0
23,1023,1079,107901,1109,0
24,1024,9046,904601,1010,0
25,1025,9047,904701,1023,0
26,1026,9048,904801,1106,0
27,1027,1095,109501,2021,0
28,1028,1109,110902,1004,0
29,1029,1113,111301,1017,0
30,1030,1133,113301,1023,0
31,1031,1098,109801,1119,0
32,1032,1053,105301,1013,0
33,1033,1006,100601,1018,0
34,1034,1069,106901,1010,0
35,1035,1021,102101,1016,0
36,1036,1045,104501,1027,0
37,1037,1006,100602,1023,0
38,1038,1120,112001,1013,0
39,1039,1010,101001,1018,0
40,1040,1129,112901,1019,0
41,1041,1143,114301,1023,0
42,1042,1081,108101,1030,0
43,1043,1138,113801,9124,0
