id,story_id,short_story_id,card_id,card_chara_id,support_card_id,support_chara_id,show_progress_1,show_progress_2,show_progress_3,show_clear,show_succession,event_title_style,event_title_dress_icon,event_title_chara_icon,se_change,ending_type,race_event_flag,mini_game_result,gallery_main_scenario,gallery_flag,gallery_list_id,gallery_gruop_id,gallery_sort,gallery_condition,gallery_suggest_event,available_gallery_key,past_race_id,past_race_id_2,past_race_id_3,past_race_id_4,force_use_race_dress,event_category
1,400000090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,400000091,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,400000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,400001022,400001411,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,13,0,0,0,0,1,0,0,0,0,0,1
5,400001030,400001412,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,14,0,0,0,0,0,0,0,0,0,0,1
6,400000001,400000400,0,0,0,0,0,0,0,0,0,0,0,9001,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0
7,400000009,0,0,0,0,0,0,0,0,0,0,0,0,9002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,400000010,0,0,0,0,0,0,0,0,0,0,0,0,9002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,400000011,0,0,0,0,0,0,0,0,0,0,0,0,9002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,400000012,0,0,0,0,0,0,0,0,0,0,0,0,9002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,400000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,400000031,0,0,0,0,0,0,0,0,0,0,0,0,9003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,400000032,0,0,0,0,0,0,0,0,0,0,0,0,9003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,400000033,0,0,0,0,0,0,0,0,0,0,0,0,9003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,400000034,0,0,0,0,0,0,0,0,0,0,0,0,9003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,400000035,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,400000036,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,400001002,400001401,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,0,0,0,1
19,400001013,400001402,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,3,0,0,0,0,1,0,0,0,0,0,1
20,400001014,400001403,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,4,0,0,0,0,1,0,0,0,0,0,1
21,400001015,400001404,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,5,0,0,0,0,1,0,0,0,0,0,1
22,400001016,400001405,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,6,0,0,0,0,1,0,0,0,0,0,1
23,400001017,400001406,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,8,0,0,0,0,1,0,0,0,0,0,1
24,400001018,400001407,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,9,0,0,0,0,1,0,0,0,0,0,1
25,400001019,400001408,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,10,0,0,0,0,1,0,0,0,0,0,1
