id,scenario_id,period,character_id,dress_id,voice_id
1,6,4,1021,0,92002
2,6,4,1045,0,92017
3,6,4,1047,0,92002
4,6,4,1057,0,20004
5,6,4,1065,0,20007
6,6,4,1065,0,92000
7,6,4,1066,0,20005
8,6,4,1066,0,20006
9,6,4,1077,0,92002
10,6,4,1083,0,92003
11,6,4,1060,0,92218
12,6,4,1110,0,20007
13,6,4,1110,0,92002
14,6,4,1104,0,92003
15,6,4,1106,0,92018
16,7,2,1031,103113,92011
17,7,2,1031,103102,92011
18,11,2,1031,103113,92011
19,11,2,1031,103102,92011
20,11,3,1031,103113,92011
21,11,3,1031,103102,92011
22,11,2,1019,0,92011
23,11,3,1019,0,92011
24,11,3,1021,0,92011
25,11,2,1021,0,20011
26,11,3,1021,0,20011
27,11,3,1039,0,92011
28,11,3,1048,0,92011
29,11,2,1059,0,20010
30,11,3,1059,0,20010
31,11,2,1066,0,20005
32,11,3,1066,0,20005
33,11,2,1066,0,20006
34,11,3,1066,0,20006
35,11,2,1066,0,20010
36,11,3,1066,0,20010
37,11,3,1068,0,92011
38,11,2,1069,0,92011
39,11,3,1069,0,92011
40,11,3,1070,0,92011
41,11,3,1071,0,92011
42,11,3,1078,0,92011
43,11,2,1080,0,20009
44,11,3,1080,0,20009
45,11,2,1080,0,92011
46,11,3,1080,0,92011
47,11,3,1083,0,92011
48,11,3,1085,0,92011
49,11,2,1086,0,20005
50,11,3,1086,0,20005
51,11,3,1087,0,92011
52,11,2,1099,0,92011
53,11,3,1099,0,92011
54,11,3,1102,0,92011
55,11,2,1107,0,20004
56,11,3,1107,0,20004
57,11,3,1109,0,92011
58,11,3,1117,0,92011
59,11,3,1121,0,92011
60,11,2,1127,0,20006
61,11,3,1127,0,20006
62,11,2,1127,0,92011
63,11,3,1127,0,92011
64,11,3,1133,0,92011
65,6,4,1063,0,92020
66,6,4,1132,0,92017
67,6,4,1130,0,20007
68,6,4,1130,0,20011
69,6,4,1041,0,92218
70,6,4,1118,0,20007
71,6,4,1134,0,20003
72,6,4,1134,0,20004
