id,chara_id,dress_id,cut_id,cut_sub_id,replace_index
1,1036,901036,1,1,0
2,1050,901050,1,1,0
3,1078,901078,1,1,0
4,1134,901134,1,1,0
5,1134,25,1,1,0
6,1023,901023,1,1,1
7,1006,901006,1,1,2
8,1016,901016,1,1,2
9,1008,901008,1,1,2
10,1049,901049,1,1,2
11,1080,901080,1,1,3
12,1021,901021,2,1,0
13,1053,901053,2,1,0
14,1068,901068,2,1,0
15,1046,901046,2,1,0
16,1047,901047,2,1,0
17,1052,901052,2,1,0
18,1020,901020,2,1,1
19,1031,901031,2,1,2
20,1034,901034,2,1,2
21,1048,901048,2,1,3
22,1080,901080,2,1,4
23,1054,901054,2,1,5
24,1094,901094,2,1,5
25,1104,901104,2,1,5
26,1034,901034,3,2,0
27,1050,901050,3,2,0
28,1077,901077,3,2,0
29,1066,901066,3,2,0
30,1033,901033,3,2,1
31,1031,901031,3,2,1
32,1046,901046,3,2,1
33,1080,901080,3,2,1
34,1022,901022,3,2,2
35,1131,901131,3,2,2
36,1134,901134,3,2,3
37,1037,901037,3,1,0
38,1001,901001,5,1,0
39,1031,901031,5,1,0
40,1036,901036,5,1,0
41,1037,901037,5,1,0
42,1056,901056,5,1,0
43,1060,901060,5,1,0
44,1065,901065,5,1,0
45,1066,901066,5,1,0
46,1073,901073,5,1,0
47,1096,901096,5,1,0
48,1076,901076,5,1,1
49,1080,901080,5,1,1
50,1047,901047,5,2,0
51,1080,901080,5,2,1
52,1063,25,7,1,0
53,1018,2,8,1,0
54,1026,2,8,1,0
55,1053,2,8,1,0
56,1058,2,8,1,0
57,1072,2,8,1,0
58,1104,2,8,1,0
59,1033,2,8,1,0
60,1049,2,8,1,0
61,1080,2,8,1,0
62,1031,2,8,1,1
63,1044,2,8,1,1
64,1008,901008,8,3,0
65,1082,901082,8,3,0
66,1009,3,8,2,0
67,1020,3,8,2,0
68,1056,3,8,2,0
69,1106,3,8,2,0
70,1072,3,8,2,0
71,1088,3,8,2,0
72,1124,3,8,2,0
73,1090,3,8,2,0
74,1053,3,8,2,0
75,1042,2,8,1,2
76,1084,2,8,1,2
77,1107,2,8,1,2
78,1025,2,8,1,2
79,1080,901080,8,3,1
80,1109,3,8,2,1
81,1048,3,8,2,1
82,1003,3,8,2,1
83,1108,3,8,2,1
84,1049,3,8,2,1
85,1040,3,8,2,1
86,1021,3,8,2,1
87,1121,3,8,2,1
88,1134,3,8,2,1
89,1119,2,8,1,3
90,1012,2,8,1,3
91,1065,2,8,1,4
92,1055,901055,8,3,2
93,1036,901036,8,3,0
94,1034,901034,8,3,0
95,1115,901115,8,3,0
96,1137,2,8,1,2
97,1137,5,8,1,2
98,1137,3,8,2,2
99,1137,6,8,2,2
100,1112,901112,3,1,1
101,1112,901112,8,3,1
