character_id,win_1,win_2,win_2_position_y,win_3,win_3_position_y,win_4,win_4_position_y,win_5,lose_1,lose_2,lose_3,lose_4,lose_5,draw_1,draw_2,draw_3,draw_4,draw_5,position_y
1001,1001002,1001002,0,1001002,0,1001002,0,1001002,5,5,5,5,5,9,9,9,9,9,0
1002,1002001,1002001,0,1002001,0,1002001,0,1002001,5,5,5,5,5,9,9,9,9,9,0
1003,1003000,1003000,0,1003000,0,1003000,0,1003000,5,5,5,5,5,9,9,9,9,9,0
1004,1004000,1004000,0,1004000,0,1004000,0,1004000,5,5,5,5,5,9,9,9,9,9,0
1005,1005001,1005001,0,1005001,0,1005001,0,1005001,5,5,5,5,5,9,9,9,9,9,0
1006,1006001,1006001,0,1006001,0,1006001,0,1006001,5,5,5,5,5,9,9,9,9,9,0
1007,1007000,1007000,0,1007000,0,1007000,0,1007000,5,5,5,5,5,9,9,9,9,9,0
1008,1008001,1008001,0,1008001,0,1008001,0,1008001,5,5,5,5,5,9,9,9,9,9,0
1009,1009000,1009000,0,1009001,0,1009000,0,1009000,5,5,5,5,5,9,9,9,9,9,0
1010,1010000,1010000,0,1010000,0,1010000,0,1010000,5,5,5,5,5,1009,1009,1009,1009,1009,0
1011,1011000,1011000,0,1011001,0,1011000,0,1011000,5,5,5,5,5,9,9,9,9,9,0
1012,1012000,1012000,0,1012000,0,1012000,0,1012000,5,5,5,5,5,9,9,9,9,9,0
1013,1013001,1013001,0,1013001,0,1013001,0,1013001,5,5,5,5,5,9,9,9,9,9,0
1014,1014001,1014001,0,1014001,0,1014001,0,1014001,5,5,5,5,5,9,9,9,9,9,0
1015,1015001,1015001,0,1015001,0,1015001,0,1015001,5,5,5,5,5,9,9,9,9,9,0
1016,1016001,1016001,0,1016001,0,1016001,0,1016001,5,5,5,5,5,9,9,9,9,9,0
1017,1017000,1017000,0,1017001,0,1017000,0,1017000,5,5,5,5,5,9,9,9,9,9,0
1018,1018000,1018000,0,1018001,0,1018000,0,1018000,5,5,5,5,5,9,9,9,9,9,0
1019,1018000,1018000,0,1018001,0,1018000,0,1018000,5,5,5,5,5,9,9,9,9,9,0
1020,1020001,1020001,0,1020001,0,1020001,0,1020001,1005,1005,1005,1005,1005,1009,1009,1009,1009,1009,0
1021,1021001,1021001,0,1021001,0,1021001,0,1021001,5,5,5,5,5,9,9,9,9,9,0
1022,1022001,1022001,0,1022001,0,1022001,0,1022001,5,5,5,5,5,9,9,9,9,9,0
1023,1023001,1023001,0,1023001,0,1023001,0,1023001,5,5,5,5,5,9,9,9,9,9,0
1024,1024000,1024000,0,1024000,0,1024000,0,1024000,5,5,5,5,5,9,9,9,9,9,0
1025,1025000,1025000,0,1025000,0,1025000,0,1025000,5,5,5,5,5,9,9,9,9,9,0
1026,8001,8001,0,8001,0,8001,0,8001,5,5,5,5,5,9,9,9,9,9,0
1027,1027000,1027000,0,1027001,0,1027000,0,1027000,5,5,5,5,5,9,9,9,9,9,0
1028,1028001,1028001,0,1028001,0,1028001,0,1028001,5,5,5,5,5,9,9,9,9,9,0
1029,1029001,1029001,0,1029001,0,1029001,0,1029001,5,5,5,5,5,9,9,9,9,9,0
1030,1030000,1030000,0,1030000,0,1030000,0,1030000,5,5,5,5,5,9,9,9,9,9,0
1031,1031001,1031001,0,1031001,0,1031001,0,1031001,5,5,5,5,5,9,9,9,9,9,0
1032,1032001,1032001,0,1032001,0,1032001,0,1032001,5,5,5,5,5,9,9,9,9,9,0
1033,1033001,1033001,0,1033001,0,1033001,0,1033001,5,5,5,5,5,9,9,9,9,9,0
1034,1034000,1034000,0,1034000,0,1034000,0,1034000,5,5,5,5,5,9,9,9,9,9,0
1035,1035000,1035000,0,1035001,0,1035000,0,1035000,5,5,5,5,5,9,9,9,9,9,0
1036,1036001,1036001,0,1036001,0,1036001,0,1036001,5,5,5,5,5,9,9,9,9,9,0
1037,1037000,1037000,0,1037000,0,1037000,0,1037000,5,5,5,5,5,9,9,9,9,9,0
