id,chara_id,year,race_program_id,race_condition_id,frame_order,finish_order_0
1,1002,3,76,13,0,0
2,1003,3,81,19,0,0
3,1006,3,81,19,0,0
4,1008,2,166,1,0,0
5,1009,2,77,13,0,0
6,1009,3,76,13,0,0
7,1009,3,81,19,0,0
8,1010,3,73,6,0,0
9,1013,3,76,18,0,0
10,1013,3,4,1,0,0
11,1017,3,81,19,0,0
12,1024,3,81,19,0,0
13,1027,2,163,27,0,0
14,1027,2,166,1,0,0
15,1030,2,168,13,0,0
16,1032,3,81,19,0,0
17,1045,3,81,19,0,0
18,1052,3,81,19,0,0
19,1056,3,81,19,0,0
20,1060,3,81,19,0,0
21,1004,2,166,0,18,0
22,1015,3,81,19,0,0
23,1020,2,168,13,0,0
24,1019,3,76,17,0,0
25,1048,1,625,19,0,0
26,1069,2,166,1,0,0
27,1068,3,76,18,0,0
28,1067,2,163,27,0,0
29,1067,2,166,1,0,0
30,1067,3,76,18,0,0
31,1074,3,76,13,0,0
32,1031,3,76,18,0,0
33,1064,3,76,18,0,0
34,1034,3,81,23,0,0
35,1036,3,76,17,0,0
36,1036,1,851,9,0,0
37,1042,3,73,6,0,0
38,1057,2,1139,32,0,0
39,1066,3,81,19,0,0
40,1105,2,166,35,0,0
41,1105,2,79,55,0,0
42,1105,3,79,13,0,0
43,1055,3,4,1,0,0
44,1104,2,1139,32,0,0
45,1077,2,163,31,0,0
46,1077,3,81,20,0,0
47,1088,3,9,63,0,0
48,1088,3,74,10,0,0
49,1088,3,76,18,0,0
50,1089,3,74,10,0,0
51,1089,3,79,13,0,0
52,1054,3,1,24,0,0
53,1094,3,81,19,0,0
54,1116,3,81,0,4,0
55,1121,3,75,18,0,0
56,1121,3,78,13,0,0
57,1110,3,79,13,0,0
58,1079,2,1023,12,0,0
59,1079,2,1027,19,0,0
60,1079,3,1108,1,0,0
61,1079,3,1157,13,0,0
62,1115,2,1095,27,0,4
63,1115,2,166,6,0,0
64,1114,3,79,19,0,0
65,1114,3,81,19,0,0
66,1137,2,168,18,0,0
67,1129,2,1149,13,0,0
68,1129,3,1171,81,0,0
69,1112,2,162,0,9,0
70,1134,3,79,81,0,0
10001,0,1,2910,19,0,0
10002,0,1,2911,19,0,0
10003,0,1,2912,19,0,0
10004,0,1,2913,19,0,0
10005,0,1,2914,19,0,0
10006,0,1,2915,19,0,0
10007,0,1,2916,19,0,0
10008,0,1,2917,19,0,0
10009,0,1,2918,19,0,0
10010,0,1,2919,19,0,0
10011,0,1,2920,19,0,0
10012,0,1,2921,19,0,0
10013,0,1,2922,19,0,0
10014,0,1,2923,19,0,0
10015,0,1,2924,19,0,0
10016,0,1,2925,19,0,0
10017,0,1,2926,19,0,0
10018,0,1,2927,19,0,0
10019,0,1,2928,19,0,0
10020,0,1,2929,19,0,0
10021,0,1,2930,19,0,0
10022,0,1,2931,19,0,0
10023,0,1,2932,19,0,0
10024,0,1,2933,19,0,0
10025,0,1,2934,19,0,0
10026,0,1,2935,19,0,0
10027,0,1,2936,19,0,0
10028,0,1,2937,19,0,0
10029,0,1,2938,19,0,0
10030,0,1,2939,19,0,0
10031,0,1,2940,19,0,0
10032,0,1,2941,19,0,0
10033,0,1,2942,19,0,0
10034,0,1,2943,19,0,0
10035,0,2,2944,19,0,0
10036,0,2,2945,19,0,0
10037,0,2,2946,19,0,0
10038,0,2,2947,19,0,0
10039,0,2,2948,19,0,0
10040,0,2,2949,19,0,0
10041,0,2,2950,19,0,0
10042,0,2,2951,19,0,0
10043,0,2,2952,19,0,0
10044,0,2,2953,19,0,0
10045,0,2,2954,19,0,0
10046,0,2,2955,19,0,0
10047,0,2,2956,19,0,0
10048,0,2,2957,19,0,0
10049,0,2,2958,19,0,0
10050,0,2,2959,19,0,0
10051,0,2,2960,19,0,0
10052,0,2,2961,19,0,0
10053,0,2,2962,19,0,0
10054,0,2,2963,19,0,0
10055,0,2,2964,19,0,0
10056,0,2,2965,19,0,0
10057,0,2,2966,19,0,0
10058,0,2,2967,19,0,0
10059,0,2,2968,19,0,0
10060,0,2,2969,19,0,0
10061,0,2,2970,19,0,0
10062,0,2,2971,19,0,0
10063,0,2,2972,19,0,0
10064,0,2,2973,19,0,0
10065,0,2,2974,19,0,0
10066,0,2,2975,19,0,0
10067,0,2,2976,19,0,0
10068,0,2,2977,19,0,0
10069,0,2,2978,19,0,0
10070,0,2,2979,19,0,0
10071,0,2,2980,19,0,0
10072,0,2,2981,19,0,0
10073,0,2,2982,19,0,0
10074,0,2,2983,19,0,0
10075,0,2,2984,19,0,0
10076,0,3,2985,19,0,0
10077,0,3,2986,19,0,0
10078,0,3,2987,19,0,0
10079,0,3,2988,19,0,0
10080,0,3,2989,19,0,0
10081,0,3,2990,19,0,0
10082,0,3,2991,19,0,0
10083,0,3,2992,19,0,0
10084,0,3,2993,19,0,0
10085,0,3,2994,19,0,0
10086,0,3,2995,19,0,0
10087,0,3,2996,19,0,0
10088,0,3,2997,19,0,0
10089,0,3,2998,19,0,0
10090,0,3,2999,19,0,0
10091,0,3,3000,19,0,0
10092,0,3,3001,19,0,0
10093,0,3,3002,19,0,0
10094,0,3,3003,19,0,0
10095,0,3,3004,19,0,0
10096,0,3,3005,19,0,0
10097,0,3,3006,19,0,0
10098,0,3,3007,19,0,0
10099,0,3,3008,19,0,0
10100,0,3,3009,19,0,0
10101,0,3,3010,19,0,0
10102,0,3,3011,19,0,0
10103,0,3,3012,19,0,0
10104,0,3,3013,19,0,0
10105,0,3,3014,19,0,0
10106,0,3,3015,19,0,0
10107,0,3,3016,19,0,0
10108,0,3,3017,19,0,0
10109,0,3,3018,19,0,0
10110,0,3,3019,19,0,0
10111,0,3,3020,19,0,0
10112,0,3,3021,19,0,0
10113,0,3,3022,19,0,0
10114,0,3,3023,19,0,0
10115,0,3,3024,19,0,0
10116,0,3,3025,19,0,0
