id,chara_id_1,dress_id_1,enable_eat_1,chara_id_2,dress_id_2,enable_eat_2,chara_id_3,dress_id_3,enable_eat_3
1,1001,-1,1,0,-1,0,0,-1,0
2,1002,-1,0,0,-1,0,0,-1,0
3,1003,-1,0,0,-1,0,0,-1,0
4,1004,-1,0,0,-1,0,0,-1,0
5,1005,-1,0,0,-1,0,0,-1,0
6,1006,-1,1,0,-1,0,0,-1,0
7,1007,-1,1,0,-1,0,0,-1,0
8,1008,-1,1,0,-1,0,0,-1,0
9,1009,-1,0,0,-1,0,0,-1,0
10,1010,-1,1,0,-1,0,0,-1,0
11,1011,-1,0,0,-1,0,0,-1,0
13,1013,-1,0,0,-1,0,0,-1,0
14,1014,-1,1,0,-1,0,0,-1,0
15,1015,-1,0,0,-1,0,0,-1,0
16,1017,-1,0,0,-1,0,0,-1,0
17,1018,-1,0,0,-1,0,0,-1,0
19,1024,-1,0,0,-1,0,0,-1,0
20,1027,-1,0,0,-1,0,0,-1,0
21,1030,-1,0,0,-1,0,0,-1,0
22,1032,-1,0,0,-1,0,0,-1,0
23,1035,-1,1,0,-1,0,0,-1,0
24,1040,-1,0,0,-1,0,0,-1,0
25,1041,-1,1,0,-1,0,0,-1,0
26,1045,-1,1,0,-1,0,0,-1,0
27,1052,-1,0,0,-1,0,0,-1,0
28,1056,-1,1,0,-1,0,0,-1,0
29,1060,-1,0,0,-1,0,0,-1,0
30,1061,-1,0,0,-1,0,0,-1,0
31,1026,-1,0,0,-1,0,0,-1,0
32,1023,-1,0,0,-1,0,0,-1,0
33,1038,-1,0,0,-1,0,0,-1,0
34,1050,-1,0,0,-1,0,0,-1,0
35,1046,-1,0,0,-1,0,0,-1,0
36,1016,-1,0,0,-1,0,0,-1,0
37,1020,-1,0,0,-1,0,0,-1,0
38,1012,-1,0,0,-1,0,0,-1,0
39,1058,-1,0,0,-1,0,0,-1,0
40,1037,-1,0,0,-1,0,0,-1,0
41,1028,-1,1,0,-1,0,0,-1,0
42,1019,-1,0,0,-1,0,0,-1,0
43,1039,-1,1,0,-1,0,0,-1,0
44,1025,-1,0,0,-1,0,0,-1,0
45,1048,-1,1,0,-1,0,0,-1,0
46,1059,-1,0,0,-1,0,0,-1,0
47,1022,-1,0,0,-1,0,0,-1,0
48,1021,-1,0,0,-1,0,0,-1,0
49,1069,-1,0,0,-1,0,0,-1,0
50,1071,-1,0,0,-1,0,0,-1,0
51,1033,-1,0,0,-1,0,0,-1,0
52,1062,-1,1,0,-1,0,0,-1,0
53,1068,-1,0,0,-1,0,0,-1,0
54,1067,-1,0,0,-1,0,0,-1,0
55,1074,-1,0,0,-1,0,0,-1,0
56,1051,-1,0,0,-1,0,0,-1,0
57,1072,-1,0,0,-1,0,0,-1,0
58,1031,-1,0,0,-1,0,0,-1,0
59,1064,-1,0,0,-1,0,0,-1,0
60,1034,-1,0,0,-1,0,0,-1,0
61,1044,-1,0,0,-1,0,0,-1,0
62,1036,-1,0,0,-1,0,0,-1,0
63,1053,-1,0,0,-1,0,0,-1,0
64,1098,-1,0,0,-1,0,0,-1,0
65,1029,-1,0,0,-1,0,0,-1,0
66,1042,-1,0,0,-1,0,0,-1,0
67,1087,-1,0,0,-1,0,0,-1,0
68,1078,-1,0,0,-1,0,0,-1,0
69,1049,-1,0,0,-1,0,0,-1,0
70,1100,-1,0,0,-1,0,0,-1,0
71,1047,-1,0,0,-1,0,0,-1,0
72,1099,-1,0,0,-1,0,0,-1,0
73,1065,-1,1,0,-1,0,0,-1,0
74,1043,-1,1,0,-1,0,0,-1,0
75,1057,-1,0,0,-1,0,0,-1,0
76,1066,-1,0,0,-1,0,0,-1,0
77,1085,-1,0,0,-1,0,0,-1,0
78,1083,-1,0,0,-1,0,0,-1,0
79,1076,-1,0,0,-1,0,0,-1,0
80,1105,-1,0,0,-1,0,0,-1,0
81,1106,-1,1,0,-1,0,0,-1,0
82,1084,-1,0,0,-1,0,0,-1,0
83,1055,-1,0,0,-1,0,0,-1,0
84,1104,-1,0,0,-1,0,0,-1,0
85,1070,-1,0,0,-1,0,0,-1,0
86,1077,-1,0,0,-1,0,0,-1,0
87,1093,-1,0,0,-1,0,0,-1,0
88,1086,-1,0,0,-1,0,0,-1,0
89,1107,-1,1,0,-1,0,0,-1,0
90,1088,-1,0,0,-1,0,0,-1,0
91,1089,-1,1,0,-1,0,0,-1,0
92,1091,-1,0,0,-1,0,0,-1,0
93,1054,-1,0,0,-1,0,0,-1,0
94,1063,-1,0,0,-1,0,0,-1,0
95,1108,-1,0,0,-1,0,0,-1,0
96,1080,-1,0,0,-1,0,0,-1,0
97,1109,-1,0,0,-1,0,0,-1,0
98,1102,-1,0,0,-1,0,0,-1,0
99,1082,-1,0,0,-1,0,0,-1,0
100,1094,-1,1,0,-1,0,0,-1,0
101,1119,-1,0,0,-1,0,0,-1,0
102,1120,-1,1,0,-1,0,0,-1,0
103,1116,-1,0,0,-1,0,0,-1,0
104,1110,-1,0,0,-1,0,0,-1,0
105,1121,-1,1,0,-1,0,0,-1,0
106,1124,-1,0,0,-1,0,0,-1,0
107,1111,-1,0,0,-1,0,0,-1,0
108,1117,-1,0,0,-1,0,0,-1,0
109,1079,-1,0,0,-1,0,0,-1,0
110,1073,-1,0,0,-1,0,0,-1,0
111,1115,-1,0,0,-1,0,0,-1,0
112,1131,-1,0,0,-1,0,0,-1,0
113,1096,-1,0,0,-1,0,0,-1,0
114,1127,-1,0,0,-1,0,0,-1,0
115,1090,-1,0,0,-1,0,0,-1,0
116,1132,-1,0,0,-1,0,0,-1,0
117,1133,-1,0,0,-1,0,0,-1,0
118,1113,-1,1,0,-1,0,0,-1,0
119,1097,-1,0,0,-1,0,0,-1,0
120,1081,-1,1,0,-1,0,0,-1,0
121,1095,-1,0,0,-1,0,0,-1,0
122,1092,-1,0,0,-1,0,0,-1,0
123,1114,-1,0,0,-1,0,0,-1,0
124,1135,-1,0,0,-1,0,0,-1,0
125,1137,-1,0,0,-1,0,0,-1,0
126,2001,-1,0,0,-1,0,0,-1,0
127,9002,900201,0,0,-1,0,0,-1,0
128,9003,900301,0,0,-1,0,0,-1,0
129,9004,900401,0,0,-1,0,0,-1,0
130,9005,900501,0,0,-1,0,0,-1,0
131,2002,-1,0,0,-1,0,0,-1,0
132,2003,-1,0,0,-1,0,0,-1,0
133,9006,900601,0,0,-1,0,0,-1,0
134,9007,900701,0,0,-1,0,0,-1,0
135,9008,900801,0,0,-1,0,0,-1,0
136,2007,200701,0,0,-1,0,0,-1,0
137,9043,904301,0,0,-1,0,0,-1,0
