id,group_id,min_num,max_num,pay_item_num
1,10,1,25,1
2,10,26,50,2
3,10,51,75,3
4,10,76,100,4
5,10,101,650,5
6,20,1,1,100
7,20,2,2,900
8,20,3,3,2000
9,20,4,4,3000
10,30,1,10,1000
11,30,11,15,2000
12,40,1,10,2500
13,40,11,15,5000
14,50,1,10,5000
15,50,11,20,10000
16,60,1,10,5000
17,60,11,15,10000
18,70,1,5,100
19,70,6,8,200
20,80,1,5,250
21,80,6,8,500
22,90,1,5,500
23,90,6,10,1000
24,100,1,5,500
25,100,6,8,1000
26,110,1,25,1
27,110,26,50,2
28,110,51,75,3
29,110,76,100,4
30,120,1,25,5
31,120,26,50,10
32,120,51,75,15
33,120,76,100,20
34,130,1,20,2500
35,130,21,30,5000
36,140,1,20,5000
37,140,21,40,10000
38,150,1,10,250
39,150,11,16,500
40,160,1,10,500
41,160,11,20,1000
42,170,1,1,5000000
43,170,2,2,10000000
44,180,1,1,4000000
45,180,2,2,8000000
46,190,1,1,250000
47,190,2,2,500000
48,200,1,7,100000
49,200,8,14,200000
50,210,1,100,20000
51,210,101,200,40000
52,220,1,100,10000
53,220,101,200,20000
54,220,201,300,200000
55,220,301,400,2000000
56,230,1,100,20000
57,230,101,200,40000
58,230,201,300,400000
59,230,301,400,4000000
60,240,1,16,20000
61,240,17,32,40000
62,250,1,8,40000
63,250,9,16,80000
64,260,1,16,80000
65,260,17,32,160000
66,270,1,8,120000
67,270,9,16,240000
68,280,1,50,10000
69,280,51,100,20000
70,290,1,100,5000
71,290,101,200,10000
72,300,1,100,20000
73,300,101,200,40000
74,310,1,100,25000
75,310,101,200,50000
76,320,1,1,5000000
77,320,2,2,10000000
78,320,3,3,20000000
79,330,1,1,3000
80,330,2,2,10000
81,340,1,1,3000
82,340,2,2,10000
83,350,1,1,100000
84,350,2,2,300000
85,360,1,1,100000
86,360,2,2,300000
87,370,1,12,2500
88,370,13,24,7500
89,380,1,6,5000
90,380,7,12,15000
91,390,1,6,10000
92,390,7,12,30000
93,400,1,3,15000
94,400,4,6,45000
95,410,1,12,125
96,410,13,24,375
97,420,1,6,250
98,420,7,12,750
99,430,1,6,500
100,430,7,12,1500
101,440,1,3,750
102,440,4,6,2250
103,450,1,3,2000
104,450,4,4,10000
