id,type,paid_gacha_button_type,card_type,force_exchange,daily_pay_cost,disp_order,only_once_flag,draw_limit,gacha_odds_id,rarity_odds_id,draw_guarantee_type,draw_guarantee_rarity,draw_guarantee_num,cost_type,cost_single,prize_odds_id,additional_piece_target_card_type_1,additional_piece_target_card_id_1,additional_piece_target_rarity_1,additional_piece_num_1,additional_piece_target_card_type_2,additional_piece_target_card_id_2,additional_piece_target_rarity_2,additional_piece_num_2,additional_piece_target_card_type_3,additional_piece_target_card_id_3,additional_piece_target_rarity_3,additional_piece_num_3,additional_piece_target_card_type_4,additional_piece_target_card_id_4,additional_piece_target_rarity_4,additional_piece_num_4,additional_piece_target_card_type_5,additional_piece_target_card_id_5,additional_piece_target_rarity_5,additional_piece_num_5,additional_piece_target_card_type_6,additional_piece_target_card_id_6,additional_piece_target_rarity_6,additional_piece_num_6,bonus_target_draw_num,bonus_item_category_1,bonus_item_id_1,bonus_item_num_1,bonus_item_category_2,bonus_item_id_2,bonus_item_num_2,start_date,end_date
10001,1,0,1,0,50,400,0,0,0,1001,0,2,1,90,150,0,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614654000,2524618799
10002,1,0,2,0,50,390,0,0,0,1002,0,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614654000,2524618799
20001,2,0,1,0,0,300,0,0,0,2001,0,3,1,40,0,0,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609480800,2524629600
20002,2,0,2,0,0,290,0,0,0,2002,0,3,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609480800,2524629600
20003,2,0,1,0,0,280,0,0,0,3001,0,2,1,40,0,0,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609480800,2524629600
20004,2,0,2,0,0,270,0,0,0,3002,0,2,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609480800,2524629600
20005,2,0,1,0,0,300,0,0,0,2001,0,3,1,40,0,0,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637290800,2524629600
20006,2,0,2,0,0,290,0,0,0,2002,0,3,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637290800,2524629600
20007,2,0,1,0,0,280,0,0,0,3001,0,2,1,40,0,0,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638932400,2524629600
20008,2,0,2,0,0,270,0,0,0,3002,0,2,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638932400,2524629600
20009,2,0,1,0,0,300,0,0,0,2001,0,3,1,40,0,0,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677207600,2524629600
20010,2,0,2,0,0,290,0,0,0,2002,0,3,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677207600,2524629600
