id,champions_id,round,round_detail,start_date,end_date,interval_start_time,interval_end_time
1,1,0,0,1620615600,1620961199,1620961199,1620961199
2,1,1,0,1620961200,1621133999,1621134000,1621134899
3,1,2,0,1621134000,1621306799,1621306800,1621307699
4,1,3,1,1621306800,1621349999,1621349999,1621349999
5,1,3,2,1621350000,1621393199,1621393199,1621393199
6,1,3,3,1621393200,1621479599,1621479599,1621479599
7,2,0,0,1623294000,1623639599,1623639599,1623639599
8,2,1,0,1623639600,1623812399,1623812400,1623813299
9,2,2,0,1623812400,1623985199,1623985200,1623986099
10,2,3,1,1623985200,1624028399,1624028399,1624028399
11,2,3,2,1624028400,1624071599,1624071599,1624071599
12,2,3,3,1624071600,1624157999,1624157999,1624157999
13,3,0,0,1626750000,1627009199,1627009199,1627009199
14,3,1,0,1627009200,1627181999,1627182000,1627182899
15,3,2,0,1627182000,1627354799,1627354800,1627355699
16,3,3,1,1627354800,1627397999,1627397999,1627397999
17,3,3,2,1627398000,1627441199,1627441199,1627441199
18,3,3,3,1627441200,1627527599,1627527599,1627527599
19,4,0,0,1629428400,1629773999,1629773999,1629773999
20,4,1,0,1629774000,1629946799,1629946800,1629947699
21,4,2,0,1629946800,1630119599,1630119600,1630120499
22,4,3,1,1630119600,1630162799,1630162799,1630162799
23,4,3,2,1630162800,1630205999,1630205999,1630205999
24,4,3,3,1630206000,1630292399,1630292399,1630292399
25,5,0,0,1631847600,1632193199,1632193199,1632193199
26,5,1,0,1632193200,1632365999,1632366000,1632366899
27,5,2,0,1632366000,1632538799,1632538800,1632539699
28,5,3,1,1632538800,1632581999,1632581999,1632581999
29,5,3,2,1632582000,1632625199,1632625199,1632625199
30,5,3,3,1632625200,1632711599,1632711599,1632711599
31,6,0,0,1634526000,1634871599,1634871599,1634871599
32,6,1,0,1634871600,1635044399,1635044400,1635045299
33,6,2,0,1635044400,1635217199,1635217200,1635218099
34,6,3,1,1635217200,1635260399,1635260399,1635260399
35,6,3,2,1635260400,1635303599,1635303599,1635303599
36,6,3,3,1635303600,1635389999,1635389999,1635389999
37,7,0,0,1637290800,1637636399,1637636399,1637636399
38,7,1,0,1637636400,1637809199,1637809200,1637810099
39,7,2,0,1637809200,1637981999,1637982000,1637982899
40,7,3,1,1637982000,1638025199,1638025199,1638025199
41,7,3,2,1638025200,1638068399,1638068399,1638068399
42,7,3,3,1638068400,1638154799,1638154799,1638154799
