id,group_id,reward_type,reward_order,item_id,item_category,item_num
1,1,3,1,149,164,2
2,1,1,2,59,91,3000000
3,1,1,3,160,11,40
4,1,1,4,161,11,20
5,1,1,5,162,11,40
6,1,1,6,163,11,20
7,1,3,7,149,164,2
8,1,1,8,98,103,15000
9,1,1,9,44,93,200
10,1,3,10,149,164,2
11,1,2,10,0,0,1
12,2,3,1,149,164,2
13,2,1,2,59,91,3000000
14,2,1,3,160,11,40
15,2,1,4,161,11,20
16,2,1,5,162,11,40
17,2,1,6,163,11,20
18,2,3,7,149,164,2
19,2,1,8,98,103,15000
20,2,1,9,44,93,200
21,2,3,10,149,164,3
22,2,2,10,0,0,1
23,3,3,1,149,164,2
24,3,1,2,59,91,3000000
25,3,1,3,160,11,40
26,3,1,4,161,11,20
27,3,1,5,162,11,40
28,3,1,6,163,11,20
29,3,3,7,149,164,2
30,3,1,8,98,103,15000
31,3,1,9,44,93,200
32,3,3,10,149,164,3
33,3,2,10,0,0,1
34,4,1,1,59,91,10000
35,4,1,2,59,91,10000
36,4,1,3,59,91,10000
37,4,1,4,59,91,10000
38,4,1,5,59,91,10000
39,4,1,6,59,91,10000
40,4,1,7,59,91,10000
41,4,1,8,59,91,10000
42,4,1,9,59,91,10000
43,4,1,10,0,0,0
