id,cooking_num,cooking_motion_id_1,cooking_motion_id_2,cooking_motion_id_3,cooking_motion_id_4,success_motion_id,camera
1,2,5000109,5000102,0,0,5000130,0003/1001
2,2,5000109,5000102,0,0,5000131,0003/1002
3,2,5000109,5000103,0,0,5000130,0003/1001
4,2,5000109,5000103,0,0,5000131,0003/1002
5,2,5000101,5000106,0,0,5000130,0003/1001
6,2,5000101,5000106,0,0,5000131,0003/1002
9,2,5000110,5000105,0,0,5000130,0005/1001
10,2,5000110,5000105,0,0,5000131,0005/1002
11,2,5000102,5000133,0,0,5000130,0005/1001
12,2,5000102,5000133,0,0,5000131,0005/1002
15,2,5000123,5000105,0,0,5000130,0005/1001
16,2,5000123,5000105,0,0,5000131,0005/1002
17,2,5000123,5000133,0,0,5000130,0005/1001
18,2,5000123,5000133,0,0,5000131,0005/1002
21,2,5000111,5000101,0,0,5000130,0003/1001
22,2,5000111,5000101,0,0,5000131,0003/1002
23,2,5000104,5000106,0,0,5000130,0003/1001
24,2,5000104,5000106,0,0,5000131,0003/1002
27,2,5000112,5000102,0,0,5000130,0005/1001
28,2,5000112,5000102,0,0,5000131,0005/1002
29,2,5000112,5000103,0,0,5000130,0005/1001
30,2,5000112,5000103,0,0,5000131,0005/1002
31,2,5000105,5000133,0,0,5000130,0005/1001
32,2,5000105,5000133,0,0,5000131,0005/1002
33,3,5000109,5000102,5000107,0,5000131,0002/1002
34,3,5000109,5000102,5000107,0,5000132,0002/1003
35,3,5000109,5000103,5000107,0,5000131,0002/1002
36,3,5000109,5000103,5000107,0,5000134,0002/1003
37,3,5000109,5000105,5000108,0,5000131,0003/1002
38,3,5000109,5000105,5000108,0,5000132,0003/1003
39,3,5000109,5000104,5000106,0,5000131,0002/1002
40,3,5000109,5000104,5000106,0,5000134,0002/1003
41,3,5000110,5000105,5000108,0,5000131,0005/1002
42,3,5000110,5000105,5000108,0,5000132,0005/1003
43,3,5000102,5000101,5000106,0,5000131,0004/1002
44,3,5000102,5000101,5000106,0,5000134,0004/1003
45,3,5000102,5000101,5000107,0,5000131,0006/1002
46,3,5000102,5000101,5000107,0,5000132,0006/1003
47,3,5000123,5000105,5000108,0,5000131,0005/1002
48,3,5000123,5000105,5000108,0,5000134,0005/1003
49,3,5000103,5000101,5000106,0,5000131,0004/1002
50,3,5000103,5000101,5000106,0,5000132,0004/1003
51,3,5000103,5000101,5000107,0,5000131,0006/1002
52,3,5000103,5000101,5000107,0,5000134,0006/1003
53,3,5000111,5000101,5000105,0,5000131,0004/1002
54,3,5000111,5000101,5000105,0,5000132,0004/1003
55,3,5000104,5000105,5000107,0,5000131,0002/1002
56,3,5000104,5000105,5000107,0,5000134,0002/1003
57,3,5000112,5000101,5000108,0,5000131,0001/1002
58,3,5000112,5000101,5000108,0,5000132,0001/1003
59,3,5000112,5000102,5000106,0,5000131,0006/1002
60,3,5000112,5000102,5000106,0,5000134,0006/1003
61,3,5000112,5000103,5000106,0,5000131,0006/1002
62,3,5000112,5000103,5000106,0,5000132,0006/1003
63,3,5000112,5000104,5000107,0,5000131,0001/1002
64,3,5000112,5000104,5000107,0,5000134,0001/1003
65,4,5000111,5000101,5000105,5000106,5000132,0004/1003
66,4,5000103,5000109,5000112,5000106,5000132,0004/1003
67,4,5000110,5000101,5000105,5000106,5000132,0004/1003
