character_id,voice_id,text,cue_sheet,cue_id,motion_set,scene,use_gallery,card_id,lip_sync_data,lip_sync_flag,gender,motion_second_set,motion_second_start,gallery_key_usage_condition,prop_system_text_id,start_date
1001,11,Cygames,snd_voi_title_100100,0,0,0,1,0,snd_voi_title_100100_0000,0,0,0,0,0,0,1614092400
1001,12,ウマ娘、プリティーダービー！,snd_voi_title_100100,1,0,0,1,0,snd_voi_title_100100_0001,0,0,0,0,0,0,1614092400
1001,10000,"ライバルのみんなと一緒に…
私、必ず強くなりますっ。",snd_voi_home_100100,0,2009,1,1,0,snd_voi_home_100100_0000,0,0,0,0,2,0,1614092400
1001,10001,"私たちの夢は、日本一のウマ娘っ！
一緒に叶えましょうね、
トレーナーさん！",snd_voi_home_100100,1,1001017,1,1,0,snd_voi_home_100100_0001,0,0,0,0,2,0,1614092400
1001,10002,"今度また、ご近所食べ歩きツアーに
行きましょうねっ♪",snd_voi_home_100100,2,1001002,1,1,0,snd_voi_home_100100_0002,0,0,0,0,2,0,1614092400
1001,10003,"あけましておめでとうございます！
正月太りには…気を付けますね！",snd_voi_home_100100,3,2002,1,1,0,snd_voi_home_100100_0003,0,0,0,0,0,0,1614092400
1001,10004,"ハッピーバレンタインですっ！
いつものお礼に…チョコ、どうぞ！",snd_voi_home_100100,4,1001007,1,1,0,snd_voi_home_100100_0004,0,0,0,0,0,0,1614092400
1001,10005,"チョコ、お母ちゃん直伝のレシピで
手作りしちゃいました！えへへ。
もらってくれますか…？",snd_voi_home_100100,5,1001808,1,1,0,snd_voi_home_100100_0005,0,0,0,0,2,0,1614092400
1001,10006,"星を眺めたくなる夜ですね～！
晴れるといいなぁ…。",snd_voi_home_100100,6,8000,1,1,0,snd_voi_home_100100_0006,0,0,0,0,0,0,1614092400
1001,10007,"なんだかお菓子の匂いでいっぱい
だと思ったら…ハロウィンですか！
おいしい行事は大歓迎です～！",snd_voi_home_100100,7,1001007,1,1,0,snd_voi_home_100100_0007,0,0,0,0,0,0,1614092400
1001,10008,"お母ちゃんサンタのおひげが
取れちゃったこと、
思い出すなぁ…ふふふっ。",snd_voi_home_100100,8,1001001,1,1,0,snd_voi_home_100100_0008,0,0,0,0,0,0,1614092400
1001,10009,"メリークリスマス、ですっ。
牛乳たっぷりのあったかシチュー、
一緒に食べませんか？",snd_voi_home_100100,9,1001007,1,1,0,snd_voi_home_100100_0009,0,0,0,0,2,0,1614092400
1001,10010,"今年もあっという間でしたね。
来年の私は…もっともっと、
強くなれるといいな！",snd_voi_home_100100,10,1001017,1,1,0,snd_voi_home_100100_0010,0,0,0,0,0,0,1614092400
1001,10011,"お誕生日おめでとうございます！
カフェテリアのケーキ、
よければ食べに行きませんか？",snd_voi_home_100100,11,8001,1,1,0,snd_voi_home_100100_0011,0,0,0,0,1,0,1614092400
1001,10012,"お誕生日おめでとうございますっ♪
えへへ…こうしてお祝いできるの、
なんだか幸せです。",snd_voi_home_100100,12,1001007,1,1,0,snd_voi_home_100100_0012,0,0,0,0,1,0,1614092400
1001,10013,"朝からお母ちゃんにもみんなにも
おめでとうって言ってもらえて…
うぅ、すごく幸せな誕生日です～！",snd_voi_home_100100,13,1001002,1,1,0,snd_voi_home_100100_0013,0,0,0,0,0,0,1614092400
1001,10014,"お祝いありがとうございます！
私、もっともっと成長しますから…
隣で見ていてくださいねっ。",snd_voi_home_100100,14,2002,1,1,0,snd_voi_home_100100_0014,0,0,0,0,2,0,1614092400
