id,item_exchange_top_id,disp_order,condition_type,condition_value_1,condition_value_2,change_item_limit_type,change_item_limit_num,change_unit_type,change_item_category,change_item_id,change_item_num,additional_piece_num,pay_item_category,pay_item_id,pay_item_num,price_change_group_id,start_date,end_date
27,2000,40,0,0,0,1,40,0,98,132,1,0,103,98,1000,0,1496242800,2542978799
2001,2000,20,0,0,0,1,5,0,51,30019,1,0,103,98,10000,0,1496242800,2542978799
2002,2000,4,0,0,0,1,10,0,102,103001,5,0,103,98,2000,0,1496242800,1617220799
2003,2000,4,0,0,0,1,10,0,102,100701,5,0,103,98,2000,0,1619751600,1621022399
2004,2000,5,0,0,0,1,20,0,30,110,1000,0,103,98,1500,0,1619751600,1621022399
2005,2000,16,0,0,0,4,1,0,40,41,1,0,103,98,20000,0,1638327600,2542978799
2006,2000,17,0,0,0,4,1,0,40,111,1,0,103,98,20000,0,1638327600,2542978799
2007,2000,1,0,0,0,1,10,0,102,100701,5,0,103,98,2000,0,1651114800,1652817599
2008,2000,2,0,0,0,1,10,0,102,100101,5,0,103,98,3000,0,1651302000,1652817599
2009,2000,1,0,0,0,1,10,0,102,100602,5,0,103,98,3000,0,1669604400,1672282799
2010,2000,2,0,0,0,1,10,0,102,102302,5,0,103,98,3000,0,1669604400,1672282799
2011,2000,5,0,0,0,1,10,0,102,101501,5,0,103,98,3000,0,1681700400,1684094399
2012,2000,6,0,0,0,1,10,0,102,103301,5,0,103,98,3000,0,1681700400,1684094399
2013,2000,1,0,0,0,1,10,0,102,104001,5,0,103,98,3000,0,1682650800,1684353599
2014,2000,2,0,0,0,1,10,0,102,104801,5,0,103,98,3000,0,1682650800,1684353599
2015,2000,3,0,0,0,1,10,0,102,106401,5,0,103,98,3000,0,1682650800,1684353599
2016,2000,4,0,0,0,1,10,0,102,106501,5,0,103,98,3000,0,1682650800,1684353599
2017,2000,1,0,0,0,1,10,0,102,100101,5,0,103,98,3000,0,1696474800,1699559999
2018,2000,2,0,0,0,1,10,0,102,100302,5,0,103,98,3000,0,1696474800,1699559999
2019,2000,3,0,0,0,1,10,0,102,101302,5,0,103,98,3000,0,1696474800,1699559999
2020,2000,1,0,0,0,1,10,0,102,106002,5,0,103,98,3000,0,1699560000,1701374399
2021,2000,2,0,0,0,1,10,0,102,100701,5,0,103,98,2000,0,1699560000,1701374399
2022,2000,3,0,0,0,1,10,0,102,102601,5,0,103,98,3000,0,1699560000,1701374399
2023,2000,3,0,0,0,1,10,0,102,101802,5,0,103,98,3000,0,1701374400,1703793599
