id,login_bonus_id,count,item_category,item_id,item_num,item_category_2,item_id_2,item_num_2,item_category_3,item_id_3,item_num_3,item_category_4,item_id_4,item_num_4,item_category_5,item_id_5,item_num_5
1,10001,1,90,43,20,0,0,0,0,0,0,0,0,0,0,0,0
2,10001,2,161,134,30,0,0,0,0,0,0,0,0,0,0,0,0
3,10001,3,90,43,20,0,0,0,0,0,0,0,0,0,0,0,0
4,10001,4,91,59,1000,0,0,0,0,0,0,0,0,0,0,0,0
5,10001,5,90,43,20,0,0,0,0,0,0,0,0,0,0,0,0
6,10001,6,103,98,100,0,0,0,0,0,0,0,0,0,0,0,0
7,10001,7,90,43,50,0,0,0,0,0,0,0,0,0,0,0,0
8,20001,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
9,20001,2,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
10,20001,3,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
11,20001,4,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
12,20001,5,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
13,20001,6,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
14,20001,7,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
15,20001,8,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
16,20001,9,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
17,20001,10,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
18,30001,1,90,43,1500,0,0,0,0,0,0,0,0,0,0,0,0
19,30002,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
20,30003,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
21,30004,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
22,30005,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
23,30006,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
24,30007,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
25,30008,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
26,30008,2,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
27,30008,3,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
28,30008,4,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
29,30008,5,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
30,30008,6,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
31,30008,7,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
32,30008,8,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
33,30008,9,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
34,30008,10,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
35,30009,1,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
36,30009,2,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
37,30009,3,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
38,30009,4,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
39,30009,5,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
