id,stratum_id,dug_value,effect_type,effect_value_1,effect_value_2,effect_value_3,effect_value_4
1,4,30,101,1,2,0,0
2,4,30,101,2,1,0,0
3,4,30,101,5,2,0,0
4,4,30,101,10,-3,0,0
5,4,60,101,1,2,0,0
6,4,60,101,2,1,0,0
7,4,60,101,5,2,0,0
8,4,60,101,10,-3,0,0
9,4,90,101,1,2,0,0
10,4,90,101,2,1,0,0
11,4,90,101,5,2,0,0
12,4,90,101,10,-3,0,0
13,4,120,101,1,2,0,0
14,4,120,101,2,1,0,0
15,4,120,101,5,2,0,0
16,4,120,101,10,-3,0,0
17,4,150,101,1,2,0,0
18,4,150,101,2,1,0,0
19,4,150,101,5,2,0,0
20,4,150,101,10,-3,0,0
21,4,180,101,1,2,0,0
22,4,180,101,2,1,0,0
23,4,180,101,5,2,0,0
24,4,180,101,10,-3,0,0
25,4,210,101,1,2,0,0
26,4,210,101,2,1,0,0
27,4,210,101,5,2,0,0
28,4,210,101,10,-3,0,0
29,4,240,101,1,2,0,0
30,4,240,101,2,1,0,0
31,4,240,101,5,2,0,0
32,4,240,101,10,-3,0,0
33,4,270,101,1,2,0,0
34,4,270,101,2,1,0,0
35,4,270,101,5,2,0,0
36,4,270,101,10,-3,0,0
37,4,300,101,1,2,0,0
38,4,300,101,2,1,0,0
39,4,300,101,5,2,0,0
40,4,300,101,10,-3,0,0
41,4,330,101,1,2,0,0
42,4,330,101,2,1,0,0
43,4,330,101,5,2,0,0
44,4,330,101,10,-3,0,0
45,4,360,101,1,2,0,0
46,4,360,101,2,1,0,0
47,4,360,101,5,2,0,0
48,4,360,101,10,-3,0,0
49,4,390,101,1,2,0,0
50,4,390,101,2,1,0,0
51,4,390,101,5,2,0,0
52,4,390,101,10,-3,0,0
53,5,30,101,4,2,0,0
54,5,30,101,1,2,0,0
55,5,30,101,3,1,0,0
56,5,30,101,10,-3,0,0
57,5,60,101,4,2,0,0
58,5,60,101,1,2,0,0
59,5,60,101,3,1,0,0
60,5,60,101,10,-3,0,0
61,5,90,101,4,2,0,0
62,5,90,101,1,2,0,0
63,5,90,101,3,1,0,0
64,5,90,101,10,-3,0,0
65,5,120,101,4,2,0,0
66,5,120,101,1,2,0,0
67,5,120,101,3,1,0,0
68,5,120,101,10,-3,0,0
69,5,150,101,4,2,0,0
70,5,150,101,1,2,0,0
71,5,150,101,3,1,0,0
72,5,150,101,10,-3,0,0
73,5,180,101,4,2,0,0
74,5,180,101,1,2,0,0
75,5,180,101,3,1,0,0
76,5,180,101,10,-3,0,0
77,5,210,101,4,2,0,0
78,5,210,101,1,2,0,0
79,5,210,101,3,1,0,0
80,5,210,101,10,-3,0,0
81,5,240,101,4,2,0,0
82,5,240,101,1,2,0,0
83,5,240,101,3,1,0,0
84,5,240,101,10,-3,0,0
85,5,270,101,4,2,0,0
86,5,270,101,1,2,0,0
87,5,270,101,3,1,0,0
88,5,270,101,10,-3,0,0
89,5,300,101,4,2,0,0
90,5,300,101,1,2,0,0
91,5,300,101,3,1,0,0
92,5,300,101,10,-3,0,0
93,5,330,101,4,2,0,0
94,5,330,101,1,2,0,0
95,5,330,101,3,1,0,0
96,5,330,101,10,-3,0,0
97,5,360,101,4,2,0,0
98,5,360,101,1,2,0,0
99,5,360,101,3,1,0,0
100,5,360,101,10,-3,0,0
101,5,390,101,4,2,0,0
102,5,390,101,1,2,0,0
103,5,390,101,3,1,0,0
104,5,390,101,10,-3,0,0
105,6,30,101,3,2,0,0
106,6,30,101,5,2,0,0
107,6,30,101,2,1,0,0
108,6,30,101,10,-3,0,0
109,6,60,101,3,2,0,0
110,6,60,101,5,2,0,0
111,6,60,101,2,1,0,0
112,6,60,101,10,-3,0,0
113,6,90,101,3,2,0,0
114,6,90,101,5,2,0,0
115,6,90,101,2,1,0,0
116,6,90,101,10,-3,0,0
117,6,120,101,3,2,0,0
118,6,120,101,5,2,0,0
119,6,120,101,2,1,0,0
120,6,120,101,10,-3,0,0
121,6,150,101,3,2,0,0
122,6,150,101,5,2,0,0
123,6,150,101,2,1,0,0
124,6,150,101,10,-3,0,0
125,6,180,101,3,2,0,0
126,6,180,101,5,2,0,0
127,6,180,101,2,1,0,0
128,6,180,101,10,-3,0,0
129,6,210,101,3,2,0,0
130,6,210,101,5,2,0,0
131,6,210,101,2,1,0,0
132,6,210,101,10,-3,0,0
133,6,240,101,3,2,0,0
134,6,240,101,5,2,0,0
135,6,240,101,2,1,0,0
136,6,240,101,10,-3,0,0
137,6,270,101,3,2,0,0
138,6,270,101,5,2,0,0
139,6,270,101,2,1,0,0
140,6,270,101,10,-3,0,0
141,6,300,101,3,2,0,0
142,6,300,101,5,2,0,0
143,6,300,101,2,1,0,0
144,6,300,101,10,-3,0,0
145,6,330,101,3,2,0,0
146,6,330,101,5,2,0,0
147,6,330,101,2,1,0,0
148,6,330,101,10,-3,0,0
149,6,360,101,3,2,0,0
150,6,360,101,5,2,0,0
151,6,360,101,2,1,0,0
152,6,360,101,10,-3,0,0
153,6,390,101,3,2,0,0
154,6,390,101,5,2,0,0
155,6,390,101,2,1,0,0
156,6,390,101,10,-3,0,0
157,7,30,101,1,2,0,0
158,7,30,101,2,1,0,0
159,7,30,101,5,2,0,0
160,7,30,101,10,-3,0,0
161,7,60,101,1,2,0,0
162,7,60,101,2,1,0,0
163,7,60,101,5,2,0,0
164,7,60,101,10,-3,0,0
165,7,90,101,1,2,0,0
166,7,90,101,2,1,0,0
167,7,90,101,5,2,0,0
168,7,90,101,10,-3,0,0
169,7,120,101,1,2,0,0
170,7,120,101,2,1,0,0
171,7,120,101,5,2,0,0
172,7,120,101,10,-3,0,0
173,7,150,101,1,2,0,0
174,7,150,101,2,1,0,0
175,7,150,101,5,2,0,0
176,7,150,101,10,-3,0,0
177,7,180,101,1,2,0,0
178,7,180,101,2,1,0,0
179,7,180,101,5,2,0,0
180,7,180,101,10,-3,0,0
181,7,210,101,1,2,0,0
182,7,210,101,2,1,0,0
183,7,210,101,5,2,0,0
184,7,210,101,10,-3,0,0
185,7,240,101,1,2,0,0
186,7,240,101,2,1,0,0
187,7,240,101,5,2,0,0
188,7,240,101,10,-3,0,0
189,7,270,101,1,2,0,0
190,7,270,101,2,1,0,0
191,7,270,101,5,2,0,0
192,7,270,101,10,-3,0,0
193,7,300,101,1,2,0,0
194,7,300,101,2,1,0,0
195,7,300,101,5,2,0,0
196,7,300,101,10,-3,0,0
197,8,30,101,4,2,0,0
198,8,30,101,1,2,0,0
199,8,30,101,3,1,0,0
200,8,30,101,10,-3,0,0
201,8,60,101,4,2,0,0
202,8,60,101,1,2,0,0
203,8,60,101,3,1,0,0
204,8,60,101,10,-3,0,0
205,8,90,101,4,2,0,0
206,8,90,101,1,2,0,0
207,8,90,101,3,1,0,0
208,8,90,101,10,-3,0,0
209,8,120,101,4,2,0,0
210,8,120,101,1,2,0,0
211,8,120,101,3,1,0,0
212,8,120,101,10,-3,0,0
213,8,150,101,4,2,0,0
214,8,150,101,1,2,0,0
215,8,150,101,3,1,0,0
216,8,150,101,10,-3,0,0
217,9,30,101,1,2,0,0
218,9,30,101,2,1,0,0
219,9,30,101,5,2,0,0
220,9,30,101,10,-3,0,0
221,9,60,101,1,2,0,0
222,9,60,101,2,1,0,0
223,9,60,101,5,2,0,0
224,9,60,101,10,-3,0,0
225,9,90,101,1,2,0,0
226,9,90,101,2,1,0,0
227,9,90,101,5,2,0,0
228,9,90,101,10,-3,0,0
229,9,120,101,1,2,0,0
230,9,120,101,2,1,0,0
231,9,120,101,5,2,0,0
232,9,120,101,10,-3,0,0
233,9,150,101,1,2,0,0
234,9,150,101,2,1,0,0
235,9,150,101,5,2,0,0
236,9,150,101,10,-3,0,0
237,9,180,101,1,2,0,0
238,9,180,101,2,1,0,0
239,9,180,101,5,2,0,0
240,9,180,101,10,-3,0,0
241,9,210,101,1,2,0,0
242,9,210,101,2,1,0,0
243,9,210,101,5,2,0,0
244,9,210,101,10,-3,0,0
245,9,240,101,1,2,0,0
246,9,240,101,2,1,0,0
247,9,240,101,5,2,0,0
248,9,240,101,10,-3,0,0
249,9,270,101,1,2,0,0
250,9,270,101,2,1,0,0
251,9,270,101,5,2,0,0
252,9,270,101,10,-3,0,0
253,9,300,101,1,2,0,0
254,9,300,101,2,1,0,0
255,9,300,101,5,2,0,0
256,9,300,101,10,-3,0,0
257,10,30,101,3,2,0,0
258,10,30,101,5,2,0,0
259,10,30,101,2,1,0,0
260,10,30,101,10,-3,0,0
261,10,60,101,3,2,0,0
262,10,60,101,5,2,0,0
263,10,60,101,2,1,0,0
264,10,60,101,10,-3,0,0
265,10,90,101,3,2,0,0
266,10,90,101,5,2,0,0
267,10,90,101,2,1,0,0
268,10,90,101,10,-3,0,0
269,10,120,101,3,2,0,0
270,10,120,101,5,2,0,0
271,10,120,101,2,1,0,0
272,10,120,101,10,-3,0,0
273,10,150,101,3,2,0,0
274,10,150,101,5,2,0,0
275,10,150,101,2,1,0,0
