id,month,half_type,bg_id,bg_sub_id,scenario_id,bg_progress,bg_effect,bgm_cue_name,bgm_cuesheet,max_placement
1,1,0,5,4110,1,0,,,,0
2,2,0,5,4110,1,0,,,,0
3,3,1,5,110,1,0,,,,0
4,4,0,5,5110,1,0,pfb_eff_single_scenario_01,,,0
5,5,0,5,110,1,0,,,,0
6,6,0,5,110,1,0,,,,0
7,7,0,5,110,1,0,,,,0
8,8,0,5,110,1,0,,,,0
9,9,0,5,110,1,0,,,,0
10,10,0,5,3110,1,0,,,,0
11,11,0,5,3110,1,0,,,,0
12,12,0,5,4110,1,0,,,,0
13,0,0,42,2110,1,0,,,,0
14,1,0,124,4110,2,1,,,,3
15,2,0,124,4110,2,1,,,,3
16,3,1,124,2110,2,1,,,,3
17,4,0,124,1110,2,1,pfb_eff_single_scenario_01,,,3
18,5,0,124,2110,2,1,,,,3
19,6,0,124,2110,2,1,,,,3
20,7,0,124,2110,2,1,,,,3
21,8,0,124,2110,2,1,,,,3
22,9,0,124,2110,2,1,,,,3
23,10,0,124,3110,2,1,,,,3
24,11,0,124,3110,2,1,,,,3
25,12,0,124,4110,2,1,,,,3
26,1,0,124,4111,2,2,,,,3
27,2,0,124,4111,2,2,,,,3
28,3,1,124,2111,2,2,,,,3
29,4,0,124,1111,2,2,pfb_eff_single_scenario_01,,,3
30,5,0,124,2111,2,2,,,,3
31,6,0,124,2111,2,2,,,,3
32,7,0,124,2111,2,2,,,,3
33,8,0,124,2111,2,2,,,,3
34,9,0,124,2111,2,2,,,,3
35,10,0,124,3111,2,2,,,,3
36,11,0,124,3111,2,2,,,,3
37,12,0,124,4111,2,2,,,,3
38,1,0,124,4112,2,3,,,,3
39,2,0,124,4112,2,3,,,,3
40,3,1,124,2112,2,3,,,,3
41,4,0,124,1112,2,3,pfb_eff_single_scenario_01,,,3
42,5,0,124,2112,2,3,,,,3
43,6,0,124,2112,2,3,,,,3
44,7,0,124,2112,2,3,,,,3
45,8,0,124,2112,2,3,,,,3
46,9,0,124,2112,2,3,,,,3
47,10,0,124,3112,2,3,,,,3
48,11,0,124,3112,2,3,,,,3
49,12,0,124,4112,2,3,,,,3
50,1,0,1,9111,4,0,,,,0
51,2,0,1,4111,4,0,,,,0
52,3,1,1,2111,4,0,,,,0
53,4,0,1,5111,4,0,,,,0
54,5,0,1,2111,4,0,,,,0
55,6,0,1,2111,4,0,,,,0
56,7,0,1,2111,4,0,,,,0
57,8,0,1,2111,4,0,,,,0
