id,race_instance_id,debuff_id
1,931203,1400011
2,931203,1400021
3,931203,1400031
4,931203,1400041
5,931203,1400051
6,931203,1400061
7,931203,1400071
8,931203,1400081
9,931203,1400091
10,931201,1400011
11,931201,1400021
12,931201,1400041
13,931201,1400051
14,931201,1400061
15,931202,1400011
16,931202,1400021
17,931202,1400031
18,931202,1400041
19,931202,1400051
20,931202,1400061
21,931202,1400071
22,931202,1400081
23,931001,1400021
24,931001,1400051
25,931002,1400011
26,931002,1400021
27,931002,1400051
28,931003,1400011
29,931003,1400021
30,931003,1400031
31,931003,1400041
32,931003,1400051
33,931003,1400061
34,931004,1400011
35,931004,1400021
36,931004,1400031
37,931004,1400041
38,931004,1400051
39,931004,1400061
40,931204,1400011
41,931204,1400021
42,931204,1400031
43,931204,1400041
44,931204,1400051
45,931204,1400061
46,931204,1400071
47,931204,1400081
48,931204,1400091
