id,mob_id
1,8000
2,8001
3,8002
4,8003
5,8004
6,8005
7,8006
8,8007
9,8008
10,8009
11,8010
12,8011
13,8012
14,8013
15,8014
16,8015
17,8016
18,8017
19,8018
20,8019
21,8020
22,8021
23,8022
24,8023
25,8024
26,8025
27,8026
28,8027
29,8028
30,8029
31,8030
32,8031
33,8032
34,8033
35,8034
36,8035
37,8036
38,8037
39,8038
40,8039
41,8040
42,8041
43,8042
44,8043
45,8044
46,8045
47,8046
48,8047
49,8048
50,8049
51,8050
52,8051
53,8052
54,8053
55,8054
56,8055
57,8056
58,8057
59,8058
60,8059
61,8060
62,8061
63,8062
64,8063
65,8064
66,8065
67,8066
68,8067
69,8068
70,8069
71,8070
72,8071
73,8072
74,8073
75,8074
76,8075
77,8076
78,8077
79,8078
80,8079
81,8080
82,8081
83,8082
84,8083
85,8084
86,8085
87,8086
88,8087
89,8088
90,8089
91,8090
92,8091
93,8092
94,8093
95,8094
96,8095
97,8096
98,8097
99,8098
100,8099
101,8100
102,8101
103,8102
104,8103
105,8104
106,8105
107,8106
108,8107
109,8108
110,8109
111,8110
112,8111
113,8112
114,8113
115,8114
116,8115
117,8116
118,8117
119,8118
120,8119
121,8120
122,8121
123,8122
124,8123
125,8124
126,8125
127,8126
128,8127
129,8128
130,8129
131,8130
132,8131
133,8132
134,8133
135,8134
136,8135
137,8136
138,8137
139,8138
140,8139
141,8140
142,8141
143,8142
144,8143
145,8144
146,8145
147,8146
148,8147
149,8148
150,8149
151,8150
152,8151
153,8152
154,8153
155,8154
156,8155
157,8156
158,8157
159,8158
160,8159
161,8160
162,8161
163,8162
164,8163
165,8164
166,8165
167,8166
168,8167
169,8168
170,8169
171,8170
172,8171
173,8172
174,8173
175,8174
176,8175
177,8176
178,8177
179,8178
180,8179
181,8180
182,8181
183,8182
184,8183
185,8184
186,8185
187,8186
188,8187
189,8188
190,8189
191,8190
192,8191
193,8192
194,8193
195,8194
196,8195
197,8196
198,8197
199,8198
200,8199
201,8200
202,8201
203,8202
204,8203
205,8204
206,8205
207,8206
208,8207
209,8208
210,8209
211,8210
212,8211
213,8212
214,8213
215,8214
216,8215
217,8216
218,8217
219,8218
220,8219
221,8220
222,8221
223,8222
224,8223
225,8224
226,8225
227,8226
228,8227
229,8228
230,8229
231,8230
232,8231
233,8232
234,8233
235,8234
236,8235
237,8236
238,8237
239,8238
240,8239
241,8240
242,8241
243,8242
244,8243
245,8244
246,8245
247,8246
248,8247
249,8248
250,8249
251,8250
252,8251
253,8252
254,8253
255,8254
256,8255
257,8256
258,8257
259,8258
260,8259
261,8260
262,8261
263,8262
264,8263
265,8264
266,8265
267,8266
268,8267
269,8268
270,8269
271,8270
272,8271
273,8272
274,8273
275,8274
276,8275
277,8276
278,8277
279,8278
280,8279
281,8280
282,8281
283,8282
284,8283
285,8284
286,8285
287,8286
288,8287
289,8288
290,8289
291,8290
292,8291
293,8292
294,8293
295,8294
296,8295
297,8296
298,8297
299,8298
300,8299
301,8300
302,8301
303,8302
304,8303
305,8304
306,8305
307,8306
308,8307
309,8308
310,8309
311,8310
312,8311
313,8312
314,8313
315,8314
316,8315
317,8316
318,8317
319,8318
320,8319
321,8320
322,8321
323,8322
324,8323
325,8324
326,8325
327,8326
328,8327
329,8328
330,8329
331,8330
332,8331
333,8332
334,8333
335,8334
336,8335
337,8336
338,8337
339,8338
340,8339
341,8340
342,8341
343,8342
344,8343
345,8344
346,8345
347,8346
348,8347
349,8348
350,8349
351,8350
352,8351
353,8352
354,8353
355,8354
356,8355
357,8356
358,8357
359,8358
360,8359
361,8360
362,8361
363,8362
364,8363
365,8364
366,8365
367,8366
368,8367
369,8368
370,8369
371,8370
372,8371
373,8372
374,8373
375,8374
376,8375
377,8376
378,8377
379,8378
380,8379
381,8380
382,8381
383,8382
384,8383
385,8384
386,8385
387,8386
388,8387
389,8388
390,8389
391,8390
392,8391
393,8392
394,8393
395,8394
396,8395
397,8396
398,8397
399,8398
400,8399
401,8400
402,8401
403,8402
404,8403
405,8404
406,8405
407,8406
408,8407
409,8408
410,8409
411,8410
412,8411
413,8412
414,8413
415,8414
416,8415
417,8416
418,8417
419,8418
420,8419
421,8420
422,8421
423,8422
424,8423
425,8424
426,8425
427,8426
428,8427
429,8428
430,8429
431,8430
432,8431
433,8432
434,8433
435,8434
436,8435
437,8436
438,8437
439,8438
440,8439
441,8440
442,8441
443,8442
444,8443
445,8444
446,8445
447,8446
448,8447
449,8448
450,8449
451,8450
452,8451
453,8452
454,8453
455,8454
456,8455
457,8456
458,8457
459,8458
460,8459
461,8460
462,8461
463,8462
464,8463
465,8464
466,8465
467,8466
468,8467
469,8468
470,8469
471,8470
472,8471
473,8472
474,8473
475,8474
476,8475
477,8476
478,8477
479,8478
480,8479
481,8480
482,8481
483,8482
484,8483
485,8484
486,8485
487,8486
488,8487
489,8488
490,8489
491,8490
492,8491
493,8492
494,8493
495,8494
496,8495
497,8496
498,8497
499,8498
500,8499
501,8500
502,8501
503,8502
504,8503
505,8504
506,8505
507,8506
508,8507
509,8508
510,8509
511,8510
512,8511
513,8512
514,8513
515,8514
516,8515
517,8516
518,8517
519,8518
520,8519
521,8520
522,8521
523,8522
524,8523
525,8524
526,8525
527,8526
528,8527
529,8528
530,8529
531,8530
532,8531
533,8532
534,8533
535,8534
536,8535
537,8536
538,8537
539,8538
540,8539
541,8540
542,8541
543,8542
544,8543
545,8544
546,8545
547,8546
548,8547
549,8548
550,8549
551,8550
552,8551
553,8552
554,8553
555,8554
556,8555
557,8556
558,8557
559,8558
560,8559
561,8560
562,8561
563,8562
564,8563
565,8564
566,8565
567,8566
568,8567
569,8568
570,8569
571,8570
572,8571
573,8572
574,8573
575,8574
576,8575
577,8576
578,8577
579,8578
580,8579
581,8580
582,8581
583,8582
584,8583
585,8584
586,8585
587,8586
588,8587
589,8588
590,8589
591,8590
592,8591
593,8592
594,8593
595,8594
596,8595
597,8596
598,8597
599,8598
600,8599
