id,group_id,condition_type,effect_type,effect_value
101,1,0,1,10
102,1,1,1,30
201,2,0,1,12
202,2,1,1,30
301,3,0,1,14
302,3,1,1,30
401,4,0,1,16
402,4,1,1,30
501,5,0,1,18
502,5,1,1,30
601,6,0,1,20
602,6,1,1,30
701,7,0,1,22
702,7,1,1,30
801,8,0,1,24
802,8,1,1,30
901,9,0,1,26
902,9,1,1,30
1001,10,0,1,28
1002,10,1,1,30
1101,11,0,1,30
1102,11,1,1,30
1201,12,0,1,30
1202,12,1,1,30
1301,13,0,1,30
1302,13,1,1,30
1401,14,0,1,30
1402,14,1,1,30
1501,15,0,1,30
1502,15,1,1,30
1601,16,0,1,30
1602,16,1,1,30
1701,17,0,1,30
