id,group_id,effect_type,effect_value_1,effect_value_2,effect_value_3,effect_value_4
1,1,1,0,10,0,0
2,1,102,3,10,0,0
3,1,104,1,3,5,0
4,1,12,0,20,0,0
5,1,101,20,1,0,0
6,1,101,10,35,0,0
7,2,14,101,15,0,0
8,2,14,102,20,0,0
9,2,101,10,5,0,0
10,3,14,105,20,0,0
11,3,14,103,20,0,0
12,3,101,10,5,0,0
13,4,14,106,20,0,0
14,4,8,0,0,0,30
15,4,101,10,5,0,0
16,5,14,101,25,0,0
17,5,2,0,100,0,0
18,5,101,10,15,0,0
19,6,14,102,40,0,0
20,6,14,103,40,0,0
21,6,101,10,15,0,0
22,7,14,105,40,0,0
23,7,4,0,-10,0,0
24,7,101,10,15,0,0
25,8,14,106,40,0,0
26,8,8,0,0,0,60
27,8,101,10,15,0,0
28,9,14,101,45,0,0
29,9,14,105,60,0,0
30,9,14,102,60,0,0
31,9,14,103,60,0,0
32,9,14,106,60,0,0
33,9,5,1,3,5,0
34,9,101,10,30,0,0
35,10,8,0,0,0,80
36,99,101,10,20,0,0
37,99,101,30,100,0,0
38,99,107,0,2,0,0
39,99,108,0,150,0,0
40,102,7,0,40,0,0
41,102,16,0,1,0,0
42,103,7,0,70,0,0
43,103,16,0,1,0,0
44,104,7,0,100,0,0
45,104,16,0,1,0,0
46,105,7,0,120,0,0
47,105,16,0,2,0,0
48,105,15,0,0,0,0
