id,facility_id,current_state_id,target_state_id,cost
1,101,10100,10110,100
2,101,10110,10120,100
3,101,10120,10131,200
4,101,10131,10141,200
5,101,10141,10151,300
6,101,10120,10132,100
7,101,10132,10142,100
8,101,10142,10152,200
9,102,10200,10210,100
10,102,10210,10220,100
11,102,10220,10231,200
12,102,10231,10241,200
13,102,10241,10251,300
14,102,10220,10232,100
15,102,10232,10242,100
16,102,10242,10252,200
17,103,10300,10310,100
18,103,10310,10320,100
19,103,10320,10331,200
20,103,10331,10341,200
21,103,10341,10351,300
22,103,10320,10332,100
23,103,10332,10342,100
24,103,10342,10352,200
25,104,10400,10410,100
26,104,10410,10420,100
27,104,10420,10431,200
28,104,10431,10441,200
29,104,10441,10451,300
30,104,10420,10432,100
31,104,10432,10442,100
32,104,10442,10452,200
33,105,10500,10510,100
34,105,10510,10520,100
35,105,10520,10531,200
36,105,10531,10541,200
37,105,10541,10551,300
38,105,10520,10532,100
39,105,10532,10542,100
40,105,10542,10552,200
41,106,10600,10610,200
42,106,10610,10620,300
43,106,10620,10630,300
