id,race_instance_id,npc_id,change_race_instance_id,add_clear_item_category_1,add_clear_item_id_1,add_clear_item_num_1,add_clear_item_category_2,add_clear_item_id_2,add_clear_item_num_2,add_clear_item_category_3,add_clear_item_id_3,add_clear_item_num_3
1,680001,1,680002,0,0,0,0,0,0,0,0,0
2,680001,2,680003,0,0,0,0,0,0,0,0,0
3,680001,4,680004,0,0,0,0,0,0,0,0,0
4,680011,61,680012,0,0,0,0,0,0,0,0,0
5,680011,62,680013,0,0,0,0,0,0,0,0,0
6,680011,64,680014,0,0,0,0,0,0,0,0,0
7,680021,121,680022,0,0,0,0,0,0,0,0,0
8,680021,122,680023,0,0,0,0,0,0,0,0,0
9,680021,124,680024,0,0,0,0,0,0,0,0,0
10,680101,181,680102,0,0,0,0,0,0,0,0,0
11,680101,182,680103,0,0,0,0,0,0,0,0,0
12,680101,183,680104,0,0,0,0,0,0,0,0,0
13,680111,245,680112,0,0,0,0,0,0,0,0,0
14,680111,246,680113,0,0,0,0,0,0,0,0,0
15,680111,247,680114,0,0,0,0,0,0,0,0,0
16,680121,309,680122,0,0,0,0,0,0,0,0,0
17,680121,310,680123,0,0,0,0,0,0,0,0,0
18,680121,311,680124,0,0,0,0,0,0,0,0,0
19,680201,374,680202,0,0,0,0,0,0,0,0,0
20,680201,375,680203,0,0,0,0,0,0,0,0,0
21,680211,416,680212,0,0,0,0,0,0,0,0,0
22,680211,417,680213,0,0,0,0,0,0,0,0,0
23,680221,458,680222,0,0,0,0,0,0,0,0,0
24,680221,459,680223,0,0,0,0,0,0,0,0,0
25,680201,373,680204,0,0,0,0,0,0,0,0,0
26,680211,415,680214,0,0,0,0,0,0,0,0,0
27,680221,457,680224,0,0,0,0,0,0,0,0,0
28,680301,541,680302,0,0,0,0,0,0,0,0,0
29,680301,542,680303,0,0,0,0,0,0,0,0,0
30,680311,580,680312,0,0,0,0,0,0,0,0,0
31,680311,581,680313,0,0,0,0,0,0,0,0,0
32,680321,619,680322,0,0,0,0,0,0,0,0,0
33,680321,620,680323,0,0,0,0,0,0,0,0,0
34,680401,659,680402,0,0,0,0,0,0,0,0,0
35,680401,660,680403,0,0,0,0,0,0,0,0,0
36,680411,698,680412,0,0,0,0,0,0,0,0,0
37,680411,699,680413,0,0,0,0,0,0,0,0,0
38,680421,737,680422,0,0,0,0,0,0,0,0,0
39,680421,738,680423,0,0,0,0,0,0,0,0,0
40,680501,775,680502,0,0,0,0,0,0,0,0,0
41,680501,776,680503,0,0,0,0,0,0,0,0,0
42,680501,777,680504,0,0,0,0,0,0,0,0,0
43,680511,843,680512,0,0,0,0,0,0,0,0,0
44,680511,844,680513,0,0,0,0,0,0,0,0,0
45,680511,845,680514,0,0,0,0,0,0,0,0,0
46,680521,911,680522,0,0,0,0,0,0,0,0,0
47,680521,912,680523,0,0,0,0,0,0,0,0,0
48,680521,913,680524,0,0,0,0,0,0,0,0,0
49,680601,979,680602,0,0,0,0,0,0,0,0,0
50,680601,980,680603,0,0,0,0,0,0,0,0,0
51,680601,982,680604,0,0,0,0,0,0,0,0,0
52,680611,1047,680612,0,0,0,0,0,0,0,0,0
53,680611,1048,680613,0,0,0,0,0,0,0,0,0
54,680611,1050,680614,0,0,0,0,0,0,0,0,0
55,680621,1115,680622,0,0,0,0,0,0,0,0,0
56,680621,1116,680623,0,0,0,0,0,0,0,0,0
57,680621,1118,680624,0,0,0,0,0,0,0,0,0
58,680701,1183,680702,0,0,0,0,0,0,0,0,0
59,680711,1211,680712,0,0,0,0,0,0,0,0,0
60,680721,1239,680722,0,0,0,0,0,0,0,0,0
61,680401,658,680404,0,0,0,0,0,0,0,0,0
62,680411,697,680414,0,0,0,0,0,0,0,0,0
63,680421,736,680424,0,0,0,0,0,0,0,0,0
