campaign_id,chara_id,location_1,location_2,location_3
226,1001,4,37,3
226,1002,5,38,1
226,1003,6,39,2
226,1004,7,40,3
226,1005,8,41,3
226,1006,6,42,3
226,1007,9,43,2
226,1008,10,45,2
226,1009,11,44,3
226,1010,12,49,1
226,1011,13,46,3
226,1012,14,47,1
226,1013,15,48,3
226,1014,8,49,1
226,1015,16,41,1
226,1016,17,52,1
226,1017,18,50,2
226,1018,11,38,2
226,1019,19,51,2
226,1020,20,52,2
226,1021,6,53,1
226,1022,16,50,2
226,1023,7,50,1
226,1024,14,54,1
226,1025,21,50,1
226,1026,22,38,3
226,1027,23,38,3
226,1028,12,55,3
226,1029,4,56,3
226,1030,24,50,3
226,1031,6,56,2
226,1032,25,57,2
226,1033,26,58,2
226,1034,27,52,2
226,1035,8,49,2
226,1036,28,38,1
226,1037,29,37,1
226,1038,7,59,1
226,1039,8,60,3
226,1040,29,56,3
226,1041,30,61,2
226,1042,31,54,1
226,1044,32,50,1
226,1045,30,44,3
226,1046,33,51,2
226,1048,6,44,1
226,1050,24,62,2
226,1051,11,60,3
226,1052,30,59,1
226,1053,8,46,3
226,1056,27,63,1
226,1058,34,63,1
226,1059,11,64,3
226,1060,16,67,2
226,1061,16,65,3
226,1062,30,64,2
226,1064,33,41,1
226,1067,8,39,3
226,1068,13,67,3
226,1069,13,66,2
226,1071,35,41,1
226,1072,36,46,2
226,1074,31,48,3
226,1078,20,67,1
226,1087,26,51,1
226,1098,8,44,1
279,1001,4,37,3
279,1002,5,38,1
279,1003,6,39,2
279,1004,7,40,3
279,1005,8,41,3
279,1006,6,42,3
279,1007,9,43,2
279,1008,10,45,2
279,1009,11,44,3
279,1010,12,49,1
279,1011,13,46,3
279,1012,14,47,1
279,1013,15,48,3
279,1014,8,49,1
279,1015,16,41,1
279,1016,17,52,1
279,1017,18,50,2
279,1018,11,38,2
279,1019,19,51,2
279,1020,20,52,2
279,1021,6,53,1
279,1022,16,50,2
279,1023,7,50,1
279,1024,14,54,1
279,1025,21,50,1
279,1026,22,38,3
279,1027,23,38,3
279,1028,12,55,3
279,1029,4,56,3
279,1030,24,50,3
279,1031,6,56,2
279,1032,25,57,2
279,1033,26,58,2
279,1034,27,52,2
279,1035,8,49,2
279,1036,28,38,1
279,1037,29,37,1
279,1038,7,59,1
279,1039,8,60,3
279,1040,29,56,3
279,1041,30,61,2
279,1042,31,54,1
279,1044,32,50,1
279,1045,30,44,3
279,1046,33,51,2
279,1048,6,44,1
279,1050,24,62,2
279,1051,11,72,3
279,1052,30,59,1
279,1053,8,46,3
279,1056,27,63,1
279,1058,34,63,1
279,1059,11,64,3
279,1060,16,67,2
279,1061,16,65,3
279,1062,30,64,2
279,1064,33,41,1
279,1067,8,39,3
279,1068,13,67,3
279,1069,13,66,2
279,1071,35,41,1
279,1072,36,46,2
279,1074,31,48,3
279,1078,20,67,1
279,1087,26,51,1
279,1098,8,44,1
279,1047,11,50,3
279,1049,68,45,2
279,1065,33,71,1
279,1099,69,51,2
279,1100,70,52,1
279,1043,241,279,1
279,1054,240,61,2
279,1055,242,67,2
279,1057,70,280,2
279,1063,263,281,1
279,1066,264,39,2
279,1070,265,45,2
279,1073,23,38,3
279,1076,70,297,3
279,1077,23,282,2
279,1079,243,283,2
279,1080,265,284,2
279,1081,68,302,2
279,1082,247,285,3
279,1083,248,286,3
279,1084,21,287,1
279,1085,249,288,3
279,1086,250,48,3
279,1088,244,289,2
279,1089,245,37,3
279,1090,251,289,2
279,1091,246,67,3
279,1093,268,290,2
279,1094,252,291,1
279,1096,253,292,1
279,1097,266,293,2
279,1102,254,41,3
279,1104,255,52,3
279,1105,256,294,1
279,1106,264,295,1
279,1107,257,279,1
279,1108,258,296,3
279,1109,14,297,3
279,1110,267,41,1
279,1111,267,288,3
279,1113,6,56,1
279,1115,7,298,3
279,1116,259,299,3
279,1117,263,62,2
279,1119,265,300,2
279,1120,260,62,2
279,1121,266,301,3
279,1124,264,59,3
279,1127,24,46,3
279,1131,23,67,2
279,1132,261,284,1
279,1133,262,288,2
333,1001,171,177,174
333,1002,172,179,175
333,1003,171,177,174
333,1004,171,178,174
333,1005,172,179,176
333,1006,173,179,175
333,1007,171,177,176
333,1008,171,178,176
333,1009,172,178,174
333,1010,171,177,174
333,1011,172,178,175
333,1012,171,178,176
333,1013,172,178,175
333,1014,171,177,174
333,1015,171,178,176
333,1016,173,179,175
333,1017,173,179,175
333,1018,173,179,176
333,1019,171,177,174
333,1020,172,179,175
333,1021,171,179,176
333,1022,172,178,174
333,1023,172,179,175
333,1024,171,177,174
333,1025,173,179,175
333,1026,173,179,175
333,1027,171,178,176
333,1028,171,177,174
333,1029,171,177,175
333,1030,172,177,175
333,1031,171,178,174
333,1032,173,179,175
333,1033,173,179,175
333,1034,171,178,174
333,1035,171,177,174
333,1036,173,179,175
333,1037,172,179,175
333,1038,171,177,174
333,1039,171,177,174
333,1040,173,179,176
333,1041,171,177,174
333,1042,171,178,174
333,1043,171,177,176
333,1044,171,177,174
333,1045,171,177,174
333,1046,171,177,174
333,1047,172,178,175
333,1048,171,180,174
333,1049,173,179,176
333,1050,173,179,175
333,1051,172,177,174
333,1052,171,177,174
333,1053,171,177,176
333,1056,171,177,174
333,1057,172,179,174
333,1058,171,178,175
333,1059,172,178,175
333,1060,172,178,175
333,1061,172,178,176
333,1062,171,177,174
333,1063,172,178,176
333,1064,171,178,174
333,1065,171,177,174
333,1066,171,177,174
333,1067,172,177,174
333,1068,171,177,176
333,1069,171,177,174
333,1071,172,179,175
333,1072,172,179,176
