id,event_id,map_point_id,area_id,check_point_flag,disp_flag,next_episode_unlock_map_point_id,gauge_num,story_id_1,story_id_2,item_category_1,item_id_1,item_num_1,chara_id,dress_id,motion_id,next_episode_id,start_date,movie_start_date
1,1,1,1,0,1,0,10,8002,0,97,115,5,1076,5,700018,0,1680318000,
2,1,2,1,0,1,0,10,8003,0,11,161,4,1069,5,700018,0,1680318000,
3,1,3,1,1,1,3,10,0,8004,40,193,1,1041,5,700018,1,1680318000,1680343200
4,1,4,2,0,1,0,10,8003,0,93,44,5,1069,5,700018,0,1680404400,
5,1,5,2,0,1,0,10,8001,0,11,162,2,1041,5,700018,0,1680404400,
6,1,6,2,1,1,6,10,0,8005,11,163,1,1076,5,700018,2,1680404400,1680429600
7,1,7,3,0,1,0,10,8001,0,164,150,1,1041,5,700018,0,1680490800,
8,1,8,3,0,1,0,10,8002,0,164,149,1,1076,5,700018,0,1680490800,
9,1,9,3,1,1,9,10,0,8006,40,192,1,1069,5,700018,3,1680490800,1680516000
10,1,10,4,1,0,9,0,0,0,0,0,0,0,0,0,4,1680577200,1680577200
