id,text_group,text_number,check_point_type,result_state,text_type,text_type_value
1,1,1,1,0,3,1
2,1,1,1,0,3,1
3,1,1,1,0,3,1
4,1,1,1,0,3,2
5,1,1,1,0,3,2
6,1,1,1,0,0,0
7,1,2,1,2,3,1
8,1,2,1,2,3,1
9,1,2,1,2,3,1
10,1,2,1,2,3,1
11,1,2,1,2,3,2
12,1,2,1,2,0,0
13,1,2,1,2,3,2
14,1,2,1,2,0,0
15,1,2,1,2,0,0
16,1,2,1,2,0,0
17,1,2,1,2,0,0
18,1,2,1,2,0,0
19,1,2,1,2,1,1
20,1,2,1,2,1,1
21,1,2,1,2,1,2
22,1,2,1,2,1,2
23,1,2,1,2,1,3
24,1,2,1,2,1,3
25,1,2,1,2,1,4
26,1,2,1,2,1,4
27,1,2,1,2,1,5
28,1,2,1,2,1,5
29,1,2,1,1,0,0
30,1,2,1,1,3,1
31,1,2,1,1,3,1
32,1,2,1,1,3,2
33,1,2,1,1,3,2
34,1,1,2,0,3,1
35,1,1,2,0,3,1
36,1,1,2,0,3,1
37,1,1,2,0,3,2
38,1,1,2,0,3,2
39,1,1,2,0,0,0
40,1,2,2,2,3,2
41,1,2,2,2,3,1
42,1,2,2,2,3,2
43,1,2,2,2,3,2
44,1,2,2,2,0,0
45,1,2,2,2,0,0
46,1,2,2,2,0,0
47,1,2,2,2,0,0
48,1,2,2,2,0,0
49,1,2,2,2,0,0
50,1,2,2,2,0,0
51,1,2,2,2,0,0
52,1,2,2,2,1,6
53,1,2,2,2,1,6
54,1,2,2,2,1,7
55,1,2,2,2,1,7
56,1,2,2,2,1,8
57,1,2,2,2,1,8
58,1,2,2,2,1,9
59,1,2,2,2,1,9
60,1,2,2,2,1,10
61,1,2,2,2,1,10
62,1,2,2,1,0,0
63,1,2,2,1,0,0
64,1,2,2,1,3,1
65,1,2,2,1,3,1
66,1,2,2,1,3,2
67,1,1,3,0,0,0
68,1,1,3,0,0,0
69,1,1,3,0,0,0
70,1,1,3,0,0,0
71,1,1,3,0,0,0
72,1,1,3,0,0,0
73,1,2,3,2,0,0
74,1,2,3,2,0,0
75,1,2,3,2,0,0
76,1,2,3,2,0,0
77,1,2,3,2,0,0
78,1,2,3,2,0,0
79,1,2,3,2,0,0
80,1,2,3,2,0,0
81,1,2,3,2,0,0
82,1,2,3,2,0,0
83,1,2,3,2,0,0
84,1,2,3,2,0,0
85,1,2,3,2,1,11
86,1,2,3,2,1,11
87,1,2,3,2,1,12
88,1,2,3,2,1,12
89,1,2,3,2,1,13
90,1,2,3,2,1,13
91,1,2,3,1,0,0
92,1,2,3,1,0,0
93,1,2,3,1,0,0
94,1,2,3,1,0,0
95,1,2,3,1,0,0
96,2,1,1,0,0,0
97,2,1,1,0,0,0
98,2,1,1,0,0,0
99,2,1,1,0,3,2
100,2,1,1,0,3,2
101,2,1,1,0,3,2
102,2,2,1,2,0,0
103,2,2,1,2,0,0
104,2,2,1,2,0,0
105,2,2,1,2,0,0
106,2,2,1,2,0,0
107,2,2,1,2,0,0
108,2,2,1,2,0,0
109,2,2,1,2,0,0
110,2,2,1,2,0,0
111,2,2,1,2,0,0
112,2,2,1,2,0,0
113,2,2,1,2,0,0
114,2,2,1,2,0,0
115,2,2,1,1,0,0
116,2,2,1,1,0,0
117,2,2,1,1,0,0
