id,gacha_id,logo_size_x,logo_size_y
1,30002,0,0
2,30003,0,0
3,20001,0,0
4,20002,0,0
5,50001,0,0
6,50002,0,0
7,20003,0,0
8,20004,0,0
9,30004,0,0
10,30005,0,0
11,30006,0,0
12,30007,0,0
13,30008,0,0
14,30009,0,0
15,10001,0,0
16,10002,0,0
17,30010,0,0
18,30011,0,0
19,30012,0,0
20,30013,0,0
21,30014,0,0
22,30015,0,0
23,30016,0,0
24,30017,0,0
25,30018,0,0
26,30019,0,0
27,30020,0,0
28,30021,0,0
29,30022,0,0
30,30023,0,0
31,30024,0,0
32,30025,0,0
33,30026,0,0
34,30027,0,0
35,30028,0,0
36,30029,0,0
37,30030,0,0
38,30031,0,0
39,30032,0,0
40,30033,0,0
41,30034,0,0
42,30035,0,0
43,30036,0,0
44,30037,0,0
45,50003,434,240
46,50004,434,240
47,30038,0,0
48,30039,0,0
49,30040,0,0
50,30041,0,0
51,30042,0,0
52,30043,0,0
53,30044,0,0
54,30045,0,0
55,30046,0,0
56,30047,0,0
57,30048,0,0
58,30049,0,0
59,30050,0,0
60,30051,0,0
61,30052,0,0
62,30053,0,0
63,30054,0,0
64,30055,0,0
65,20005,0,0
66,20006,0,0
67,20007,0,0
68,20008,0,0
69,30056,0,0
70,30057,0,0
71,30058,0,0
72,30059,0,0
73,30060,0,0
74,30061,0,0
75,30062,0,0
76,30063,0,0
77,30064,0,0
78,30065,0,0
79,30066,0,0
80,30067,0,0
81,50005,0,0
82,50006,0,0
83,30068,0,0
84,30069,0,0
85,30070,0,0
86,30071,0,0
87,30072,0,0
88,30073,0,0
89,30074,0,0
90,30075,0,0
91,50007,434,240
92,50008,434,240
93,30076,0,0
94,30077,0,0
95,30078,0,0
96,30079,0,0
97,30080,0,0
98,30081,0,0
99,30082,0,0
100,30083,0,0
101,30084,0,0
102,30085,0,0
103,30086,0,0
104,30087,0,0
105,30088,0,0
106,30089,0,0
107,30090,0,0
108,30091,0,0
109,30092,0,0
110,30093,0,0
111,30094,0,0
112,30095,0,0
113,30096,0,0
114,30097,0,0
115,30098,0,0
116,30099,0,0
117,30100,0,0
118,30101,0,0
119,30102,0,0
120,30103,0,0
121,30104,0,0
122,30105,0,0
123,30106,0,0
124,30107,0,0
125,30108,0,0
126,30109,0,0
127,50009,434,240
128,50010,434,240
129,30110,0,0
130,30111,0,0
131,30112,0,0
132,30113,0,0
133,30114,0,0
134,30115,0,0
135,30116,0,0
136,30117,0,0
137,30118,0,0
138,30119,0,0
139,30120,0,0
140,30121,0,0
141,30122,0,0
142,30123,0,0
143,30130,0,0
144,30131,0,0
145,30124,0,0
146,30125,0,0
147,30126,0,0
148,30127,0,0
149,30128,0,0
150,30129,0,0
151,30132,0,0
152,30133,0,0
153,30134,0,0
154,30135,0,0
155,30136,0,0
156,30137,0,0
157,30138,0,0
158,30139,0,0
159,50011,434,240
160,50012,434,240
161,50013,434,240
162,50014,434,240
163,30140,0,0
164,30141,0,0
165,30142,0,0
166,30143,0,0
167,30144,0,0
168,30145,0,0
169,20009,0,0
170,20010,0,0
171,20011,0,0
172,20012,0,0
173,30146,0,0
174,30147,0,0
175,30148,0,0
176,30149,0,0
177,30150,0,0
178,30151,0,0
179,50015,0,0
180,50016,0,0
181,50017,434,240
182,50018,434,240
183,50019,434,240
184,50020,434,240
185,30152,0,0
186,30153,0,0
187,30154,0,0
188,30155,0,0
189,30156,0,0
190,30157,0,0
191,30158,0,0
192,30159,0,0
193,30160,0,0
194,30161,0,0
195,30162,0,0
196,30163,0,0
197,30164,0,0
198,30166,0,0
199,30167,0,0
200,30168,0,0
201,30169,0,0
202,30170,0,0
203,30171,0,0
204,30172,0,0
205,30173,0,0
206,30174,0,0
207,30175,0,0
208,50021,434,240
209,50022,434,240
210,50023,434,240
211,50024,434,240
212,30176,0,0
213,30177,0,0
214,30178,0,0
215,30179,0,0
216,50025,434,240
217,50027,434,240
218,30180,0,0
219,30181,0,0
220,30182,0,0
221,30183,0,0
222,30184,0,0
223,30185,0,0
224,50029,434,240
225,50030,434,240
226,50031,434,240
227,50032,434,240
228,50033,434,240
229,50034,434,240
230,50035,434,240
231,50036,434,240
232,50037,434,240
233,50038,434,240
234,50039,434,240
235,50040,434,240
236,50041,434,240
237,50042,434,240
238,50043,434,240
239,50044,434,240
240,50045,434,240
241,50046,434,240
242,50047,434,240
243,50048,434,240
244,30186,0,0
245,30187,0,0
246,30188,0,0
247,30189,0,0
248,30190,0,0
249,30191,0,0
250,50049,0,0
251,50051,434,240
252,50053,434,240
253,30192,0,0
254,30193,0,0
255,50055,0,0
256,30194,0,0
257,30195,0,0
258,50057,434,240
259,50058,434,240
260,30197,0,0
261,50059,434,240
262,50060,434,240
263,30198,0,0
264,30199,0,0
265,30200,0,0
266,30201,0,0
267,50061,0,0
268,30203,0,0
269,30204,0,0
270,30205,0,0
271,30206,0,0
272,30207,0,0
273,50063,0,0
274,30208,0,0
275,30209,0,0
276,30210,0,0
277,30211,0,0
278,20013,0,0
279,50069,0,0
280,30212,0,0
281,30213,0,0
282,50064,0,0
283,50065,0,0
284,50066,0,0
285,50067,0,0
286,30214,0,0
287,30215,0,0
288,30216,0,0
289,30217,0,0
290,50070,0,0
291,30218,0,0
292,30219,0,0
293,50071,0,0
294,50072,0,0
295,30220,0,0
296,30221,434,240
297,20014,0,0
298,20015,0,0
299,20016,0,0
300,20017,0,0
301,30222,0,0
302,30223,0,0
303,50073,0,0
304,50074,0,0
305,50075,0,0
306,50076,0,0
307,50077,0,0
308,50078,0,0
309,50079,0,0
310,50080,0,0
311,50081,0,0
312,50082,0,0
313,50083,0,0
314,50084,0,0
315,30224,0,0
316,30225,0,0
317,30226,0,0
318,30227,0,0
319,50085,0,0
320,50086,0,0
321,30228,0,0
322,30229,0,0
323,30230,0,0
324,30232,0,0
325,30233,0,0
326,30234,0,0
327,30235,0,0
