id,motion_root,wipe_id,sub_id,type,default_length,offset_length,vertical_extend_length,ignore_tap_length,se_name,sheet_name,use_mini,mini_motion_name,mini_motion_start,mini_motion_end,emotion_label,emotion_label_start,emotion_label_end,emotion_icon,emotion_icon_start,emotion_icon_end
1,,0,0,0,18,0,7,8,snd_sfx_story_wipe_00,snd_sfx_story_wipe_00,0,,0,0,,,,,,
2,,1,0,0,37,0,0,14,snd_sfx_story_wipe_01,snd_sfx_story_wipe_01,0,,0,0,,,,,,
3,story_wipe_rotation,1,1,0,38,0,0,12,snd_sfx_story_wipe_01,snd_sfx_story_wipe_01,0,,0,0,,,,,,
4,,1,2,0,33,0,0,22,snd_sfx_story_wipe_01,snd_sfx_story_wipe_01,0,,0,0,,,,,,
5,,2,0,0,48,0,0,10,snd_sfx_story_wipe_02,snd_sfx_story_wipe_02,1,Run00,0,0,,,,,,
6,,2,1,0,48,0,0,13,snd_sfx_story_Bus_Wipe_01,snd_sfx_story_Bus_Wipe_01,0,,0,0,,,,,,
7,,2,2,0,48,0,0,12,snd_sfx_story_Wipe_Super_Car_01,snd_sfx_story_Wipe_Super_Car_01,0,,0,0,,,,,,
8,,3,0,0,50,0,0,21,snd_sfx_story_wipe_03,snd_sfx_story_wipe_03,0,,0,0,,,,,,
9,,0,0,2,30,0,0,7,,,0,,0,0,,,,,,
10,,0,0,1,30,0,0,7,snd_sfx_story_wipe_04,snd_sfx_story_wipe_04,0,,0,0,,,,,,
11,,0,0,3,49,0,0,25,snd_sfx_story_pusu_success,snd_sfx_story_pusu_success,0,,0,0,,,,,,
12,story_wipe_rotation,1,1,0,78,40,0,19,snd_sfx_story_SD_Happynote,snd_sfx_story_SD_Happynote,1,SingleGetItem,10,65,happy00,45,65,,,
13,story_wipe_rotation,1,1,0,43,13,0,10,snd_sfx_story_wipe_01,snd_sfx_story_wipe_01,1,SingleGetTips,10,33,flash00,15,33,,,
14,,0,0,4,35,0,0,8,snd_sfx_tra_log_target_change,snd_sfx_tra_log_target_change,0,,0,0,,,,,,
15,,0,1,4,35,0,0,8,snd_sfx_tra_log_target_decision,snd_sfx_tra_log_target_decision,0,,0,0,,,,,,
16,,1,0,7,120,0,0,30,,,0,,0,0,,,,,,
17,,1,0,8,15,0,10,3,snd_sfx_story_Radio_Noise_Long,snd_sfx_story_Radio_Noise_Long,0,,0,0,,,,,,
18,,0,0,5,100,0,0,33,,,0,,0,0,,,,,,
19,,1,1,6,120,0,0,35,,,0,,0,0,,,,,,
20,,2,1,6,120,0,0,30,,,0,,0,0,,,,,,
21,,3,1,6,120,0,0,37,,,0,,0,0,,,,,,
22,,4,1,6,120,0,0,51,,,0,,0,0,,,,,,
23,,5,1,6,120,0,0,86,,,0,,0,0,,,,,,
24,,0,1,5,101,0,0,35,,,0,,0,0,,,,,,
25,,6,1,6,120,0,0,53,,,0,,0,0,,,,,,
26,,7,1,6,120,0,0,62,,,0,,0,0,,,,,,
27,,8,1,6,120,0,0,43,,,0,,0,0,,,,,,
28,,9,1,6,120,0,0,53,,,0,,0,0,,,,,,
29,,0,3,5,101,0,0,41,,,0,,0,0,,,,,,
30,,10,1,6,120,0,0,52,,,0,,0,0,,,,,,
31,,11,1,6,120,0,0,37,,,0,,0,0,,,,,,
32,,12,1,6,120,0,0,54,,,0,,0,0,,,,,,
33,,13,1,6,120,0,0,56,,,0,,0,0,,,,,,
34,,14,1,6,120,0,0,71,,,0,,0,0,,,,,,
35,,15,1,6,120,0,0,46,,,0,,0,0,,,,,,
36,,16,1,6,120,0,0,43,,,0,,0,0,,,,,,
37,,0,2,5,101,0,0,63,,,0,,0,0,,,,,,
38,,17,1,6,120,0,0,41,,,0,,0,0,,,,,,
39,,18,1,6,120,0,0,49,,,0,,0,0,,,,,,
40,,19,1,6,120,0,0,86,,,0,,0,0,,,,,,
41,,20,1,6,120,0,0,49,,,0,,0,0,,,,,,
42,,21,1,6,120,0,0,40,,,0,,0,0,,,,,,
43,,22,1,6,120,0,0,55,,,0,,0,0,,,,,,
44,,0,4,5,101,0,0,52,,,0,,0,0,,,,,,
45,,23,1,6,120,0,0,43,,,0,,0,0,,,,,,
46,,24,1,6,120,0,0,55,,,0,,0,0,,,,,,
47,,25,1,6,120,0,0,54,,,0,,0,0,,,,,,
48,,26,1,6,120,0,0,65,,,0,,0,0,,,,,,
49,,27,1,6,120,0,0,53,,,0,,0,0,,,,,,
