id,talent_group_id,talent_level,upgrade_talent_level,item_category_1,item_id_1,item_num_1,item_category_2,item_id_2,item_num_2,item_category_3,item_id_3,item_num_3,item_category_4,item_id_4,item_num_4,item_category_5,item_id_5,item_num_5,item_category_6,item_id_6,item_num_6,item_category_7,item_id_7,item_num_7,item_category_8,item_id_8,item_num_8,item_category_9,item_id_9,item_num_9,item_category_10,item_id_10,item_num_10,item_category_11,item_id_11,item_num_11,item_category_12,item_id_12,item_num_12,item_category_13,item_id_13,item_num_13,start_date
1,100101,1,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,100101,1,3,11,10,45,11,78,5,11,87,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,100101,1,4,11,10,105,11,74,15,11,78,20,11,83,15,11,87,20,11,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,100101,1,5,11,10,205,11,74,45,11,78,50,11,83,45,11,87,50,11,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,100101,2,3,11,10,30,11,78,5,11,87,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,100101,2,4,11,10,90,11,74,15,11,78,20,11,83,15,11,87,20,11,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,100101,2,5,11,10,190,11,74,45,11,78,50,11,83,45,11,87,50,11,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,100101,3,4,11,10,60,11,74,15,11,78,15,11,83,15,11,87,15,11,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,100101,3,5,11,10,160,11,74,45,11,78,45,11,83,45,11,87,45,11,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,100101,4,5,11,10,100,11,74,30,11,78,30,11,83,30,11,87,30,11,44,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,100101,1,6,11,10,355,11,74,90,11,78,95,11,83,90,11,87,95,11,44,62,11,319,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774839600
12,100101,1,7,11,10,555,11,74,150,11,78,155,11,83,150,11,87,155,11,44,162,11,319,300,188,268,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774839600
13,100101,2,6,11,10,340,11,74,90,11,78,95,11,83,90,11,87,95,11,44,62,11,319,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774839600
14,100101,2,7,11,10,540,11,74,150,11,78,155,11,83,150,11,87,155,11,44,162,11,319,300,188,268,20,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1774839600
15,100101,3,6,11,10,310,11,74,90,11,78,90,11,83,90,11,87,90,11,44,62,11,319,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774839600
16,100101,3,7,11,10,510,11,74,150,11,78,150,11,83,150,11,87,150,11,44,162,11,319,300,188,268,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774839600
17,100101,4,6,11,10,250,11,74,75,11,78,75,11,83,75,11,87,75,11,44,60,11,319,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774839600
18,100101,4,7,11,10,450,11,74,135,11,78,135,11,83,135,11,87,135,11,44,160,11,319,300,188,268,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774839600
19,100101,5,6,11,10,150,11,74,45,11,78,45,11,83,45,11,87,45,11,44,50,11,319,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774839600
20,100101,5,7,11,10,350,11,74,105,11,78,105,11,83,105,11,87,105,11,44,150,11,319,300,188,268,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774839600
21,100101,6,7,11,10,200,11,74,60,11,78,60,11,83,60,11,87,60,11,44,100,11,319,200,188,268,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774839600
22,100201,1,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,100201,1,3,11,7,45,11,80,5,11,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,100201,1,4,11,7,105,11,73,15,11,78,15,11,80,20,11,84,20,11,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,100201,1,5,11,7,205,11,73,45,11,78,45,11,80,50,11,84,50,11,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,100201,2,3,11,7,30,11,80,5,11,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,100201,2,4,11,7,90,11,73,15,11,78,15,11,80,20,11,84,20,11,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,100201,2,5,11,7,190,11,73,45,11,78,45,11,80,50,11,84,50,11,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,100201,3,4,11,7,60,11,73,15,11,78,15,11,80,15,11,84,15,11,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
