champions_id,round_id,race_instance_id,race_condition_id
1,0,600005,1
1,1,600005,1
1,2,600005,1
1,3,600005,1
1,4,600017,1
1,5,600017,1
1,6,600017,1
2,0,600006,1
2,1,600006,1
2,2,600006,1
2,3,600006,1
2,4,600018,1
2,5,600018,1
2,6,600018,1
3,0,600007,8
3,1,600007,8
3,2,600007,8
3,3,600007,8
3,4,600019,8
3,5,600019,8
3,6,600019,8
4,0,600008,7
4,1,600008,7
4,2,600008,7
4,3,600008,7
4,4,600020,7
4,5,600020,7
4,6,600020,7
5,0,600009,13
5,1,600009,13
5,2,600009,13
5,3,600009,13
5,4,600021,13
5,5,600021,13
5,6,600021,13
6,0,600010,13
6,1,600010,13
6,2,600010,13
6,3,600010,13
6,4,600022,13
6,5,600022,13
6,6,600022,13
7,0,600011,17
7,1,600011,17
7,2,600011,17
7,3,600011,17
7,4,600023,17
7,5,600023,17
7,6,600023,17
8,0,600012,19
8,1,600012,19
8,2,600012,19
8,3,600012,19
8,4,600024,19
8,5,600024,19
8,6,600024,19
9,0,600001,26
9,1,600001,26
9,2,600001,26
9,3,600001,26
9,4,600013,26
9,5,600013,26
9,6,600013,26
10,0,600002,19
10,1,600002,19
10,2,600002,19
10,3,600002,19
10,4,600014,19
10,5,600014,19
10,6,600014,19
11,0,600003,6
11,1,600003,6
11,2,600003,6
11,3,600003,6
11,4,600015,6
11,5,600015,6
11,6,600015,6
12,0,600004,1
12,1,600004,1
12,2,600004,1
12,3,600004,1
12,4,600016,1
12,5,600016,1
12,6,600016,1
13,0,600029,1
13,1,600029,1
13,2,600029,1
13,3,600029,1
13,4,600041,1
13,5,600041,1
13,6,600041,1
14,0,600030,1
14,1,600030,1
14,2,600030,1
14,3,600030,1
14,4,600042,1
14,5,600042,1
14,6,600042,1
15,0,600031,10
15,1,600031,10
15,2,600031,10
15,3,600031,10
15,4,600043,10
15,5,600043,10
15,6,600043,10
16,0,600032,7
16,1,600032,7
16,2,600032,7
16,3,600032,7
16,4,600044,7
16,5,600044,7
16,6,600044,7
17,0,600033,14
17,1,600033,14
17,2,600033,14
17,3,600033,14
17,4,600045,14
17,5,600045,14
17,6,600045,14
18,0,600034,15
18,1,600034,15
18,2,600034,15
18,3,600034,15
18,4,600046,15
18,5,600046,15
18,6,600046,15
19,0,600035,13
19,1,600035,13
19,2,600035,13
19,3,600035,13
19,4,600047,13
19,5,600047,13
19,6,600047,13
20,0,600036,22
20,1,600036,22
20,2,600036,22
20,3,600036,22
20,4,600048,22
20,5,600048,22
20,6,600048,22
21,0,600025,19
21,1,600025,19
21,2,600025,19
21,3,600025,19
21,4,600037,19
21,5,600037,19
21,6,600037,19
22,0,600026,26
22,1,600026,26
22,2,600026,26
22,3,600026,26
22,4,600038,26
22,5,600038,26
22,6,600038,26
23,0,600027,1
23,1,600027,1
23,2,600027,1
23,3,600027,1
23,4,600039,1
23,5,600039,1
23,6,600039,1
24,0,600028,1
24,1,600028,1
24,2,600028,1
24,3,600028,1
24,4,600040,1
24,5,600040,1
24,6,600040,1
25,0,600049,6
25,1,600049,6
25,2,600049,6
25,3,600049,6
25,4,600050,6
25,5,600050,6
25,6,600050,6
26,0,600051,7
26,1,600051,7
26,2,600051,7
26,3,600051,7
26,4,600052,7
26,5,600052,7
26,6,600052,7
27,0,600053,17
27,1,600053,17
27,2,600053,17
27,3,600053,17
27,4,600054,17
27,5,600054,17
27,6,600054,17
28,0,600055,26
28,1,600055,26
28,2,600055,26
28,3,600055,26
28,4,600056,26
28,5,600056,26
28,6,600056,26
29,0,600057,22
29,1,600057,22
29,2,600057,22
29,3,600057,22
29,4,600058,22
29,5,600058,22
29,6,600058,22
30,0,600059,27
30,1,600059,27
30,2,600059,27
30,3,600059,27
30,4,600060,27
30,5,600060,27
30,6,600060,27
31,0,600061,35
31,1,600061,35
31,2,600061,35
31,3,600061,35
31,4,600062,35
31,5,600062,35
31,6,600062,35
32,0,600063,7
32,1,600063,7
32,2,600063,7
32,3,600063,7
32,4,600064,7
32,5,600064,7
32,6,600064,7
33,0,600065,13
33,1,600065,13
33,2,600065,13
33,3,600065,13
33,4,600066,13
33,5,600066,13
33,6,600066,13
34,0,600067,22
34,1,600067,22
34,2,600067,22
34,3,600067,22
34,4,600068,22
34,5,600068,22
34,6,600068,22
35,0,600069,23
35,1,600069,23
35,2,600069,23
35,3,600069,23
35,4,600070,23
35,5,600070,23
35,6,600070,23
36,0,600071,1
36,1,600071,1
36,2,600071,1
36,3,600071,1
36,4,600072,1
36,5,600072,1
36,6,600072,1
37,0,600073,1
37,1,600073,1
37,2,600073,1
37,3,600073,1
37,4,600074,1
37,5,600074,1
37,6,600074,1
38,0,600075,1
38,1,600075,1
38,2,600075,1
38,3,600075,1
38,4,600076,1
38,5,600076,1
38,6,600076,1
39,0,600077,10
39,1,600077,10
39,2,600077,10
39,3,600077,10
39,4,600078,10
39,5,600078,10
39,6,600078,10
40,0,600079,13
40,1,600079,13
40,2,600079,13
40,3,600079,13
40,4,600080,13
40,5,600080,13
40,6,600080,13
41,0,600081,15
41,1,600081,15
41,2,600081,15
41,3,600081,15
41,4,600082,15
41,5,600082,15
41,6,600082,15
42,0,600083,19
42,1,600083,19
42,2,600083,19
42,3,600083,19
42,4,600084,19
42,5,600084,19
42,6,600084,19
43,0,600085,19
43,1,600085,19
43,2,600085,19
43,3,600085,19
43,4,600086,19
43,5,600086,19
43,6,600086,19
44,0,600087,1
44,1,600087,1
44,2,600087,1
44,3,600087,1
44,4,600088,1
44,5,600088,1
44,6,600088,1
45,0,600089,1
45,1,600089,1
45,2,600089,1
45,3,600089,1
45,4,600090,1
45,5,600090,1
45,6,600090,1
46,0,600091,35
