id,item_category,item_id,disp_order
1,93,44,100
2,11,69,200
3,11,70,200
4,11,71,200
5,11,72,200
6,11,73,200
7,11,74,200
8,11,75,200
9,11,76,200
10,11,77,200
11,11,78,200
12,11,79,200
13,11,80,200
14,11,81,200
15,11,82,200
16,11,83,200
17,11,84,200
18,11,85,200
19,11,86,200
20,11,87,200
21,11,88,200
22,11,89,200
23,11,90,200
24,11,91,200
25,11,92,200
26,11,101,200
27,11,102,200
28,11,103,200
29,11,104,200
30,11,105,200
31,11,106,200
32,11,175,200
33,11,176,200
34,11,177,200
35,11,179,200
36,11,1,300
37,11,4,300
38,11,7,300
39,11,10,300
40,11,13,300
