id,bg_id,bg_sub,cue_name,sheet_name,bus_param_set_name,pos_x,pos_y,width,height
1,1,1110,snd_sfx_atmos_tokubetu_d,snd_sfx_atmos_tokubetu_d,Story_bg_9001_General_Indoor,14720000,0,10000,10000
2,1,9110,snd_sfx_atmos_tokubetu_d,snd_sfx_atmos_tokubetu_d,Story_bg_9001_General_Indoor,14720000,0,10000,10000
3,1,120,snd_sfx_atmos_tokubetu_e,snd_sfx_atmos_tokubetu_e,Story_bg_9001_General_Indoor,14720000,0,10000,10000
4,1,130,snd_sfx_atmos_room_n,snd_sfx_atmos_room_n,Story_bg_9001_General_Indoor,14720000,0,10000,10000
5,1,6130,snd_sfx_atmos_kyousitu_n,snd_sfx_atmos_kyousitu_n,Story_bg_9001_General_Indoor,14720000,0,10000,10000
6,1,7130,snd_sfx_atmos_room_n,snd_sfx_atmos_room_n,Story_bg_9001_General_Indoor,14720000,0,10000,10000
7,1,210,snd_sfx_atmos_tokubetu_r,snd_sfx_atmos_tokubetu_r,Story_bg_9001_General_Indoor,14720000,0,10000,10000
8,2,110,snd_sfx_atmos_hiroba_d,snd_sfx_atmos_hiroba_d,Story_bg_9002_General_Outdoor,800000,0,10000,10000
9,2,120,snd_sfx_atmos_hiroba_e,snd_sfx_atmos_hiroba_e,Story_bg_9002_General_Outdoor,800000,0,10000,10000
10,2,130,snd_sfx_atmos_hiroba_n,snd_sfx_atmos_hiroba_n,Story_bg_9002_General_Outdoor,0,0,10000,10000
11,2,410,snd_sfx_atmos_hiroba_c,snd_sfx_atmos_hiroba_c,Story_bg_9002_General_Outdoor,800000,0,10000,10000
12,3,110,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,Story_bg_9002_General_Outdoor,7640000,0,10000,10000
13,3,8111,snd_sfx_atmos_seiteikoumon_d,snd_sfx_atmos_seiteikoumon_d,Story_bg_9002_General_Outdoor,0,0,10000,10000
14,3,120,snd_sfx_atmos_namiki_e,snd_sfx_atmos_namiki_e,Story_bg_9002_General_Outdoor,7640000,0,10000,10000
15,3,130,snd_sfx_atmos_namiki_n,snd_sfx_atmos_namiki_n,Story_bg_9002_General_Outdoor,7640000,0,10000,10000
16,3,410,snd_sfx_atmos_namiki_c,snd_sfx_atmos_namiki_c,Story_bg_9002_General_Outdoor,7640000,0,10000,10000
17,4,110,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,Story_bg_9002_General_Outdoor,1280000,0,10000,10000
18,4,120,snd_sfx_atmos_namiki_e,snd_sfx_atmos_namiki_e,Story_bg_9002_General_Outdoor,1280000,0,10000,10000
19,4,130,snd_sfx_atmos_namiki_n,snd_sfx_atmos_namiki_n,Story_bg_9002_General_Outdoor,1280000,0,10000,10000
21,5,110,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,Story_bg_9002_General_Outdoor,-3500000,0,10000,10000
22,5,120,snd_sfx_atmos_namiki_e,snd_sfx_atmos_namiki_e,Story_bg_9002_General_Outdoor,-3500000,0,10000,10000
23,5,130,snd_sfx_atmos_namiki_n,snd_sfx_atmos_namiki_n,Story_bg_9002_General_Outdoor,-3500000,0,10000,10000
24,5,410,snd_sfx_atmos_namiki_c,snd_sfx_atmos_namiki_c,Story_bg_9002_General_Outdoor,-3500000,0,10000,10000
25,5,5110,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,Story_bg_9002_General_Outdoor,-3500000,0,10000,10000
26,5,3110,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,Story_bg_9002_General_Outdoor,-3500000,0,10000,10000
27,6,110,snd_sfx_atmos_kyousitu_d,snd_sfx_atmos_kyousitu_d,Story_bg_9001_General_Indoor,-11550000,0,10000,10000
28,6,120,snd_sfx_atmos_kyousitu_e,snd_sfx_atmos_kyousitu_e,Story_bg_9001_General_Indoor,-11550000,0,10000,10000
29,6,130,snd_sfx_atmos_kyousitu_n,snd_sfx_atmos_kyousitu_n,Story_bg_9001_General_Indoor,-11550000,0,10000,10000
