factor_id,factor_group_id,rarity,grade,factor_type,effect_group_id,succession_search_hidden,start_date,end_date
101,1,1,1,1,11,0,1483196400,2524575600
102,1,2,1,1,12,0,1483196400,2524575600
103,1,3,1,1,13,0,1483196400,2524575600
201,2,1,1,1,11,0,1483196400,2524575600
202,2,2,1,1,12,0,1483196400,2524575600
203,2,3,1,1,13,0,1483196400,2524575600
301,3,1,1,1,11,0,1483196400,2524575600
302,3,2,1,1,12,0,1483196400,2524575600
303,3,3,1,1,13,0,1483196400,2524575600
401,4,1,1,1,11,0,1483196400,2524575600
402,4,2,1,1,12,0,1483196400,2524575600
403,4,3,1,1,13,0,1483196400,2524575600
501,5,1,1,1,11,0,1483196400,2524575600
502,5,2,1,1,12,0,1483196400,2524575600
503,5,3,1,1,13,0,1483196400,2524575600
1101,11,1,1,2,21,0,1483196400,2524575600
1102,11,2,1,2,22,0,1483196400,2524575600
1103,11,3,1,2,23,0,1483196400,2524575600
1201,12,1,1,2,21,0,1483196400,2524575600
1202,12,2,1,2,22,0,1483196400,2524575600
1203,12,3,1,2,23,0,1483196400,2524575600
2101,21,1,1,2,21,0,1483196400,2524575600
2102,21,2,1,2,22,0,1483196400,2524575600
2103,21,3,1,2,23,0,1483196400,2524575600
2201,22,1,1,2,21,0,1483196400,2524575600
2202,22,2,1,2,22,0,1483196400,2524575600
2203,22,3,1,2,23,0,1483196400,2524575600
2301,23,1,1,2,21,0,1483196400,2524575600
2302,23,2,1,2,22,0,1483196400,2524575600
2303,23,3,1,2,23,0,1483196400,2524575600
2401,24,1,1,2,21,0,1483196400,2524575600
2402,24,2,1,2,22,0,1483196400,2524575600
2403,24,3,1,2,23,0,1483196400,2524575600
3101,31,1,1,2,21,0,1483196400,2524575600
3102,31,2,1,2,22,0,1483196400,2524575600
3103,31,3,1,2,23,0,1483196400,2524575600
3201,32,1,1,2,21,0,1483196400,2524575600
3202,32,2,1,2,22,0,1483196400,2524575600
3203,32,3,1,2,23,0,1483196400,2524575600
3301,33,1,1,2,21,0,1483196400,2524575600
3302,33,2,1,2,22,0,1483196400,2524575600
3303,33,3,1,2,23,0,1483196400,2524575600
3401,34,1,1,2,21,0,1483196400,2524575600
3402,34,2,1,2,22,0,1483196400,2524575600
3403,34,3,1,2,23,0,1483196400,2524575600
1000101,10001,1,1,5,51,0,1483196400,2524575600
1000102,10001,2,1,5,52,0,1483196400,2524575600
1000103,10001,3,1,5,53,0,1483196400,2524575600
1000201,10002,1,1,5,51,0,1483196400,2524575600
1000202,10002,2,1,5,52,0,1483196400,2524575600
1000203,10002,3,1,5,53,0,1483196400,2524575600
1000301,10003,1,1,5,51,0,1483196400,2524575600
1000302,10003,2,1,5,52,0,1483196400,2524575600
1000303,10003,3,1,5,53,0,1483196400,2524575600
1000401,10004,1,1,5,51,0,1483196400,2524575600
1000402,10004,2,1,5,52,0,1483196400,2524575600
1000403,10004,3,1,5,53,0,1483196400,2524575600
1000501,10005,1,1,5,51,0,1483196400,2524575600
1000502,10005,2,1,5,52,0,1483196400,2524575600
