id,text_group_id,select_type,effect_type,effect_value,condition_type_1,condition_value_1,condition_type_2,condition_value_2,condition_type_3,condition_value_3
1,1,0,1,20,2,10,0,0,0,0
2,2,0,1,1,2,20,0,0,0,0
3,3,0,7,100,0,0,0,0,0,0
4,4,0,4,150,3,0,0,0,0,0
5,5,0,21,100,3,0,6,4,0,0
6,6,0,10,100,2,30,6,4,0,0
7,7,0,18,6,0,0,0,0,0,0
8,101,1,10,100,2,1,0,0,0,0
9,101,1,10,100,2,2,0,0,0,0
10,101,1,10,100,2,4,0,0,0,0
11,101,1,10,100,2,5,0,0,0,0
12,201,2,10,100,2,1,0,0,0,0
13,201,2,10,100,2,2,0,0,0,0
14,201,2,10,100,2,3,0,0,0,0
15,201,2,10,100,2,5,0,0,0,0
16,301,3,10,100,2,1,0,0,0,0
17,301,3,10,100,2,3,0,0,0,0
18,301,3,10,100,2,4,0,0,0,0
19,301,3,10,100,2,5,0,0,0,0
