id,collect_raid_id,story_condition_type,unlock_condition,episode_index_id,story_type_1,story_id_1,story_type_2,story_id_2,story_type_3,story_id_3
1,1001,1,0,1,1,130001001,0,0,0,0
2,1001,2,0,2,1,130001002,2,15,0,0
3,1002,1,0,1,0,0,0,0,0,0
4,1002,0,50000000,2,0,0,0,0,0,0
5,1002,2,100000000,3,0,0,0,0,0,0
6,1003,1,0,1,0,0,0,0,0,0
7,1003,0,30000000,2,0,0,0,0,0,0
8,1003,0,60000000,3,0,0,0,0,0,0
9,1003,2,100000000,4,0,0,0,0,0,0
10,1004,1,0,1,0,0,0,0,0,0
11,1004,0,90000000,2,0,0,0,0,0,0
12,1004,2,100000000,3,0,0,0,0,0,0
