id,roulette_id,story_event_id,sheet_num,can_loop,use_item_category,use_item_id,use_item_num,character_id,dress_id,reset_line,reward_set_id,roulette_max_num,start_date,end_date
1,1001,1001,1,0,94,45,10,1001,100101,8,1,0,1614654000,1616036399
2,1001,1001,2,0,94,45,10,1001,100101,8,1,0,1614654000,1616036399
3,1001,1001,3,0,94,45,10,1001,100101,8,1,0,1614654000,1616036399
4,1001,1001,4,1,94,45,10,1001,100101,1,2,0,1614654000,1616036399
5,1002,1002,1,0,94,45,10,1060,106001,8,3,25,1617073200,1618714799
6,1002,1002,2,0,94,45,10,1060,106001,8,3,25,1617073200,1618714799
7,1002,1002,3,0,94,45,10,1060,106001,8,3,25,1617073200,1618714799
8,1002,1002,4,1,94,45,10,1060,106001,1,2,25,1617073200,1618714799
9,1003,1003,1,0,94,45,10,1024,102426,8,4,25,1622170800,1623553199
10,1003,1003,2,0,94,45,10,1024,102426,8,4,25,1622170800,1623553199
11,1003,1003,3,0,94,45,10,1024,102426,8,4,25,1622170800,1623553199
12,1003,1003,4,1,94,45,10,1024,102426,1,5,25,1622170800,1623553199
13,1004,1004,1,0,94,45,10,1007,100701,8,6,25,1624935600,1626317999
14,1004,1004,2,0,94,45,10,1007,100701,8,6,25,1624935600,1626317999
15,1004,1004,3,0,94,45,10,1007,100701,8,6,25,1624935600,1626317999
16,1004,1004,4,1,94,45,10,1007,100701,1,7,25,1624935600,1626317999
17,1005,1005,1,0,94,45,10,1009,100901,8,8,25,1627527600,1628909999
18,1005,1005,2,0,94,45,10,1009,100901,8,8,25,1627527600,1628909999
19,1005,1005,3,0,94,45,10,1009,100901,8,8,25,1627527600,1628909999
20,1005,1005,4,1,94,45,10,1009,100901,1,7,25,1627527600,1628909999
21,1006,1006,1,0,94,45,10,1026,102601,8,9,25,1632884400,1634180399
22,1006,1006,2,0,94,45,10,1026,102601,8,10,25,1632884400,1634180399
23,1006,1006,3,0,94,45,10,1026,102601,8,11,25,1632884400,1634180399
24,1006,1006,4,1,94,45,10,1026,102601,1,7,25,1632884400,1634180399
25,1007,1007,1,0,94,45,10,1017,101743,8,12,25,1635390000,1636599599
26,1007,1007,2,0,94,45,10,1017,101743,8,13,25,1635390000,1636599599
27,1007,1007,3,0,94,45,10,1017,101743,8,14,25,1635390000,1636599599
28,1007,1007,4,1,94,45,10,1017,101743,1,7,25,1635390000,1636599599
29,1008,1008,1,0,94,45,10,1006,100646,8,15,25,1638154800,1639709999
30,1008,1008,2,0,94,45,10,1006,100646,8,16,25,1638154800,1639709999
31,1008,1008,3,0,94,45,10,1006,100646,8,17,25,1638154800,1639709999
32,1008,1008,4,1,94,45,10,1006,100646,1,7,25,1638154800,1639709999
33,1009,1009,1,0,94,45,10,1058,105801,8,18,25,1640919600,1642129199
34,1009,1009,2,0,94,45,10,1058,105801,8,18,25,1640919600,1642129199
35,1009,1009,3,0,94,45,10,1058,105801,8,19,25,1640919600,1642129199
36,1009,1009,4,1,94,45,10,1058,105801,1,7,25,1640919600,1642129199
37,1010,1010,1,0,94,45,10,1048,104801,8,20,25,1643338800,1644548399
38,1010,1010,2,0,94,45,10,1048,104801,8,20,25,1643338800,1644548399
39,1010,1010,3,0,94,45,10,1048,104801,8,21,25,1643338800,1644548399
40,1010,1010,4,1,94,45,10,1048,104801,1,7,25,1643338800,1644548399
41,1011,1011,1,0,94,45,10,1074,107401,8,22,25,1645671600,1646881199
42,1011,1011,2,0,94,45,10,1074,107401,8,22,25,1645671600,1646881199
43,1011,1011,3,0,94,45,10,1074,107401,8,23,25,1645671600,1646881199
44,1011,1011,4,1,94,45,10,1074,107401,1,7,25,1645671600,1646881199
45,1012,1012,1,0,94,45,10,1020,102020,8,24,25,1648522800,1649905199
46,1012,1012,2,0,94,45,10,1020,102020,8,24,25,1648522800,1649905199
47,1012,1012,3,0,94,45,10,1020,102020,8,25,25,1648522800,1649905199
48,1012,1012,4,1,94,45,10,1020,102020,1,7,25,1648522800,1649905199
49,1013,1013,1,0,94,45,10,1039,103901,8,26,25,1651114800,1652410799
50,1013,1013,2,0,94,45,10,1039,103901,8,26,25,1651114800,1652410799
51,1013,1013,3,0,94,45,10,1039,103901,8,27,25,1651114800,1652410799
52,1013,1013,4,1,94,45,10,1039,103901,1,7,25,1651114800,1652410799
53,1014,1014,1,0,94,45,10,1022,102226,8,28,25,1653879600,1655089199
54,1014,1014,2,0,94,45,10,1022,102226,8,28,25,1653879600,1655089199
55,1014,1014,3,0,94,45,10,1022,102226,8,29,25,1653879600,1655089199
56,1014,1014,4,1,94,45,10,1022,102226,1,7,25,1653879600,1655089199
57,1015,1015,1,0,94,45,10,1010,101023,8,30,25,1656558000,1657767599
58,1015,1015,2,0,94,45,10,1010,101023,8,30,25,1656558000,1657767599
59,1015,1015,3,0,94,45,10,1010,101023,8,31,25,1656558000,1657767599
60,1015,1015,4,1,94,45,10,1010,101023,1,7,25,1656558000,1657767599
61,1016,1016,1,0,94,45,10,1069,106901,8,32,25,1659063600,1660359599
62,1016,1016,2,0,94,45,10,1069,106901,8,32,25,1659063600,1660359599
63,1016,1016,3,0,94,45,10,1069,106901,8,33,25,1659063600,1660359599
64,1016,1016,4,1,94,45,10,1069,106901,1,7,25,1659063600,1660359599
65,1017,1017,1,0,94,45,10,1023,102301,8,34,25,1661742000,1663210799
66,1017,1017,2,0,94,45,10,1023,102301,8,34,25,1661742000,1663210799
67,1017,1017,3,0,94,45,10,1023,102301,8,35,25,1661742000,1663210799
68,1017,1017,4,1,94,45,10,1023,102301,1,7,25,1661742000,1663210799
69,1018,1018,1,0,94,45,10,1058,105840,8,36,25,1664420400,1665716399
70,1018,1018,2,0,94,45,10,1058,105840,8,36,25,1664420400,1665716399
71,1018,1018,3,0,94,45,10,1058,105840,8,37,25,1664420400,1665716399
72,1018,1018,4,1,94,45,10,1058,105840,1,7,25,1664420400,1665716399
73,1019,1019,1,0,94,45,10,1071,107101,8,38,25,1666926000,1668221999
74,1019,1019,2,0,94,45,10,1071,107101,8,38,25,1666926000,1668221999
75,1019,1019,3,0,94,45,10,1071,107101,8,39,25,1666926000,1668221999
76,1019,1019,4,1,94,45,10,1071,107101,1,7,25,1666926000,1668221999
77,1020,1020,1,0,94,45,10,1008,100846,8,40,25,1669604400,1671073199
78,1020,1020,2,0,94,45,10,1008,100846,8,40,25,1669604400,1671073199
