id,rating_race_data_id,rating_rank,finish_order,reward_group_id
1,1,200,1,3020001
2,1,200,2,3020002
3,1,200,3,3020003
4,1,200,4,3020004
5,1,200,5,3020004
6,1,200,6,3020004
7,1,200,7,3020004
8,1,200,8,3020004
9,1,200,9,3020004
10,1,200,10,3020004
11,1,200,11,3020004
12,1,200,12,3020004
13,1,300,1,3030001
14,1,300,2,3030002
15,1,300,3,3030003
16,1,300,4,3030004
17,1,300,5,3030004
18,1,300,6,3030004
19,1,300,7,3030004
20,1,300,8,3030004
21,1,300,9,3030004
22,1,300,10,3030004
23,1,300,11,3030004
24,1,300,12,3030004
25,1,400,1,3040001
26,1,400,2,3040002
27,1,400,3,3040003
28,1,400,4,3040004
29,1,400,5,3040004
30,1,400,6,3040004
31,1,400,7,3040004
32,1,400,8,3040004
33,1,400,9,3040004
34,1,400,10,3040004
35,1,400,11,3040004
36,1,400,12,3040004
37,1,500,1,3050001
38,1,500,2,3050002
39,1,500,3,3050003
40,1,500,4,3050004
41,1,500,5,3050004
42,1,500,6,3050004
43,1,500,7,3050004
44,1,500,8,3050004
45,1,500,9,3050004
46,1,500,10,3050004
47,1,500,11,3050004
48,1,500,12,3050004
49,1,600,1,3060001
50,1,600,2,3060002
51,1,600,3,3060003
52,1,600,4,3060004
53,1,600,5,3060004
54,1,600,6,3060004
55,1,600,7,3060004
56,1,600,8,3060004
57,1,600,9,3060004
58,1,600,10,3060004
59,1,600,11,3060004
60,1,600,12,3060004
61,1,700,1,3070001
62,1,700,2,3070002
63,1,700,3,3070003
64,1,700,4,3070004
65,1,700,5,3070004
66,1,700,6,3070004
67,1,700,7,3070004
68,1,700,8,3070004
69,1,700,9,3070004
70,1,700,10,3070004
71,1,700,11,3070004
72,1,700,12,3070004
73,1,800,1,3080001
74,1,800,2,3080002
75,1,800,3,3080003
76,1,800,4,3080004
77,1,800,5,3080004
78,1,800,6,3080004
79,1,800,7,3080004
80,1,800,8,3080004
81,1,800,9,3080004
82,1,800,10,3080004
83,1,800,11,3080004
84,1,800,12,3080004
85,1,900,1,3090001
86,1,900,2,3090002
87,1,900,3,3090003
88,1,900,4,3090004
89,1,900,5,3090004
90,1,900,6,3090004
91,1,900,7,3090004
92,1,900,8,3090004
93,1,900,9,3090004
94,1,900,10,3090004
95,1,900,11,3090004
96,1,900,12,3090004
97,1,1000,1,3100001
98,1,1000,2,3100002
99,1,1000,3,3100003
100,1,1000,4,3100004
101,1,1000,5,3100004
102,1,1000,6,3100004
103,1,1000,7,3100004
104,1,1000,8,3100004
105,1,1000,9,3100004
106,1,1000,10,3100004
107,1,1000,11,3100004
108,1,1000,12,3100004
